"plh0206i01","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Urban Area","9","","",""
"1 Strongly disagree","2005","16-34 y.","Rural Area","","","",""
"1 Strongly disagree","2005","35-65 y.","Urban Area","13","","",""
"1 Strongly disagree","2005","35-65 y.","Rural Area","7","","",""
"1 Strongly disagree","2005","66 and older","Urban Area","9","","",""
"1 Strongly disagree","2005","66 and older","Rural Area","","","",""
"2 on scale 1-7 ","2005","16-34 y.","Urban Area","6","","",""
"2 on scale 1-7 ","2005","16-34 y.","Rural Area","1","","",""
"2 on scale 1-7 ","2005","35-65 y.","Urban Area","19","","",""
"2 on scale 1-7 ","2005","35-65 y.","Rural Area","10","","",""
"2 on scale 1-7 ","2005","66 and older","Urban Area","4","","",""
"2 on scale 1-7 ","2005","66 and older","Rural Area","5","","",""
"3 on scale 1-7 ","2005","16-34 y.","Urban Area","20","","",""
"3 on scale 1-7 ","2005","16-34 y.","Rural Area","10","","",""
"3 on scale 1-7 ","2005","35-65 y.","Urban Area","55","0.00628747950544529","0.00453230556983989","0.0080426534410507"
"3 on scale 1-7 ","2005","35-65 y.","Rural Area","22","","",""
"3 on scale 1-7 ","2005","66 and older","Urban Area","20","","",""
"3 on scale 1-7 ","2005","66 and older","Rural Area","14","","",""
"4 on scale 1-7","2005","16-34 y.","Urban Area","109","0.0397334500500304","0.0333142605434284","0.0461526395566323"
"4 on scale 1-7","2005","16-34 y.","Rural Area","54","0.0322147033178425","0.0239772623743818","0.0404521442613032"
"4 on scale 1-7","2005","35-65 y.","Urban Area","206","0.0281834548762646","0.0245085953020777","0.0318583144504515"
"4 on scale 1-7","2005","35-65 y.","Rural Area","104","0.0245252532622134","0.0196184146188141","0.0294320919056127"
"4 on scale 1-7","2005","66 and older","Urban Area","85","0.0346046514419264","0.0274783315958071","0.0417309712880457"
"4 on scale 1-7","2005","66 and older","Rural Area","44","0.0306861480877216","0.0211859067931675","0.0401863893822756"
"5 on scale 1-7","2005","16-34 y.","Urban Area","337","0.100725021561818","0.0908344566448993","0.110615586478736"
"5 on scale 1-7","2005","16-34 y.","Rural Area","157","0.0690616216008725","0.0572324429911805","0.0808908002105645"
"5 on scale 1-7","2005","35-65 y.","Urban Area","556","0.0750709528787463","0.0692197970785913","0.0809221086789013"
