"plh0206i01","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","West Germany","32","0.0025427820641235","0.00175430768119294","0.00333125644705407","1"
"1 Strongly disagree","2005","East Germany","6","","","","1"
"2 on scale 1-7 ","2005","East Germany","13","","","","2"
"2 on scale 1-7 ","2005","West Germany","32","0.00229176701745541","0.0015431272551522","0.00304040677975862","2"
"3 on scale 1-7 ","2005","West Germany","113","0.00670941181122397","0.00543130760484388","0.00798751601760407","3"
"3 on scale 1-7 ","2005","East Germany","28","","","","3"
"4 on scale 1-7","2005","East Germany","139","0.0256262550214957","0.0212684804012803","0.0299840296417111","4"
"4 on scale 1-7","2005","West Germany","463","0.0322992894096224","0.0295313734904664","0.0350672053287783","4"
"5 on scale 1-7","2005","West Germany","1295","0.0848366246490084","0.0804742105749425","0.0891990387230743","5"
"5 on scale 1-7","2005","East Germany","377","0.0709498183494377","0.0638694698089504","0.0780301668899249","5"
"6 on scale 1-7","2005","East Germany","1273","0.23846370506082","0.226711594898209","0.250215815223431","6"
"6 on scale 1-7","2005","West Germany","3889","0.23108751040324","0.224487986988358","0.237687033818121","6"
"7 Strongly agree","2005","East Germany","3215","0.654112609243028","0.640995050057271","0.667230168428786","7"
"7 Strongly agree","2005","West Germany","9848","0.640232614645327","0.632718710135402","0.647746519155252","7"
"1 Strongly disagree","2006","West Germany","","","","","1"
"1 Strongly disagree","2006","East Germany","","","","","1"
"2 on scale 1-7 ","2006","West Germany","","","","","2"
"2 on scale 1-7 ","2006","East Germany","","","","","2"
"3 on scale 1-7 ","2006","East Germany","","","","","3"
"3 on scale 1-7 ","2006","West Germany","","","","","3"
"4 on scale 1-7","2006","West Germany","","","","","4"
"4 on scale 1-7","2006","East Germany","","","","","4"
"5 on scale 1-7","2006","East Germany","","","","","5"
"5 on scale 1-7","2006","West Germany","","","","","5"
"6 on scale 1-7","2006","East Germany","","","","","6"
"6 on scale 1-7","2006","West Germany","","","","","6"
"7 Strongly agree","2006","East Germany","","","","","7"
"7 Strongly agree","2006","West Germany","","","","","7"
"1 Strongly disagree","2007","West Germany","","","","","1"
"1 Strongly disagree","2007","East Germany","","","","","1"
"2 on scale 1-7 ","2007","East Germany","","","","","2"
"2 on scale 1-7 ","2007","West Germany","","","","","2"
"3 on scale 1-7 ","2007","West Germany","","","","","3"
"3 on scale 1-7 ","2007","East Germany","","","","","3"
"4 on scale 1-7","2007","East Germany","","","","","4"
"4 on scale 1-7","2007","West Germany","","","","","4"
"5 on scale 1-7","2007","East Germany","","","","","5"
"5 on scale 1-7","2007","West Germany","","","","","5"
"6 on scale 1-7","2007","East Germany","","","","","6"
"6 on scale 1-7","2007","West Germany","","","","","6"
"7 Strongly agree","2007","West Germany","","","","","7"
"7 Strongly agree","2007","East Germany","","","","","7"
"1 Strongly disagree","2008","West Germany","","","","","1"
"1 Strongly disagree","2008","East Germany","","","","","1"
"2 on scale 1-7 ","2008","West Germany","","","","","2"
"2 on scale 1-7 ","2008","East Germany","","","","","2"
"3 on scale 1-7 ","2008","East Germany","","","","","3"
"3 on scale 1-7 ","2008","West Germany","","","","","3"
"4 on scale 1-7","2008","West Germany","","","","","4"
"4 on scale 1-7","2008","East Germany","","","","","4"
"5 on scale 1-7","2008","East Germany","","","","","5"
"5 on scale 1-7","2008","West Germany","","","","","5"
"6 on scale 1-7","2008","East Germany","","","","","6"
"6 on scale 1-7","2008","West Germany","","","","","6"
"7 Strongly agree","2008","West Germany","","","","","7"
"7 Strongly agree","2008","East Germany","","","","","7"
