"plh0206i01","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","Urban Area","24","","",""
"1 Strongly disagree","2005","no migration background","Rural Area","7","","",""
"1 Strongly disagree","2005","direct migration background","Urban Area","6","","",""
"1 Strongly disagree","2005","direct migration background","Rural Area","","","",""
"1 Strongly disagree","2005","indirect migration background","Urban Area","1","","",""
"1 Strongly disagree","2005","indirect migration background","Rural Area","","","",""
"2 on scale 1-7 ","2005","no migration background","Urban Area","22","","",""
"2 on scale 1-7 ","2005","no migration background","Rural Area","16","","",""
"2 on scale 1-7 ","2005","direct migration background","Urban Area","7","","",""
"2 on scale 1-7 ","2005","direct migration background","Rural Area","","","",""
"2 on scale 1-7 ","2005","indirect migration background","Urban Area","","","",""
"2 on scale 1-7 ","2005","indirect migration background","Rural Area","","","",""
"3 on scale 1-7 ","2005","no migration background","Urban Area","70","0.00543702119146366","0.00407429896023479","0.00679974342269253"
"3 on scale 1-7 ","2005","no migration background","Rural Area","43","0.0073225549598129","0.00522357945335741","0.00942153046626838"
"3 on scale 1-7 ","2005","direct migration background","Urban Area","22","","",""
"3 on scale 1-7 ","2005","direct migration background","Rural Area","2","","",""
"3 on scale 1-7 ","2005","indirect migration background","Urban Area","3","","",""
"3 on scale 1-7 ","2005","indirect migration background","Rural Area","1","","",""
"4 on scale 1-7","2005","no migration background","Urban Area","281","0.0272981906125179","0.0242784650431051","0.0303179161819308"
"4 on scale 1-7","2005","no migration background","Rural Area","182","0.0282178524770767","0.0241410618190576","0.0322946431350958"
"4 on scale 1-7","2005","direct migration background","Urban Area","91","0.0547747246199917","0.0447141084977843","0.0648353407421992"
"4 on scale 1-7","2005","direct migration background","Rural Area","15","","",""
"4 on scale 1-7","2005","indirect migration background","Urban Area","28","","",""
"4 on scale 1-7","2005","indirect migration background","Rural Area","5","","",""
"5 on scale 1-7","2005","no migration background","Urban Area","894","0.0837197344440969","0.0785871184720652","0.0888523504161287"
"5 on scale 1-7","2005","no migration background","Rural Area","485","0.0727461958402641","0.0663521399341841","0.0791402517463441"
"5 on scale 1-7","2005","direct migration background","Urban Area","152","0.0862179252546895","0.0738074928123201","0.0986283576970588"
"5 on scale 1-7","2005","direct migration background","Rural Area","51","0.0980144654575082","0.0690566728368568","0.12697225807816"
"5 on scale 1-7","2005","indirect migration background","Urban Area","74","0.110520077870921","0.0876815832842445","0.133358572457598"
"5 on scale 1-7","2005","indirect migration background","Rural Area","16","","",""
"6 on scale 1-7","2005","no migration background","Urban Area","2850","0.2406843416825","0.232762142087695","0.248606541277304"
"6 on scale 1-7","2005","no migration background","Rural Area","1617","0.235223444191354","0.224781543486768","0.24566534489594"
"6 on scale 1-7","2005","direct migration background","Urban Area","440","0.213804683907518","0.195677069808982","0.231932298006054"
