"plh0206i01","year","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","31","0.00227560211821627","0.00157012175532317","0.00298108248110937"
"1 Strongly disagree","2005","direct migration background","","","",""
"1 Strongly disagree","2005","indirect migration background","","","",""
"2 on scale 1-7 ","2005","no migration background","38","0.00260335529036498","0.00184890237470978","0.00335780820602017"
"2 on scale 1-7 ","2005","direct migration background","","","",""
"2 on scale 1-7 ","2005","indirect migration background","","","",""
"3 on scale 1-7 ","2005","no migration background","113","0.00608003594587832","0.00492907589654994","0.0072309959952067"
"3 on scale 1-7 ","2005","direct migration background","","","",""
"3 on scale 1-7 ","2005","indirect migration background","","","",""
"4 on scale 1-7","2005","no migration background","463","0.0276118185930454","0.0251857738268866","0.0300378633592042"
"4 on scale 1-7","2005","direct migration background","106","0.0485989897825041","0.0399419514006431","0.057256028164365"
"4 on scale 1-7","2005","indirect migration background","33","0.0457692457092922","0.031543193176609","0.0599952982419754"
"5 on scale 1-7","2005","no migration background","1379","0.0799774799436215","0.0759612871220551","0.0839936727651878"
"5 on scale 1-7","2005","direct migration background","203","0.0882396535627527","0.0768201778459789","0.0996591292795266"
"5 on scale 1-7","2005","indirect migration background","90","0.111343331410025","0.0899307053118591","0.132755957508192"
"6 on scale 1-7","2005","no migration background","4467","0.238822037374777","0.232509386495435","0.24513468825412"
"6 on scale 1-7","2005","direct migration background","512","0.199007264355649","0.182933312189836","0.215081216521463"
"6 on scale 1-7","2005","indirect migration background","183","0.209024229907675","0.181345208486809","0.236703251328542"
"7 Strongly agree","2005","no migration background","11033","0.642629670734096","0.635534365198806","0.649724976269386"
"7 Strongly agree","2005","direct migration background","1512","0.648391668936099","0.629168622749051","0.667614715123148"
"7 Strongly agree","2005","indirect migration background","518","0.627497628216154","0.594586604519874","0.660408651912434"
"1 Strongly disagree","2006","no migration background","","","",""
"1 Strongly disagree","2006","direct migration background","","","",""
"1 Strongly disagree","2006","indirect migration background","","","",""
"2 on scale 1-7 ","2006","no migration background","","","",""
"2 on scale 1-7 ","2006","direct migration background","","","",""
"2 on scale 1-7 ","2006","indirect migration background","","","",""
"3 on scale 1-7 ","2006","no migration background","","","",""
"3 on scale 1-7 ","2006","direct migration background","","","",""
"3 on scale 1-7 ","2006","indirect migration background","","","",""
"4 on scale 1-7","2006","no migration background","","","",""
"4 on scale 1-7","2006","direct migration background","","","",""
"4 on scale 1-7","2006","indirect migration background","","","",""
"5 on scale 1-7","2006","no migration background","","","",""
"5 on scale 1-7","2006","direct migration background","","","",""
"5 on scale 1-7","2006","indirect migration background","","","",""
"6 on scale 1-7","2006","no migration background","","","",""
"6 on scale 1-7","2006","direct migration background","","","",""
"6 on scale 1-7","2006","indirect migration background","","","",""
"7 Strongly agree","2006","no migration background","","","",""
"7 Strongly agree","2006","direct migration background","","","",""
"7 Strongly agree","2006","indirect migration background","","","",""
"1 Strongly disagree","2007","no migration background","","","",""
"1 Strongly disagree","2007","direct migration background","","","",""
"1 Strongly disagree","2007","indirect migration background","","","",""
"2 on scale 1-7 ","2007","no migration background","","","",""
"2 on scale 1-7 ","2007","direct migration background","","","",""
"2 on scale 1-7 ","2007","indirect migration background","","","",""
"3 on scale 1-7 ","2007","no migration background","","","",""
"3 on scale 1-7 ","2007","direct migration background","","","",""
"3 on scale 1-7 ","2007","indirect migration background","","","",""
"4 on scale 1-7","2007","no migration background","","","",""
"4 on scale 1-7","2007","direct migration background","","","",""
"4 on scale 1-7","2007","indirect migration background","","","",""
"5 on scale 1-7","2007","no migration background","","","",""
"5 on scale 1-7","2007","direct migration background","","","",""
"5 on scale 1-7","2007","indirect migration background","","","",""
"6 on scale 1-7","2007","no migration background","","","",""
"6 on scale 1-7","2007","direct migration background","","","",""
"6 on scale 1-7","2007","indirect migration background","","","",""
"7 Strongly agree","2007","no migration background","","","",""
"7 Strongly agree","2007","direct migration background","","","",""
"7 Strongly agree","2007","indirect migration background","","","",""
"1 Strongly disagree","2008","no migration background","","","",""
"1 Strongly disagree","2008","direct migration background","","","",""
"1 Strongly disagree","2008","indirect migration background","","","",""
"2 on scale 1-7 ","2008","no migration background","","","",""
"2 on scale 1-7 ","2008","direct migration background","","","",""
"2 on scale 1-7 ","2008","indirect migration background","","","",""
"3 on scale 1-7 ","2008","no migration background","","","",""
"3 on scale 1-7 ","2008","direct migration background","","","",""
"3 on scale 1-7 ","2008","indirect migration background","","","",""
"4 on scale 1-7","2008","no migration background","","","",""
"4 on scale 1-7","2008","direct migration background","","","",""
"4 on scale 1-7","2008","indirect migration background","","","",""
"5 on scale 1-7","2008","no migration background","","","",""
"5 on scale 1-7","2008","direct migration background","","","",""
"5 on scale 1-7","2008","indirect migration background","","","",""
"6 on scale 1-7","2008","no migration background","","","",""
"6 on scale 1-7","2008","direct migration background","","","",""
"6 on scale 1-7","2008","indirect migration background","","","",""
"7 Strongly agree","2008","no migration background","","","",""
"7 Strongly agree","2008","direct migration background","","","",""
