"plh0206i01","year","e11103","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","Male","8","","",""
"1 Strongly disagree","2005","Full Time","Female","6","","",""
"1 Strongly disagree","2005","Part Time","Male","2","","",""
"1 Strongly disagree","2005","Part Time","Female","6","","",""
"1 Strongly disagree","2005","Not Working","Male","6","","",""
"1 Strongly disagree","2005","Not Working","Female","10","","",""
"2 on scale 1-7 ","2005","Full Time","Male","12","","",""
"2 on scale 1-7 ","2005","Full Time","Female","10","","",""
"2 on scale 1-7 ","2005","Part Time","Male","1","","",""
"2 on scale 1-7 ","2005","Part Time","Female","2","","",""
"2 on scale 1-7 ","2005","Not Working","Male","9","","",""
"2 on scale 1-7 ","2005","Not Working","Female","11","","",""
"3 on scale 1-7 ","2005","Full Time","Male","31","0.00553545065799487","0.00354733179907772","0.00752356951691203"
"3 on scale 1-7 ","2005","Full Time","Female","19","","",""
"3 on scale 1-7 ","2005","Part Time","Male","4","","",""
"3 on scale 1-7 ","2005","Part Time","Female","18","","",""
"3 on scale 1-7 ","2005","Not Working","Male","32","0.00848108477514415","0.00528834755317664","0.0116738219971117"
"3 on scale 1-7 ","2005","Not Working","Female","37","0.00914388804648096","0.00642609616812725","0.0118616799248347"
"4 on scale 1-7","2005","Full Time","Male","132","0.0259506309145447","0.0216903754207428","0.0302108864083466"
"4 on scale 1-7","2005","Full Time","Female","64","0.0300642767326546","0.023593103060849","0.0365354504044602"
"4 on scale 1-7","2005","Part Time","Male","41","0.0389057411106878","0.0287365407094225","0.0490749415119531"
"4 on scale 1-7","2005","Part Time","Female","92","0.0276056266047147","0.0221209918961285","0.0330902613133008"
"4 on scale 1-7","2005","Not Working","Male","120","0.0373060175403982","0.030707892446919","0.0439041426338775"
"4 on scale 1-7","2005","Not Working","Female","153","0.0325505773259199","0.0274837169966728","0.0376174376551671"
"5 on scale 1-7","2005","Full Time","Male","430","0.0843246550259992","0.0768787199184","0.0917705901335985"
"5 on scale 1-7","2005","Full Time","Female","178","0.0730773570314387","0.0632145767217204","0.0829401373411571"
"5 on scale 1-7","2005","Part Time","Male","107","0.0709561326411879","0.0574537613221066","0.0844585039602693"
"5 on scale 1-7","2005","Part Time","Female","225","0.0691541841131065","0.0606608972882041","0.0776474709380089"
"5 on scale 1-7","2005","Not Working","Male","342","0.109153926849391","0.0982969730805253","0.120010880618256"
"5 on scale 1-7","2005","Not Working","Female","390","0.0785713129759133","0.0708887112418734","0.0862539147099532"
"6 on scale 1-7","2005","Full Time","Male","1512","0.267820975683302","0.255955036027515","0.279686915339089"
"6 on scale 1-7","2005","Full Time","Female","608","0.207713534141106","0.192340495670514","0.223086572611698"
"6 on scale 1-7","2005","Part Time","Male","371","0.248066548234678","0.225353743199846","0.270779353269511"
"6 on scale 1-7","2005","Part Time","Female","815","0.212722135980944","0.199022846362819","0.22642142559907"
"6 on scale 1-7","2005","Not Working","Male","772","0.232676607753964","0.217965256932679","0.24738795857525"
"6 on scale 1-7","2005","Not Working","Female","1084","0.215409401394235","0.203671260259452","0.227147542529018"
"7 Strongly agree","2005","Full Time","Male","3225","0.612899859775283","0.599847842939131","0.625951876611435"
