"plh0206i01","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","no migration background","8","","",""
"1 Strongly disagree","2005","16-34 y.","direct migration background","1","","",""
"1 Strongly disagree","2005","16-34 y.","indirect migration background","","","",""
"1 Strongly disagree","2005","35-65 y.","no migration background","14","","",""
"1 Strongly disagree","2005","35-65 y.","direct migration background","5","","",""
"1 Strongly disagree","2005","35-65 y.","indirect migration background","1","","",""
"1 Strongly disagree","2005","66 and older","no migration background","9","","",""
"1 Strongly disagree","2005","66 and older","direct migration background","","","",""
"1 Strongly disagree","2005","66 and older","indirect migration background","","","",""
"2 on scale 1-7 ","2005","16-34 y.","no migration background","6","","",""
"2 on scale 1-7 ","2005","16-34 y.","direct migration background","1","","",""
"2 on scale 1-7 ","2005","16-34 y.","indirect migration background","","","",""
"2 on scale 1-7 ","2005","35-65 y.","no migration background","24","","",""
"2 on scale 1-7 ","2005","35-65 y.","direct migration background","5","","",""
"2 on scale 1-7 ","2005","35-65 y.","indirect migration background","","","",""
"2 on scale 1-7 ","2005","66 and older","no migration background","8","","",""
"2 on scale 1-7 ","2005","66 and older","direct migration background","1","","",""
"2 on scale 1-7 ","2005","66 and older","indirect migration background","","","",""
"3 on scale 1-7 ","2005","16-34 y.","no migration background","24","","",""
"3 on scale 1-7 ","2005","16-34 y.","direct migration background","4","","",""
"3 on scale 1-7 ","2005","16-34 y.","indirect migration background","2","","",""
"3 on scale 1-7 ","2005","35-65 y.","no migration background","64","0.0062250130395999","0.0046820572877977","0.0077679687914021"
"3 on scale 1-7 ","2005","35-65 y.","direct migration background","12","","",""
"3 on scale 1-7 ","2005","35-65 y.","indirect migration background","1","","",""
"3 on scale 1-7 ","2005","66 and older","no migration background","25","","",""
"3 on scale 1-7 ","2005","66 and older","direct migration background","8","","",""
"3 on scale 1-7 ","2005","66 and older","indirect migration background","1","","",""
"4 on scale 1-7","2005","16-34 y.","no migration background","111","0.0297547092940541","0.024572150029898","0.0349372685582102"
