"plh0206i01","year","education","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","no migration background","","","",""
"1 Strongly disagree","2005","lower secondary degree","direct migration background","","","",""
"1 Strongly disagree","2005","lower secondary degree","indirect migration background","","","",""
"1 Strongly disagree","2005","secondary school degree","no migration background","","","",""
"1 Strongly disagree","2005","secondary school degree","direct migration background","","","",""
"1 Strongly disagree","2005","secondary school degree","indirect migration background","","","",""
"1 Strongly disagree","2005","college entrance qualification","no migration background","","","",""
"1 Strongly disagree","2005","college entrance qualification","direct migration background","","","",""
"1 Strongly disagree","2005","college entrance qualification","indirect migration background","","","",""
"1 Strongly disagree","2005","Other degree","no migration background","","","",""
"1 Strongly disagree","2005","Other degree","direct migration background","","","",""
"1 Strongly disagree","2005","Other degree","indirect migration background","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","no migration background","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","direct migration background","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","indirect migration background","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","no migration background","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","direct migration background","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","indirect migration background","","","",""
"2 on scale 1-7 ","2005","secondary school degree","no migration background","","","",""
"2 on scale 1-7 ","2005","secondary school degree","direct migration background","","","",""
"2 on scale 1-7 ","2005","secondary school degree","indirect migration background","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","no migration background","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","direct migration background","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","indirect migration background","","","",""
"2 on scale 1-7 ","2005","Other degree","no migration background","","","",""
"2 on scale 1-7 ","2005","Other degree","direct migration background","","","",""
"2 on scale 1-7 ","2005","Other degree","indirect migration background","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","no migration background","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","direct migration background","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","indirect migration background","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","no migration background","46","0.00789520464605289","0.00570051654913515","0.0100898927429706"
"3 on scale 1-7 ","2005","lower secondary degree","direct migration background","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","indirect migration background","","","",""
"3 on scale 1-7 ","2005","secondary school degree","no migration background","","","",""
"3 on scale 1-7 ","2005","secondary school degree","direct migration background","","","",""
"3 on scale 1-7 ","2005","secondary school degree","indirect migration background","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","no migration background","32","0.00463002093855437","0.00269517147877388","0.00656487039833486"
"3 on scale 1-7 ","2005","college entrance qualification","direct migration background","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","indirect migration background","","","",""
"3 on scale 1-7 ","2005","Other degree","no migration background","","","",""
"3 on scale 1-7 ","2005","Other degree","direct migration background","","","",""
"3 on scale 1-7 ","2005","Other degree","indirect migration background","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","no migration background","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","direct migration background","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","indirect migration background","","","",""
"4 on scale 1-7","2005","lower secondary degree","no migration background","196","0.0299507390454589","0.0257239263397968","0.0341775517511209"
"4 on scale 1-7","2005","lower secondary degree","direct migration background","","","",""
"4 on scale 1-7","2005","lower secondary degree","indirect migration background","","","",""
"4 on scale 1-7","2005","secondary school degree","no migration background","124","0.0213585505728519","0.0175658298322824","0.0251512713134214"
"4 on scale 1-7","2005","secondary school degree","direct migration background","","","",""
"4 on scale 1-7","2005","secondary school degree","indirect migration background","","","",""
"4 on scale 1-7","2005","college entrance qualification","no migration background","100","0.0283743470938904","0.0236420079725295","0.0331066862152513"
"4 on scale 1-7","2005","college entrance qualification","direct migration background","","","",""
"4 on scale 1-7","2005","college entrance qualification","indirect migration background","","","",""
"4 on scale 1-7","2005","Other degree","no migration background","","","",""
"4 on scale 1-7","2005","Other degree","direct migration background","50","0.0540924000790991","0.0400585994142314","0.0681262007439667"
"4 on scale 1-7","2005","Other degree","indirect migration background","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","no migration background","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","direct migration background","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","indirect migration background","","","",""
"5 on scale 1-7","2005","lower secondary degree","no migration background","537","0.0830400265757228","0.0761972672209239","0.0898827859305217"
"5 on scale 1-7","2005","lower secondary degree","direct migration background","53","0.0957242992195547","0.0721039404729821","0.119344657966127"
"5 on scale 1-7","2005","lower secondary degree","indirect migration background","","","",""
"5 on scale 1-7","2005","secondary school degree","no migration background","371","0.0637444412598041","0.0573357176967561","0.0701531648228522"
"5 on scale 1-7","2005","secondary school degree","direct migration background","","","",""
"5 on scale 1-7","2005","secondary school degree","indirect migration background","","","",""
"5 on scale 1-7","2005","college entrance qualification","no migration background","361","0.086874887933449","0.078847473111941","0.0949023027549571"
"5 on scale 1-7","2005","college entrance qualification","direct migration background","","","",""
"5 on scale 1-7","2005","college entrance qualification","indirect migration background","","","",""
"5 on scale 1-7","2005","Other degree","no migration background","","","",""
"5 on scale 1-7","2005","Other degree","direct migration background","89","0.084993648634798","0.0676919751702938","0.102295322099302"
"5 on scale 1-7","2005","Other degree","indirect migration background","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","no migration background","78","0.139145702919857","0.111027580070832","0.167263825768882"
"5 on scale 1-7","2005","no degree/no degree yet","direct migration background","","","",""
"5 on scale 1-7","2005","no degree/no degree yet","indirect migration background","","","",""
"6 on scale 1-7","2005","lower secondary degree","no migration background","1411","0.217556091423257","0.207324938669259","0.227787244177254"
"6 on scale 1-7","2005","lower secondary degree","direct migration background","139","0.213108785067968","0.180232481181833","0.245985088954103"
"6 on scale 1-7","2005","lower secondary degree","indirect migration background","47","0.148161210515569","0.104298669674198","0.192023751356941"
"6 on scale 1-7","2005","secondary school degree","no migration background","1428","0.242337741032869","0.231096829501406","0.253578652564331"
"6 on scale 1-7","2005","secondary school degree","direct migration background","44","0.139064366829543","0.095379316269358","0.182749417389729"
"6 on scale 1-7","2005","secondary school degree","indirect migration background","45","0.216419709784689","0.159770973129668","0.27306844643971"
"6 on scale 1-7","2005","college entrance qualification","no migration background","1374","0.271469024116205","0.2587940352695","0.284144012962909"
"6 on scale 1-7","2005","college entrance qualification","direct migration background","56","0.174020265596981","0.128459408839552","0.219581122354409"
"6 on scale 1-7","2005","college entrance qualification","indirect migration background","55","0.318039675813432","0.253006466979923","0.383072884646941"
"6 on scale 1-7","2005","Other degree","no migration background","","","",""
"6 on scale 1-7","2005","Other degree","direct migration background","222","0.220549610655493","0.194826101898088","0.246273119412898"
"6 on scale 1-7","2005","Other degree","indirect migration background","","","",""
"6 on scale 1-7","2005","no degree/no degree yet","no migration background","157","0.263785204744152","0.227982644375312","0.299587765112991"
"6 on scale 1-7","2005","no degree/no degree yet","direct migration background","39","0.155195064831907","0.107129171461404","0.203260958202411"
"6 on scale 1-7","2005","no degree/no degree yet","indirect migration background","","","",""
"7 Strongly agree","2005","lower secondary degree","no migration background","4024","0.655043342697547","0.643255627833627","0.666831057561467"
"7 Strongly agree","2005","lower secondary degree","direct migration background","365","0.616297206775556","0.577256511697923","0.65533790185319"
"7 Strongly agree","2005","lower secondary degree","indirect migration background","174","0.709942345017452","0.653914808572851","0.765969881462053"
"7 Strongly agree","2005","secondary school degree","no migration background","3616","0.665665468827012","0.653289710884443","0.678041226769581"
"7 Strongly agree","2005","secondary school degree","direct migration background","171","0.696542867658332","0.638498221343981","0.754587513972683"
"7 Strongly agree","2005","secondary school degree","indirect migration background","128","0.625341628355455","0.558756619356479","0.691926637354431"
"7 Strongly agree","2005","college entrance qualification","no migration background","2848","0.605523531029977","0.591593903703955","0.619453158355999"
"7 Strongly agree","2005","college entrance qualification","direct migration background","182","0.734112767727612","0.681019750932886","0.787205784522339"
"7 Strongly agree","2005","college entrance qualification","indirect migration background","118","0.545254892887519","0.475720641858575","0.614789143916463"
"7 Strongly agree","2005","Other degree","no migration background","74","0.686653409643166","0.599970590829448","0.773336228456885"
"7 Strongly agree","2005","Other degree","direct migration background","624","0.625534283581879","0.595507113063072","0.655561454100686"
"7 Strongly agree","2005","Other degree","indirect migration background","","","",""
"7 Strongly agree","2005","no degree/no degree yet","no migration background","313","0.542543592442562","0.502069345637125","0.583017839247998"
"7 Strongly agree","2005","no degree/no degree yet","direct migration background","146","0.720165405961508","0.660573582701928","0.779757229221089"
"7 Strongly agree","2005","no degree/no degree yet","indirect migration background","50","0.530737356065184","0.43193145727618","0.629543254854188"
"1 Strongly disagree","2006","lower secondary degree","no migration background","","","",""
"1 Strongly disagree","2006","lower secondary degree","direct migration background","","","",""
"1 Strongly disagree","2006","lower secondary degree","indirect migration background","","","",""
"1 Strongly disagree","2006","secondary school degree","no migration background","","","",""
