"plh0206i01","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","in school","1","","",""
"1 Strongly disagree","2005","Not Employed","inadequately","","","",""
"1 Strongly disagree","2005","Not Employed","general elemantary","3","","",""
"1 Strongly disagree","2005","Not Employed","middle vocational","9","","",""
"1 Strongly disagree","2005","Not Employed","vocational + Abi","2","","",""
"1 Strongly disagree","2005","Not Employed","higher vocational","1","","",""
"1 Strongly disagree","2005","Not Employed","higher education","","","",""
"1 Strongly disagree","2005","Employed","in school","","","",""
"1 Strongly disagree","2005","Employed","inadequately","1","","",""
"1 Strongly disagree","2005","Employed","general elemantary","3","","",""
"1 Strongly disagree","2005","Employed","middle vocational","12","","",""
"1 Strongly disagree","2005","Employed","vocational + Abi","","","",""
"1 Strongly disagree","2005","Employed","higher vocational","1","","",""
"1 Strongly disagree","2005","Employed","higher education","5","","",""
"2 on scale 1-7 ","2005","Not Employed","in school","","","",""
"2 on scale 1-7 ","2005","Not Employed","inadequately","1","","",""
"2 on scale 1-7 ","2005","Not Employed","general elemantary","7","","",""
"2 on scale 1-7 ","2005","Not Employed","middle vocational","7","","",""
"2 on scale 1-7 ","2005","Not Employed","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Not Employed","higher vocational","","","",""
"2 on scale 1-7 ","2005","Not Employed","higher education","4","","",""
"2 on scale 1-7 ","2005","Employed","in school","","","",""
"2 on scale 1-7 ","2005","Employed","inadequately","","","",""
"2 on scale 1-7 ","2005","Employed","general elemantary","4","","",""
"2 on scale 1-7 ","2005","Employed","middle vocational","10","","",""
"2 on scale 1-7 ","2005","Employed","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Employed","higher vocational","3","","",""
"2 on scale 1-7 ","2005","Employed","higher education","8","","",""
"3 on scale 1-7 ","2005","Not Employed","in school","2","","",""
"3 on scale 1-7 ","2005","Not Employed","inadequately","6","","",""
"3 on scale 1-7 ","2005","Not Employed","general elemantary","15","","",""
"3 on scale 1-7 ","2005","Not Employed","middle vocational","31","0.00878988364924827","0.00587826866914444","0.0117014986293521"
"3 on scale 1-7 ","2005","Not Employed","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Not Employed","higher vocational","2","","",""
"3 on scale 1-7 ","2005","Not Employed","higher education","8","","",""
"3 on scale 1-7 ","2005","Employed","in school","","","",""
"3 on scale 1-7 ","2005","Employed","inadequately","","","",""
"3 on scale 1-7 ","2005","Employed","general elemantary","7","","",""
