"plh0206i01","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","Urban Area","5","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","Rural Area","","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","Urban Area","9","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","Rural Area","3","","","","1"
"1 Strongly disagree","2005","Single parent ","Urban Area","4","","","","1"
"1 Strongly disagree","2005","Single parent ","Rural Area","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Urban Area","5","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Rural Area","","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Urban Area","7","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Rural Area","2","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Urban Area","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Rural Area","1","","","","1"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Urban Area","10","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Urban Area","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Urban Area","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","Rural Area","2","","","","2"
"2 on scale 1-7 ","2005","Single parent ","Rural Area","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Rural Area","2","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Rural Area","8","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","Urban Area","8","","","","2"
"2 on scale 1-7 ","2005","Single parent ","Urban Area","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Rural Area","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Urban Area","8","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Rural Area","4","","","","2"
"3 on scale 1-7 ","2005","1-pers.-HH","Rural Area","8","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Urban Area","38","0.00595610134842067","0.00377296080507997","0.00813924189176137","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Rural Area","12","","","","3"
"3 on scale 1-7 ","2005","Single parent ","Urban Area","6","","","","3"
"3 on scale 1-7 ","2005","Single parent ","Rural Area","1","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Urban Area","17","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Rural Area","8","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Urban Area","14","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Rural Area","8","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Urban Area","7","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Rural Area","5","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","Urban Area","10","","","","3"
"4 on scale 1-7","2005","Single parent ","Rural Area","17","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","Urban Area","34","0.0342143053068074","0.0235349568778312","0.0448936537357836","4"
"4 on scale 1-7","2005","1-pers.-HH","Rural Area","30","0.0287316404317046","0.017675637980786","0.0397876428826233","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Urban Area","79","0.0364919689884947","0.029212671115662","0.0437712668613274","4"
"4 on scale 1-7","2005","Single parent ","Urban Area","28","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Rural Area","18","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","Urban Area","63","0.0341760799311653","0.0267349232046402","0.0416172366576903","4"
"4 on scale 1-7","2005","1-pers.-HH","Urban Area","52","0.0336461043305781","0.0259174022087281","0.0413748064524281","4"
"4 on scale 1-7","2005","(Married) couple without C. ","Urban Area","129","0.0275074670944627","0.0228669506900509","0.0321479834988745","4"
"4 on scale 1-7","2005","(Married) couple without C. ","Rural Area","54","0.0227338955626213","0.0165941096506024","0.0288736814746402","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","Rural Area","51","0.0416292046683521","0.0309901117683581","0.052268297568346","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","Rural Area","21","","","","4"
"5 on scale 1-7","2005","Couple + C. LE 16 ","Urban Area","193","0.0866470252750018","0.0757261027606032","0.0975679477894004","5"
"5 on scale 1-7","2005","(Married) couple without C. ","Urban Area","372","0.0817433915546981","0.0739700771978118","0.0895167059115845","5"
"5 on scale 1-7","2005","(Married) couple without C. ","Rural Area","174","0.0743366964433011","0.063531366522211","0.0851420263643912","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","Rural Area","84","0.0644493063220039","0.0503550682839656","0.0785435443600422","5"
"5 on scale 1-7","2005","Single parent ","Rural Area","27","","","","5"
"5 on scale 1-7","2005","1-pers.-HH","Rural Area","64","0.0709428855594967","0.0539516905010024","0.0879340806179909","5"
"5 on scale 1-7","2005","1-pers.-HH","Urban Area","165","0.0827282389297432","0.0709210373965822","0.0945354404629041","5"
"5 on scale 1-7","2005","Single parent ","Urban Area","56","0.0702994933844508","0.0515080161531679","0.0890909706157338","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","Urban Area","183","0.0896964984503862","0.0779931212863911","0.101399875614381","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","Rural Area","115","0.0847687455370384","0.0699325667510932","0.0996049243229837","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","Urban Area","124","0.112786173499532","0.0942020282650375","0.131370318734027","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","Rural Area","58","0.0863583912293465","0.0637122319716809","0.109004550487012","5"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","Urban Area","267","0.234373920624842","0.209487438496182","0.259260402753503","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","Rural Area","149","0.219733455173999","0.186350564813699","0.253116345534299","6"
"6 on scale 1-7","2005","Single parent ","Rural Area","92","0.220197008490916","0.179018420931816","0.261375596050015","6"
"6 on scale 1-7","2005","1-pers.-HH","Rural Area","191","0.193429311210326","0.167287802124682","0.219570820295971","6"
"6 on scale 1-7","2005","1-pers.-HH","Urban Area","478","0.220577663747473","0.202805583539795","0.238349743955151","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","Rural Area","303","0.244045341702545","0.219391650568733","0.268699032836357","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","Rural Area","366","0.25739445687633","0.234107247544205","0.280681666208455","6"
"6 on scale 1-7","2005","(Married) couple without C. ","Urban Area","1165","0.229250447909751","0.217324041335768","0.241176854483734","6"
"6 on scale 1-7","2005","(Married) couple without C. ","Rural Area","572","0.237210636764868","0.219688814382146","0.254732459147589","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","Urban Area","614","0.254495539146836","0.236655509972651","0.272335568321022","6"
"6 on scale 1-7","2005","Single parent ","Urban Area","173","0.244315756255574","0.212732332137121","0.275899180374027","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","Urban Area","666","0.249427477891459","0.232630480624954","0.266224475157964","6"
"7 Strongly agree","2005","Couple + C. LE and GT 16","Urban Area","681","0.614345158289241","0.585749103344508","0.642941213233974","7"
"7 Strongly agree","2005","Couple + C. LE and GT 16","Rural Area","355","0.631375522293611","0.592480833039326","0.670270211547895","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","Rural Area","753","0.671395587941557","0.644435285959255","0.69835588992386","7"
"7 Strongly agree","2005","1-pers.-HH","Urban Area","1373","0.652366790149207","0.631955163027907","0.672778417270508","7"
"7 Strongly agree","2005","(Married) couple without C. ","Urban Area","3049","0.651193227645421","0.637671092709044","0.664715362581797","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","Urban Area","1401","0.608486340708874","0.588495584360361","0.628477097057387","7"
"7 Strongly agree","2005","Single parent ","Urban Area","444","0.631175284608845","0.595710421250353","0.666640147967337","7"
"7 Strongly agree","2005","Single parent ","Rural Area","251","0.67058127558565","0.623875225334855","0.717287325836445","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","Urban Area","1587","0.619133518929202","0.60028220141634","0.637984836442063","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","Rural Area","808","0.606730736748311","0.580712266453315","0.632749207043308","7"
"7 Strongly agree","2005","1-pers.-HH","Rural Area","582","0.690983521163533","0.6604010229351","0.721566019391967","7"
"7 Strongly agree","2005","(Married) couple without C. ","Rural Area","1441","0.654375590878141","0.634785988162115","0.673965193594167","7"
"1 Strongly disagree","2006","1-pers.-HH","Urban Area","","","","","1"
"1 Strongly disagree","2006","1-pers.-HH","Rural Area","","","","","1"
"1 Strongly disagree","2006","(Married) couple without C. ","Urban Area","","","","","1"
"1 Strongly disagree","2006","(Married) couple without C. ","Rural Area","","","","","1"
"1 Strongly disagree","2006","Single parent ","Urban Area","","","","","1"
"1 Strongly disagree","2006","Single parent ","Rural Area","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","Urban Area","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","Rural Area","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","Urban Area","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","Rural Area","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE and GT 16","Urban Area","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE and GT 16","Rural Area","","","","","1"
"2 on scale 1-7 ","2006","1-pers.-HH","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","(Married) couple without C. ","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","(Married) couple without C. ","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Single parent ","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE 16 ","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE and GT 16","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE and GT 16","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Single parent ","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. GT 16 ","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE 16 ","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. GT 16 ","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","1-pers.-HH","Urban Area","","","","","2"
"3 on scale 1-7 ","2006","(Married) couple without C. ","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","(Married) couple without C. ","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","1-pers.-HH","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. LE 16 ","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. GT 16 ","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","1-pers.-HH","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","Single parent ","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","Single parent ","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. LE 16 ","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. GT 16 ","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. LE and GT 16","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. LE and GT 16","Rural Area","","","","","3"
"4 on scale 1-7","2006","1-pers.-HH","Rural Area","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE and GT 16","Urban Area","","","","","4"
"4 on scale 1-7","2006","1-pers.-HH","Urban Area","","","","","4"
"4 on scale 1-7","2006","(Married) couple without C. ","Urban Area","","","","","4"
"4 on scale 1-7","2006","(Married) couple without C. ","Rural Area","","","","","4"
"4 on scale 1-7","2006","Single parent ","Urban Area","","","","","4"
"4 on scale 1-7","2006","Single parent ","Rural Area","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE 16 ","Urban Area","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE 16 ","Rural Area","","","","","4"
