"plh0206i01","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","no migration background","4","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","direct migration background","1","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","indirect migration background","","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","no migration background","11","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","direct migration background","1","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","indirect migration background","","","","","1"
"1 Strongly disagree","2005","Single parent ","no migration background","4","","","","1"
"1 Strongly disagree","2005","Single parent ","direct migration background","1","","","","1"
"1 Strongly disagree","2005","Single parent ","indirect migration background","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","no migration background","3","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","direct migration background","2","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","indirect migration background","","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","no migration background","7","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","direct migration background","1","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","indirect migration background","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","no migration background","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","direct migration background","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","no migration background","8","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","direct migration background","2","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","no migration background","15","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","direct migration background","3","","","","2"
"2 on scale 1-7 ","2005","Single parent ","no migration background","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","direct migration background","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","no migration background","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","no migration background","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","direct migration background","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","direct migration background","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","no migration background","10","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","direct migration background","2","","","","2"
"3 on scale 1-7 ","2005","1-pers.-HH","no migration background","17","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","direct migration background","1","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","indirect migration background","","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","no migration background","9","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","direct migration background","2","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","indirect migration background","1","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","indirect migration background","","","","","3"
