"plh0206i01","year","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","38","0.00248946529005332","0.00181099074152177","0.00316793983858487"
"2 on scale 1-7 ","2005","45","0.00251334465894933","0.00183163201551521","0.00319505730238345"
"3 on scale 1-7 ","2005","141","0.0064118752065341","0.00532515559606863","0.00749859481699956"
"4 on scale 1-7","2005","602","0.0310604537452951","0.0286984857087817","0.0334224217818084"
"5 on scale 1-7","2005","1672","0.0822585664663436","0.078517697332978","0.0859994355997092"
"6 on scale 1-7","2005","5162","0.232456886383842","0.22670587303697","0.238207899730713"
"7 Strongly agree","2005","13063","0.642809408248983","0.636285424126727","0.649333392371239"
"1 Strongly disagree","2006","","","",""
"2 on scale 1-7 ","2006","","","",""
"3 on scale 1-7 ","2006","","","",""
"4 on scale 1-7","2006","","","",""
"5 on scale 1-7","2006","","","",""
"6 on scale 1-7","2006","","","",""
"7 Strongly agree","2006","","","",""
"1 Strongly disagree","2007","","","",""
"2 on scale 1-7 ","2007","","","",""
"3 on scale 1-7 ","2007","","","",""
"4 on scale 1-7","2007","","","",""
"5 on scale 1-7","2007","","","",""
"6 on scale 1-7","2007","","","",""
"7 Strongly agree","2007","","","",""
"1 Strongly disagree","2008","","","",""
"2 on scale 1-7 ","2008","","","",""
"3 on scale 1-7 ","2008","","","",""
"4 on scale 1-7","2008","","","",""
"5 on scale 1-7","2008","","","",""
"6 on scale 1-7","2008","","","",""
"7 Strongly agree","2008","","","",""
"1 Strongly disagree","2009","","","",""
"2 on scale 1-7 ","2009","","","",""
"3 on scale 1-7 ","2009","","","",""
"4 on scale 1-7","2009","","","",""
"5 on scale 1-7","2009","","","",""
"6 on scale 1-7","2009","","","",""
"7 Strongly agree","2009","","","",""
"1 Strongly disagree","2010","45","0.00370556690449371","0.00278378517934311","0.0046273486296443"
"2 on scale 1-7 ","2010","55","0.0029735986873025","0.002147558036968","0.00379963933763701"
"3 on scale 1-7 ","2010","102","0.00691784268892248","0.00566040972026417","0.0081752756575808"
"4 on scale 1-7","2010","463","0.0291371167526322","0.0265855369924007","0.0316886965128638"
"5 on scale 1-7","2010","1534","0.0921585671888437","0.0877704343190975","0.09654670005859"
"6 on scale 1-7","2010","4566","0.26556411937802","0.258864215780787","0.272264022975253"
"7 Strongly agree","2010","9926","0.599543188399785","0.592109660228182","0.606976716571389"
"1 Strongly disagree","2011","","","",""
"2 on scale 1-7 ","2011","","","",""
"3 on scale 1-7 ","2011","","","",""
"4 on scale 1-7","2011","","","",""
"5 on scale 1-7","2011","","","",""
"6 on scale 1-7","2011","","","",""
"7 Strongly agree","2011","","","",""
"1 Strongly disagree","2012","","","",""
"2 on scale 1-7 ","2012","","","",""
"3 on scale 1-7 ","2012","","","",""
"4 on scale 1-7","2012","","","",""
"5 on scale 1-7","2012","","","",""
"6 on scale 1-7","2012","","","",""
"7 Strongly agree","2012","","","",""
"1 Strongly disagree","2013","","","",""
"2 on scale 1-7 ","2013","","","",""
"3 on scale 1-7 ","2013","","","",""
