"plh0206i01","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","in school","","","",""
"1 Strongly disagree","2005","Full Time","inadequately","1","","",""
"1 Strongly disagree","2005","Full Time","general elemantary","2","","",""
"1 Strongly disagree","2005","Full Time","middle vocational","6","","",""
"1 Strongly disagree","2005","Full Time","vocational + Abi","","","",""
"1 Strongly disagree","2005","Full Time","higher vocational","1","","",""
"1 Strongly disagree","2005","Full Time","higher education","4","","",""
"1 Strongly disagree","2005","Part Time","in school","","","",""
"1 Strongly disagree","2005","Part Time","inadequately","","","",""
"1 Strongly disagree","2005","Part Time","general elemantary","1","","",""
"1 Strongly disagree","2005","Part Time","middle vocational","6","","",""
"1 Strongly disagree","2005","Part Time","vocational + Abi","","","",""
"1 Strongly disagree","2005","Part Time","higher vocational","","","",""
"1 Strongly disagree","2005","Part Time","higher education","1","","",""
"1 Strongly disagree","2005","Not Working","in school","1","","",""
"1 Strongly disagree","2005","Not Working","inadequately","","","",""
"1 Strongly disagree","2005","Not Working","general elemantary","3","","",""
"1 Strongly disagree","2005","Not Working","middle vocational","9","","",""
"1 Strongly disagree","2005","Not Working","vocational + Abi","2","","",""
"1 Strongly disagree","2005","Not Working","higher vocational","1","","",""
"1 Strongly disagree","2005","Not Working","higher education","","","",""
"2 on scale 1-7 ","2005","Full Time","in school","","","",""
"2 on scale 1-7 ","2005","Full Time","inadequately","","","",""
"2 on scale 1-7 ","2005","Full Time","general elemantary","4","","",""
"2 on scale 1-7 ","2005","Full Time","middle vocational","9","","",""
"2 on scale 1-7 ","2005","Full Time","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Full Time","higher vocational","3","","",""
"2 on scale 1-7 ","2005","Full Time","higher education","6","","",""
"2 on scale 1-7 ","2005","Part Time","in school","","","",""
"2 on scale 1-7 ","2005","Part Time","inadequately","","","",""
"2 on scale 1-7 ","2005","Part Time","general elemantary","","","",""
"2 on scale 1-7 ","2005","Part Time","middle vocational","1","","",""
"2 on scale 1-7 ","2005","Part Time","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Part Time","higher vocational","","","",""
"2 on scale 1-7 ","2005","Part Time","higher education","2","","",""
"2 on scale 1-7 ","2005","Not Working","in school","","","",""
"2 on scale 1-7 ","2005","Not Working","inadequately","1","","",""
"2 on scale 1-7 ","2005","Not Working","general elemantary","7","","",""
"2 on scale 1-7 ","2005","Not Working","middle vocational","7","","",""
"2 on scale 1-7 ","2005","Not Working","vocational + Abi","","","",""
"2 on scale 1-7 ","2005","Not Working","higher vocational","","","",""
"2 on scale 1-7 ","2005","Not Working","higher education","4","","",""
"3 on scale 1-7 ","2005","Full Time","in school","","","",""
"3 on scale 1-7 ","2005","Full Time","inadequately","","","",""
"3 on scale 1-7 ","2005","Full Time","general elemantary","6","","",""
"3 on scale 1-7 ","2005","Full Time","middle vocational","21","","",""
"3 on scale 1-7 ","2005","Full Time","vocational + Abi","2","","",""
"3 on scale 1-7 ","2005","Full Time","higher vocational","6","","",""
"3 on scale 1-7 ","2005","Full Time","higher education","15","","",""
"3 on scale 1-7 ","2005","Part Time","in school","","","",""
"3 on scale 1-7 ","2005","Part Time","inadequately","","","",""
"3 on scale 1-7 ","2005","Part Time","general elemantary","1","","",""
"3 on scale 1-7 ","2005","Part Time","middle vocational","10","","",""
"3 on scale 1-7 ","2005","Part Time","vocational + Abi","3","","",""
"3 on scale 1-7 ","2005","Part Time","higher vocational","4","","",""
"3 on scale 1-7 ","2005","Part Time","higher education","3","","",""
"3 on scale 1-7 ","2005","Not Working","in school","2","","",""
"3 on scale 1-7 ","2005","Not Working","inadequately","6","","",""
"3 on scale 1-7 ","2005","Not Working","general elemantary","15","","",""
"3 on scale 1-7 ","2005","Not Working","middle vocational","31","0.00878988364924827","0.00587826866914444","0.0117014986293521"
"3 on scale 1-7 ","2005","Not Working","vocational + Abi","","","",""
"3 on scale 1-7 ","2005","Not Working","higher vocational","2","","",""
"3 on scale 1-7 ","2005","Not Working","higher education","8","","",""
"4 on scale 1-7","2005","Full Time","in school","1","","",""
"4 on scale 1-7","2005","Full Time","inadequately","2","","",""
"4 on scale 1-7","2005","Full Time","general elemantary","25","","",""
"4 on scale 1-7","2005","Full Time","middle vocational","93","0.0293313922522682","0.0239770928681564","0.0346856916363801"
"4 on scale 1-7","2005","Full Time","vocational + Abi","12","","",""
"4 on scale 1-7","2005","Full Time","higher vocational","17","","",""
"4 on scale 1-7","2005","Full Time","higher education","42","0.0183213611426807","0.0127601415416055","0.0238825807437559"
"4 on scale 1-7","2005","Part Time","in school","3","","",""
"4 on scale 1-7","2005","Part Time","inadequately","3","","",""
"4 on scale 1-7","2005","Part Time","general elemantary","27","","",""
"4 on scale 1-7","2005","Part Time","middle vocational","56","0.0251775258738669","0.0190474330275295","0.0313076187202042"
"4 on scale 1-7","2005","Part Time","vocational + Abi","11","","",""
"4 on scale 1-7","2005","Part Time","higher vocational","7","","",""
"4 on scale 1-7","2005","Part Time","higher education","21","","",""
"4 on scale 1-7","2005","Not Working","in school","28","","",""
"4 on scale 1-7","2005","Not Working","inadequately","10","","",""
"4 on scale 1-7","2005","Not Working","general elemantary","61","0.0513527817791259","0.0396007542712327","0.0631048092870191"
"4 on scale 1-7","2005","Not Working","middle vocational","118","0.0246275352268991","0.0197929943230428","0.0294620761307554"
"4 on scale 1-7","2005","Not Working","vocational + Abi","12","","",""
"4 on scale 1-7","2005","Not Working","higher vocational","13","","",""
"4 on scale 1-7","2005","Not Working","higher education","24","","",""
"5 on scale 1-7","2005","Full Time","in school","","","",""
"5 on scale 1-7","2005","Full Time","inadequately","4","","",""
"5 on scale 1-7","2005","Full Time","general elemantary","44","0.0849743661245282","0.0617548157471405","0.108193916501916"
"5 on scale 1-7","2005","Full Time","middle vocational","270","0.0709719266701913","0.0628237856584767","0.0791200676819058"
