"plh0206i01","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","14","","","","1"
"1 Strongly disagree","2005","Part Time","8","","","","1"
"1 Strongly disagree","2005","Not Working","16","","","","1"
"2 on scale 1-7 ","2005","Full Time","22","","","","2"
"2 on scale 1-7 ","2005","Not Working","20","","","","2"
"2 on scale 1-7 ","2005","Part Time","3","","","","2"
"3 on scale 1-7 ","2005","Full Time","50","0.00512134703809198","0.00355962862914712","0.00668306544703684","3"
"3 on scale 1-7 ","2005","Part Time","22","","","","3"
"3 on scale 1-7 ","2005","Not Working","69","0.00888201418399858","0.0068105575911687","0.0109534707768285","3"
"4 on scale 1-7","2005","Full Time","196","0.0272704924477954","0.0237070634822312","0.0308339214133595","4"
"4 on scale 1-7","2005","Not Working","273","0.0344294538351709","0.0304040032596399","0.038454904410702","4"
"4 on scale 1-7","2005","Part Time","133","0.03128137072858","0.0263654883693657","0.0361972530877944","4"
"5 on scale 1-7","2005","Full Time","608","0.0807159641876498","0.0747561852763844","0.0866757430989152","5"
"5 on scale 1-7","2005","Part Time","332","0.0697403287676675","0.0625474314604714","0.0769332260748636","5"
"5 on scale 1-7","2005","Not Working","732","0.0906545170972533","0.0843155775712325","0.0969934566232742","5"
"6 on scale 1-7","2005","Not Working","1856","0.222231682181387","0.213052889974205","0.231410474388568","6"
"6 on scale 1-7","2005","Part Time","1186","0.224219100510327","0.2124412615417","0.235996939478955","6"
"6 on scale 1-7","2005","Full Time","2120","0.248535528306088","0.239080256086193","0.257990800525983","6"
"7 Strongly agree","2005","Not Working","4915","0.638204803407537","0.627595939949079","0.648813666865996","7"
"7 Strongly agree","2005","Full Time","5015","0.632937020823237","0.622391303830812","0.643482737815663","7"
"7 Strongly agree","2005","Part Time","3133","0.66740054711176","0.654095579788305","0.680705514435216","7"
"1 Strongly disagree","2006","Full Time","","","","","1"
"1 Strongly disagree","2006","Part Time","","","","","1"
"1 Strongly disagree","2006","Not Working","","","","","1"
"2 on scale 1-7 ","2006","Not Working","","","","","2"
"2 on scale 1-7 ","2006","Full Time","","","","","2"
"2 on scale 1-7 ","2006","Part Time","","","","","2"
"3 on scale 1-7 ","2006","Full Time","","","","","3"
"3 on scale 1-7 ","2006","Part Time","","","","","3"
"3 on scale 1-7 ","2006","Not Working","","","","","3"
"4 on scale 1-7","2006","Not Working","","","","","4"
"4 on scale 1-7","2006","Full Time","","","","","4"
"4 on scale 1-7","2006","Part Time","","","","","4"
"5 on scale 1-7","2006","Not Working","","","","","5"
"5 on scale 1-7","2006","Full Time","","","","","5"
"5 on scale 1-7","2006","Part Time","","","","","5"
"6 on scale 1-7","2006","Not Working","","","","","6"
"6 on scale 1-7","2006","Part Time","","","","","6"
"6 on scale 1-7","2006","Full Time","","","","","6"
"7 Strongly agree","2006","Not Working","","","","","7"
"7 Strongly agree","2006","Full Time","","","","","7"
"7 Strongly agree","2006","Part Time","","","","","7"
"1 Strongly disagree","2007","Part Time","","","","","1"
"1 Strongly disagree","2007","Not Working","","","","","1"
"1 Strongly disagree","2007","Full Time","","","","","1"
"2 on scale 1-7 ","2007","Full Time","","","","","2"
"2 on scale 1-7 ","2007","Not Working","","","","","2"
"2 on scale 1-7 ","2007","Part Time","","","","","2"
"3 on scale 1-7 ","2007","Part Time","","","","","3"
"3 on scale 1-7 ","2007","Not Working","","","","","3"
"3 on scale 1-7 ","2007","Full Time","","","","","3"
"4 on scale 1-7","2007","Not Working","","","","","4"
"4 on scale 1-7","2007","Full Time","","","","","4"
"4 on scale 1-7","2007","Part Time","","","","","4"
"5 on scale 1-7","2007","Not Working","","","","","5"
"5 on scale 1-7","2007","Part Time","","","","","5"
"5 on scale 1-7","2007","Full Time","","","","","5"
"6 on scale 1-7","2007","Not Working","","","","","6"
"6 on scale 1-7","2007","Part Time","","","","","6"
"6 on scale 1-7","2007","Full Time","","","","","6"
"7 Strongly agree","2007","Not Working","","","","","7"
"7 Strongly agree","2007","Full Time","","","","","7"
"7 Strongly agree","2007","Part Time","","","","","7"
"1 Strongly disagree","2008","Part Time","","","","","1"
"1 Strongly disagree","2008","Not Working","","","","","1"
"1 Strongly disagree","2008","Full Time","","","","","1"
"2 on scale 1-7 ","2008","Not Working","","","","","2"
"2 on scale 1-7 ","2008","Full Time","","","","","2"
"2 on scale 1-7 ","2008","Part Time","","","","","2"
"3 on scale 1-7 ","2008","Not Working","","","","","3"
"3 on scale 1-7 ","2008","Part Time","","","","","3"
"3 on scale 1-7 ","2008","Full Time","","","","","3"
"4 on scale 1-7","2008","Not Working","","","","","4"
"4 on scale 1-7","2008","Part Time","","","","","4"
"4 on scale 1-7","2008","Full Time","","","","","4"
"5 on scale 1-7","2008","Not Working","","","","","5"
"5 on scale 1-7","2008","Part Time","","","","","5"
"5 on scale 1-7","2008","Full Time","","","","","5"
"6 on scale 1-7","2008","Not Working","","","","","6"
"6 on scale 1-7","2008","Part Time","","","","","6"
"6 on scale 1-7","2008","Full Time","","","","","6"
"7 Strongly agree","2008","Not Working","","","","","7"
"7 Strongly agree","2008","Full Time","","","","","7"
"7 Strongly agree","2008","Part Time","","","","","7"
"1 Strongly disagree","2009","Part Time","","","","","1"
"1 Strongly disagree","2009","Not Working","","","","","1"
"1 Strongly disagree","2009","Full Time","","","","","1"
"2 on scale 1-7 ","2009","Not Working","","","","","2"
"2 on scale 1-7 ","2009","Full Time","","","","","2"
"2 on scale 1-7 ","2009","Part Time","","","","","2"
"3 on scale 1-7 ","2009","Not Working","","","","","3"
"3 on scale 1-7 ","2009","Part Time","","","","","3"
"3 on scale 1-7 ","2009","Full Time","","","","","3"
"4 on scale 1-7","2009","Not Working","","","","","4"
"4 on scale 1-7","2009","Part Time","","","","","4"
"4 on scale 1-7","2009","Full Time","","","","","4"
"5 on scale 1-7","2009","Not Working","","","","","5"
"5 on scale 1-7","2009","Part Time","","","","","5"
"5 on scale 1-7","2009","Full Time","","","","","5"
"6 on scale 1-7","2009","Part Time","","","","","6"
"6 on scale 1-7","2009","Not Working","","","","","6"
"6 on scale 1-7","2009","Full Time","","","","","6"
"7 Strongly agree","2009","Not Working","","","","","7"
"7 Strongly agree","2009","Full Time","","","","","7"
"7 Strongly agree","2009","Part Time","","","","","7"
"1 Strongly disagree","2010","Part Time","12","","","","1"
"1 Strongly disagree","2010","Not Working","21","","","","1"
"1 Strongly disagree","2010","Full Time","12","","","","1"
"2 on scale 1-7 ","2010","Not Working","23","","","","2"
"2 on scale 1-7 ","2010","Part Time","18","","","","2"
"2 on scale 1-7 ","2010","Full Time","14","","","","2"
"3 on scale 1-7 ","2010","Not Working","39","0.0062823259005269","0.00433758856252239","0.0082270632385314","3"
"3 on scale 1-7 ","2010","Part Time","22","","","","3"
"3 on scale 1-7 ","2010","Full Time","41","0.00787040801085737","0.00571289635582401","0.0100279196658907","3"
"4 on scale 1-7","2010","Not Working","210","0.0345694962560422","0.0300729791668831","0.0390660133452014","4"
"4 on scale 1-7","2010","Full Time","147","0.0259442167500511","0.0220628692987526","0.0298255642013496","4"
"4 on scale 1-7","2010","Part Time","106","0.0251135401185796","0.0202065751287151","0.030020505108444","4"
"5 on scale 1-7","2010","Not Working","652","0.105749604088212","0.0981806101045575","0.113318598071866","5"
"5 on scale 1-7","2010","Part Time","334","0.0854151798632465","0.0766499866083586","0.0941803731181343","5"
"5 on scale 1-7","2010","Full Time","548","0.0822942068955181","0.0755844514136359","0.0890039623774002","5"
"6 on scale 1-7","2010","Part Time","1035","0.265298689425442","0.251453307792432","0.279144071058451","6"
"6 on scale 1-7","2010","Not Working","1676","0.256008019799122","0.245266143998398","0.266749895599845","6"
"6 on scale 1-7","2010","Full Time","1855","0.275326780574737","0.264420776403219","0.286232784746254","6"
"7 Strongly agree","2010","Not Working","3720","0.590851858025406","0.578750090417264","0.602953625633548","7"
"7 Strongly agree","2010","Full Time","3827","0.602524048596515","0.590575560734333","0.614472536458697","7"
"7 Strongly agree","2010","Part Time","2379","0.609748710773919","0.594450889238091","0.625046532309747","7"
"1 Strongly disagree","2011","Part Time","","","","","1"
"1 Strongly disagree","2011","Not Working","","","","","1"
"1 Strongly disagree","2011","Full Time","","","","","1"
"2 on scale 1-7 ","2011","Not Working","","","","","2"
"2 on scale 1-7 ","2011","Part Time","","","","","2"
"2 on scale 1-7 ","2011","Full Time","","","","","2"
"3 on scale 1-7 ","2011","Part Time","","","","","3"
"3 on scale 1-7 ","2011","Not Working","","","","","3"
"3 on scale 1-7 ","2011","Full Time","","","","","3"
"4 on scale 1-7","2011","Not Working","","","","","4"
"4 on scale 1-7","2011","Part Time","","","","","4"
"4 on scale 1-7","2011","Full Time","","","","","4"
"5 on scale 1-7","2011","Not Working","","","","","5"
"5 on scale 1-7","2011","Part Time","","","","","5"
"5 on scale 1-7","2011","Full Time","","","","","5"
"6 on scale 1-7","2011","Part Time","","","","","6"
"6 on scale 1-7","2011","Not Working","","","","","6"
"6 on scale 1-7","2011","Full Time","","","","","6"
"7 Strongly agree","2011","Not Working","","","","","7"
"7 Strongly agree","2011","Full Time","","","","","7"
"7 Strongly agree","2011","Part Time","","","","","7"
"1 Strongly disagree","2012","Part Time","","","","","1"
"1 Strongly disagree","2012","Not Working","","","","","1"
"1 Strongly disagree","2012","Full Time","","","","","1"
"2 on scale 1-7 ","2012","Not Working","","","","","2"
"2 on scale 1-7 ","2012","Part Time","","","","","2"
"2 on scale 1-7 ","2012","Full Time","","","","","2"
"3 on scale 1-7 ","2012","Not Working","","","","","3"
"3 on scale 1-7 ","2012","Part Time","","","","","3"
