"plh0206i01","year","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","31","0.00275704078010946","0.00188456439799345","0.00362951716222547"
"1 Strongly disagree","2005","Rural Area","7","","",""
"2 on scale 1-7 ","2005","Urban Area","29","","",""
"2 on scale 1-7 ","2005","Rural Area","16","","",""
"3 on scale 1-7 ","2005","Urban Area","95","0.00618776005862054","0.00488294037915471","0.00749257973808637"
"3 on scale 1-7 ","2005","Rural Area","46","0.006908425843105","0.00494664534099282","0.00887020634521717"
"4 on scale 1-7","2005","Urban Area","400","0.0325137157905372","0.0295625928226824","0.0354648387583921"
"4 on scale 1-7","2005","Rural Area","202","0.0278405991286511","0.0239441030473693","0.0317370952099328"
"5 on scale 1-7","2005","Urban Area","1120","0.0853935916903522","0.0807435017236799","0.0900436816570244"
"5 on scale 1-7","2005","Rural Area","552","0.0753125889849478","0.0690623377238071","0.0815628402460885"
"6 on scale 1-7","2005","Urban Area","3449","0.234482795483183","0.227433194038307","0.241532396928058"
"6 on scale 1-7","2005","Rural Area","1713","0.227968272105522","0.218032056805955","0.237904487405089"
"7 Strongly agree","2005","Urban Area","8751","0.636458409701678","0.628454657005623","0.644462162397734"
"7 Strongly agree","2005","Rural Area","4312","0.65688071222323","0.645636422271029","0.668125002175431"
"1 Strongly disagree","2006","Urban Area","","","",""
"1 Strongly disagree","2006","Rural Area","","","",""
"2 on scale 1-7 ","2006","Urban Area","","","",""
"2 on scale 1-7 ","2006","Rural Area","","","",""
"3 on scale 1-7 ","2006","Urban Area","","","",""
"3 on scale 1-7 ","2006","Rural Area","","","",""
"4 on scale 1-7","2006","Urban Area","","","",""
"4 on scale 1-7","2006","Rural Area","","","",""
"5 on scale 1-7","2006","Urban Area","","","",""
"5 on scale 1-7","2006","Rural Area","","","",""
"6 on scale 1-7","2006","Urban Area","","","",""
"6 on scale 1-7","2006","Rural Area","","","",""
"7 Strongly agree","2006","Urban Area","","","",""
"7 Strongly agree","2006","Rural Area","","","",""
"1 Strongly disagree","2007","Urban Area","","","",""
"1 Strongly disagree","2007","Rural Area","","","",""
"2 on scale 1-7 ","2007","Urban Area","","","",""
"2 on scale 1-7 ","2007","Rural Area","","","",""
"3 on scale 1-7 ","2007","Urban Area","","","",""
"3 on scale 1-7 ","2007","Rural Area","","","",""
"4 on scale 1-7","2007","Urban Area","","","",""
"4 on scale 1-7","2007","Rural Area","","","",""
"5 on scale 1-7","2007","Urban Area","","","",""
"5 on scale 1-7","2007","Rural Area","","","",""
"6 on scale 1-7","2007","Urban Area","","","",""
"6 on scale 1-7","2007","Rural Area","","","",""
"7 Strongly agree","2007","Urban Area","","","",""
"7 Strongly agree","2007","Rural Area","","","",""
"1 Strongly disagree","2008","Urban Area","","","",""
"1 Strongly disagree","2008","Rural Area","","","",""
"2 on scale 1-7 ","2008","Urban Area","","","",""
"2 on scale 1-7 ","2008","Rural Area","","","",""
"3 on scale 1-7 ","2008","Urban Area","","","",""
"3 on scale 1-7 ","2008","Rural Area","","","",""
"4 on scale 1-7","2008","Urban Area","","","",""
"4 on scale 1-7","2008","Rural Area","","","",""
"5 on scale 1-7","2008","Urban Area","","","",""
"5 on scale 1-7","2008","Rural Area","","","",""
"6 on scale 1-7","2008","Urban Area","","","",""
"6 on scale 1-7","2008","Rural Area","","","",""
"7 Strongly agree","2008","Urban Area","","","",""
"7 Strongly agree","2008","Rural Area","","","",""
"1 Strongly disagree","2009","Urban Area","","","",""
"1 Strongly disagree","2009","Rural Area","","","",""
"2 on scale 1-7 ","2009","Urban Area","","","",""
"2 on scale 1-7 ","2009","Rural Area","","","",""
"3 on scale 1-7 ","2009","Urban Area","","","",""
"3 on scale 1-7 ","2009","Rural Area","","","",""
"4 on scale 1-7","2009","Urban Area","","","",""
"4 on scale 1-7","2009","Rural Area","","","",""
"5 on scale 1-7","2009","Urban Area","","","",""
"5 on scale 1-7","2009","Rural Area","","","",""
"6 on scale 1-7","2009","Urban Area","","","",""
"6 on scale 1-7","2009","Rural Area","","","",""
"7 Strongly agree","2009","Urban Area","","","",""
"7 Strongly agree","2009","Rural Area","","","",""
"1 Strongly disagree","2010","Urban Area","29","","",""
"1 Strongly disagree","2010","Rural Area","16","","",""
"2 on scale 1-7 ","2010","Urban Area","27","","",""
"2 on scale 1-7 ","2010","Rural Area","28","","",""
"3 on scale 1-7 ","2010","Urban Area","62","0.00721774783706796","0.00563807007748861","0.00879742559664732"
"3 on scale 1-7 ","2010","Rural Area","40","0.00625456713283986","0.00420068234903588","0.00830845191664383"
"4 on scale 1-7","2010","Urban Area","283","0.0274580209947337","0.0244085153380268","0.0305075266514406"
"4 on scale 1-7","2010","Rural Area","180","0.0328506347746566","0.0282069948773633","0.0374942746719499"
"5 on scale 1-7","2010","Urban Area","957","0.0918307644949699","0.0864416409279413","0.0972198880619984"
"5 on scale 1-7","2010","Rural Area","577","0.0928835414529037","0.0853214699117443","0.100445612994063"
"6 on scale 1-7","2010","Urban Area","3040","0.265503400172488","0.257262577155164","0.273744223189811"
"6 on scale 1-7","2010","Rural Area","1526","0.265698407052185","0.254191156058442","0.277205658045927"
"7 Strongly agree","2010","Urban Area","6633","0.60259293085184","0.593460835045804","0.611725026657876"
"7 Strongly agree","2010","Rural Area","3293","0.592798323787411","0.57999867251449","0.605597975060333"
"1 Strongly disagree","2011","Urban Area","","","",""
"1 Strongly disagree","2011","Rural Area","","","",""
"2 on scale 1-7 ","2011","Urban Area","","","",""
"2 on scale 1-7 ","2011","Rural Area","","","",""
"3 on scale 1-7 ","2011","Urban Area","","","",""
