"plh0206i01","year","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Male","16","","",""
"1 Strongly disagree","2005","Female","22","","",""
"2 on scale 1-7 ","2005","Male","22","","",""
"2 on scale 1-7 ","2005","Female","23","","",""
"3 on scale 1-7 ","2005","Male","67","0.00623920871979651","0.00468874796429452","0.0077896694752985"
"3 on scale 1-7 ","2005","Female","74","0.00657448471207074","0.0050513674359307","0.00809760198821078"
"4 on scale 1-7","2005","Male","293","0.031636001476706","0.0281896052736532","0.0350823976797587"
"4 on scale 1-7","2005","Female","309","0.030518428863769","0.0272766327747414","0.0337602249527966"
"5 on scale 1-7","2005","Male","879","0.0904699015076335","0.0848216283894214","0.0961181746258456"
"5 on scale 1-7","2005","Female","793","0.0745255016655921","0.0695759084093424","0.0794750949218418"
"6 on scale 1-7","2005","Male","2655","0.253291706501585","0.244728408364854","0.261855004638317"
"6 on scale 1-7","2005","Female","2507","0.212835592979986","0.205121414508745","0.220549771451227"
"7 Strongly agree","2005","Male","5976","0.614544627858139","0.604961244599881","0.624128011116397"
"7 Strongly agree","2005","Female","7087","0.669427902956887","0.66056206415281","0.678293741760964"
"1 Strongly disagree","2006","Male","","","",""
"1 Strongly disagree","2006","Female","","","",""
"2 on scale 1-7 ","2006","Male","","","",""
"2 on scale 1-7 ","2006","Female","","","",""
"3 on scale 1-7 ","2006","Male","","","",""
"3 on scale 1-7 ","2006","Female","","","",""
"4 on scale 1-7","2006","Male","","","",""
"4 on scale 1-7","2006","Female","","","",""
"5 on scale 1-7","2006","Male","","","",""
"5 on scale 1-7","2006","Female","","","",""
"6 on scale 1-7","2006","Male","","","",""
"6 on scale 1-7","2006","Female","","","",""
"7 Strongly agree","2006","Male","","","",""
"7 Strongly agree","2006","Female","","","",""
"1 Strongly disagree","2007","Male","","","",""
"1 Strongly disagree","2007","Female","","","",""
"2 on scale 1-7 ","2007","Male","","","",""
"2 on scale 1-7 ","2007","Female","","","",""
"3 on scale 1-7 ","2007","Male","","","",""
"3 on scale 1-7 ","2007","Female","","","",""
"4 on scale 1-7","2007","Male","","","",""
"4 on scale 1-7","2007","Female","","","",""
"5 on scale 1-7","2007","Male","","","",""
"5 on scale 1-7","2007","Female","","","",""
"6 on scale 1-7","2007","Male","","","",""
"6 on scale 1-7","2007","Female","","","",""
"7 Strongly agree","2007","Male","","","",""
"7 Strongly agree","2007","Female","","","",""
"1 Strongly disagree","2008","Male","","","",""
"1 Strongly disagree","2008","Female","","","",""
"2 on scale 1-7 ","2008","Male","","","",""
"2 on scale 1-7 ","2008","Female","","","",""
"3 on scale 1-7 ","2008","Male","","","",""
"3 on scale 1-7 ","2008","Female","","","",""
"4 on scale 1-7","2008","Male","","","",""
"4 on scale 1-7","2008","Female","","","",""
"5 on scale 1-7","2008","Male","","","",""
"5 on scale 1-7","2008","Female","","","",""
"6 on scale 1-7","2008","Male","","","",""
"6 on scale 1-7","2008","Female","","","",""
"7 Strongly agree","2008","Male","","","",""
"7 Strongly agree","2008","Female","","","",""
"1 Strongly disagree","2009","Male","","","",""
"1 Strongly disagree","2009","Female","","","",""
"2 on scale 1-7 ","2009","Male","","","",""
"2 on scale 1-7 ","2009","Female","","","",""
"3 on scale 1-7 ","2009","Male","","","",""
"3 on scale 1-7 ","2009","Female","","","",""
"4 on scale 1-7","2009","Male","","","",""
"4 on scale 1-7","2009","Female","","","",""
"5 on scale 1-7","2009","Male","","","",""
"5 on scale 1-7","2009","Female","","","",""
"6 on scale 1-7","2009","Male","","","",""
"6 on scale 1-7","2009","Female","","","",""
"7 Strongly agree","2009","Male","","","",""
"7 Strongly agree","2009","Female","","","",""
"1 Strongly disagree","2010","Male","15","","",""
"1 Strongly disagree","2010","Female","30","0.00440118295489635","0.00301372473672799","0.00578864117306472"
"2 on scale 1-7 ","2010","Male","27","","",""
"2 on scale 1-7 ","2010","Female","28","","",""
"3 on scale 1-7 ","2010","Male","55","0.00736343705839403","0.00548376576888171","0.00924310834790635"
"3 on scale 1-7 ","2010","Female","47","0.00648348937253022","0.00480126096491106","0.00816571778014939"
"4 on scale 1-7","2010","Male","223","0.0302603523719471","0.0264940858401851","0.0340266189037091"
"4 on scale 1-7","2010","Female","240","0.0280422171089991","0.0245818442972565","0.0315025899207417"
"5 on scale 1-7","2010","Male","790","0.0999360615570494","0.0933421323464935","0.106529990767605"
"5 on scale 1-7","2010","Female","744","0.0845772764376643","0.0787450992632809","0.0904094536120476"
"6 on scale 1-7","2010","Male","2259","0.274355364448101","0.264545450287796","0.284165278608406"
"6 on scale 1-7","2010","Female","2307","0.256994651913843","0.247835589272301","0.266153714555385"
"7 Strongly agree","2010","Male","4578","0.581441164791511","0.57059496427226","0.592287365310763"
"7 Strongly agree","2010","Female","5348","0.617188550474243","0.60700042215444","0.627376678794046"
"1 Strongly disagree","2011","Male","","","",""
"1 Strongly disagree","2011","Female","","","",""
"2 on scale 1-7 ","2011","Male","","","",""
"2 on scale 1-7 ","2011","Female","","","",""
"3 on scale 1-7 ","2011","Male","","","",""
"3 on scale 1-7 ","2011","Female","","","",""
"4 on scale 1-7","2011","Male","","","",""
"4 on scale 1-7","2011","Female","","","",""
"5 on scale 1-7","2011","Male","","","",""
"5 on scale 1-7","2011","Female","","","",""
"6 on scale 1-7","2011","Male","","","",""
"6 on scale 1-7","2011","Female","","","",""
"7 Strongly agree","2011","Male","","","",""
"7 Strongly agree","2011","Female","","","",""
"1 Strongly disagree","2012","Male","","","",""
"1 Strongly disagree","2012","Female","","","",""
"2 on scale 1-7 ","2012","Male","","","",""
"2 on scale 1-7 ","2012","Female","","","",""
"3 on scale 1-7 ","2012","Male","","","",""
"3 on scale 1-7 ","2012","Female","","","",""
"4 on scale 1-7","2012","Male","","","",""
"4 on scale 1-7","2012","Female","","","",""
"5 on scale 1-7","2012","Male","","","",""
"5 on scale 1-7","2012","Female","","","",""
"6 on scale 1-7","2012","Male","","","",""
"6 on scale 1-7","2012","Female","","","",""
"7 Strongly agree","2012","Male","","","",""
"7 Strongly agree","2012","Female","","","",""
"1 Strongly disagree","2013","Male","","","",""
"1 Strongly disagree","2013","Female","","","",""
"2 on scale 1-7 ","2013","Male","","","",""
"2 on scale 1-7 ","2013","Female","","","",""
"3 on scale 1-7 ","2013","Male","","","",""
