"plh0206i01","year","education","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","Male","","","",""
"1 Strongly disagree","2005","lower secondary degree","Female","","","",""
"1 Strongly disagree","2005","secondary school degree","Male","","","",""
"1 Strongly disagree","2005","secondary school degree","Female","","","",""
"1 Strongly disagree","2005","college entrance qualification","Male","","","",""
"1 Strongly disagree","2005","college entrance qualification","Female","","","",""
"1 Strongly disagree","2005","Other degree","Male","","","",""
"1 Strongly disagree","2005","Other degree","Female","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Male","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Female","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Male","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","Female","","","",""
"2 on scale 1-7 ","2005","secondary school degree","Male","","","",""
"2 on scale 1-7 ","2005","secondary school degree","Female","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","Male","","","",""
"2 on scale 1-7 ","2005","college entrance qualification","Female","","","",""
"2 on scale 1-7 ","2005","Other degree","Male","","","",""
"2 on scale 1-7 ","2005","Other degree","Female","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Male","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","Female","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","Male","35","0.0101100247705585","0.00677716635781387","0.0134428831833032"
"3 on scale 1-7 ","2005","lower secondary degree","Female","","","",""
"3 on scale 1-7 ","2005","secondary school degree","Male","","","",""
"3 on scale 1-7 ","2005","secondary school degree","Female","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","Male","","","",""
"3 on scale 1-7 ","2005","college entrance qualification","Female","","","",""
"3 on scale 1-7 ","2005","Other degree","Male","","","",""
"3 on scale 1-7 ","2005","Other degree","Female","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Male","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Female","","","",""
"4 on scale 1-7","2005","lower secondary degree","Male","116","0.0287999167297757","0.0232280943565579","0.0343717391029935"
"4 on scale 1-7","2005","lower secondary degree","Female","115","0.0347036137339401","0.0287528416072789","0.0406543858606012"
"4 on scale 1-7","2005","secondary school degree","Male","64","0.0259654407209103","0.0198229500348424","0.0321079314069782"
"4 on scale 1-7","2005","secondary school degree","Female","74","0.0223171725519345","0.0173889059844039","0.027245439119465"
"4 on scale 1-7","2005","college entrance qualification","Male","55","0.0262700295788957","0.0202583885917027","0.0322816705660887"
"4 on scale 1-7","2005","college entrance qualification","Female","58","0.0295319704309684","0.0228597119599351","0.0362042289020018"
"4 on scale 1-7","2005","Other degree","Male","","","",""
"4 on scale 1-7","2005","Other degree","Female","31","0.0422863008243171","0.0260480299187456","0.0585245717298886"
"4 on scale 1-7","2005","no degree/no degree yet","Male","","","",""
"4 on scale 1-7","2005","no degree/no degree yet","Female","","","",""
"5 on scale 1-7","2005","lower secondary degree","Male","310","0.0885065548096278","0.0790439264391048","0.0979691831801508"
"5 on scale 1-7","2005","lower secondary degree","Female","300","0.081093825094112","0.0722184828799936","0.0899691673082304"
"5 on scale 1-7","2005","secondary school degree","Male","195","0.0740080072620782","0.0638968132128686","0.0841192013112878"
"5 on scale 1-7","2005","secondary school degree","Female","215","0.0616235019692445","0.0536004914808095","0.0696465124576795"
"5 on scale 1-7","2005","college entrance qualification","Male","236","0.099266331339863","0.0880269431485032","0.110505719531223"
"5 on scale 1-7","2005","college entrance qualification","Female","162","0.0702658447951151","0.060192178462427","0.0803395111278033"
"5 on scale 1-7","2005","Other degree","Male","52","0.100913830742683","0.0754137414669662","0.1264139200184"
"5 on scale 1-7","2005","Other degree","Female","47","0.0669471322585363","0.0467801368052538","0.0871141277118188"
"5 on scale 1-7","2005","no degree/no degree yet","Male","62","0.114652904931264","0.0841465447004845","0.145159265162044"
"5 on scale 1-7","2005","no degree/no degree yet","Female","51","0.125491358409974","0.0958246544936932","0.155158062326254"
"6 on scale 1-7","2005","lower secondary degree","Male","795","0.222510781256076","0.208653756003643","0.236367806508508"
"6 on scale 1-7","2005","lower secondary degree","Female","802","0.208242575774554","0.195040674971273","0.221444476577834"
"6 on scale 1-7","2005","secondary school degree","Male","713","0.268383532865337","0.25126844460717","0.285498621123503"
"6 on scale 1-7","2005","secondary school degree","Female","804","0.209232224251629","0.195661145241929","0.222803303261329"
"6 on scale 1-7","2005","college entrance qualification","Male","869","0.297837206023646","0.28064815627457","0.315026255772723"
"6 on scale 1-7","2005","college entrance qualification","Female","616","0.230484777314009","0.213886394977254","0.247083159650763"
"6 on scale 1-7","2005","Other degree","Male","120","0.223178160209783","0.187928717420731","0.258427602998835"
"6 on scale 1-7","2005","Other degree","Female","128","0.216008317063389","0.182802585740884","0.249214048385894"
"6 on scale 1-7","2005","no degree/no degree yet","Male","106","0.26140959026878","0.2193365719091","0.303482608628459"
"6 on scale 1-7","2005","no degree/no degree yet","Female","114","0.192129039304458","0.156847474502237","0.227410604106679"
"7 Strongly agree","2005","lower secondary degree","Male","2188","0.645206274230382","0.629266412569664","0.661146135891099"
"7 Strongly agree","2005","lower secondary degree","Female","2375","0.66165733922269","0.646274001421658","0.677040677023721"
"7 Strongly agree","2005","secondary school degree","Male","1587","0.627330623653498","0.608655238302816","0.64600600900418"
"7 Strongly agree","2005","secondary school degree","Female","2328","0.697364521009539","0.682037228139155","0.712691813879924"
"7 Strongly agree","2005","college entrance qualification","Male","1535","0.568633841236869","0.550017991104432","0.587249691369307"
"7 Strongly agree","2005","college entrance qualification","Female","1613","0.662070828675076","0.643428459631788","0.680713197718365"
"7 Strongly agree","2005","Other degree","Male","333","0.601637513340884","0.560192492028847","0.643082534652921"
"7 Strongly agree","2005","Other degree","Female","373","0.653107141186863","0.614700000066463","0.691514282307262"
"7 Strongly agree","2005","no degree/no degree yet","Male","226","0.564077315954241","0.51659683258509","0.611557799323393"
"7 Strongly agree","2005","no degree/no degree yet","Female","283","0.62178375278442","0.578355724727588","0.665211780841253"
"1 Strongly disagree","2006","lower secondary degree","Male","","","",""
"1 Strongly disagree","2006","lower secondary degree","Female","","","",""
"1 Strongly disagree","2006","secondary school degree","Male","","","",""
"1 Strongly disagree","2006","secondary school degree","Female","","","",""
"1 Strongly disagree","2006","college entrance qualification","Male","","","",""
"1 Strongly disagree","2006","college entrance qualification","Female","","","",""
"1 Strongly disagree","2006","Other degree","Male","","","",""
"1 Strongly disagree","2006","Other degree","Female","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","Male","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","Female","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","Male","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","Female","","","",""
"2 on scale 1-7 ","2006","secondary school degree","Male","","","",""
"2 on scale 1-7 ","2006","secondary school degree","Female","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","Male","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","Female","","","",""
"2 on scale 1-7 ","2006","Other degree","Male","","","",""
