"plh0206i01","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","(0) in school","1","","",""
"1 Strongly disagree","2005","Not Employed","(1a) inadequately completed","","","",""
"1 Strongly disagree","2005","Not Employed","(1b) general elementary school","3","","",""
"1 Strongly disagree","2005","Not Employed","(1c) basic vocational qualification","6","","",""
"1 Strongly disagree","2005","Not Employed","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","Not Employed","(2a) intermediate vocational","3","","",""
"1 Strongly disagree","2005","Not Employed","(2c_gen) general maturity certificate","1","","",""
"1 Strongly disagree","2005","Not Employed","(2c_voc) vocational maturity certificate","2","","",""
"1 Strongly disagree","2005","Not Employed","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2005","Not Employed","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2005","Employed","(0) in school","","","",""
"1 Strongly disagree","2005","Employed","(1a) inadequately completed","1","","",""
"1 Strongly disagree","2005","Employed","(1b) general elementary school","3","","",""
"1 Strongly disagree","2005","Employed","(1c) basic vocational qualification","8","","",""
"1 Strongly disagree","2005","Employed","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2005","Employed","(2a) intermediate vocational","5","","",""
"1 Strongly disagree","2005","Employed","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2005","Employed","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2005","Employed","(3a) lower tertiary education","1","","",""
"1 Strongly disagree","2005","Employed","(3b) higher tertiary education","4","","",""
"2 on scale 1-7 ","2005","Not Employed","(0) in school","","","",""
"2 on scale 1-7 ","2005","Not Employed","(1a) inadequately completed","1","","",""
"2 on scale 1-7 ","2005","Not Employed","(1b) general elementary school","7","","",""
"2 on scale 1-7 ","2005","Not Employed","(1c) basic vocational qualification","5","","",""
"2 on scale 1-7 ","2005","Not Employed","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2005","Not Employed","(2a) intermediate vocational","","","",""
"2 on scale 1-7 ","2005","Not Employed","(2c_gen) general maturity certificate","2","","",""
"2 on scale 1-7 ","2005","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"2 on scale 1-7 ","2005","Not Employed","(3a) lower tertiary education","1","","",""
"2 on scale 1-7 ","2005","Not Employed","(3b) higher tertiary education","3","","",""
