"plh0206i01","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","Urban Area","14","","",""
"1 Strongly disagree","2005","Not Employed","Rural Area","2","","",""
"1 Strongly disagree","2005","Employed","Urban Area","17","","",""
"1 Strongly disagree","2005","Employed","Rural Area","5","","",""
"2 on scale 1-7 ","2005","Not Employed","Urban Area","12","","",""
"2 on scale 1-7 ","2005","Not Employed","Rural Area","8","","",""
"2 on scale 1-7 ","2005","Employed","Urban Area","17","","",""
"2 on scale 1-7 ","2005","Employed","Rural Area","8","","",""
"3 on scale 1-7 ","2005","Not Employed","Urban Area","41","0.0079516611852294","0.00554295721426111","0.0103603651561977"
"3 on scale 1-7 ","2005","Not Employed","Rural Area","28","","",""
"3 on scale 1-7 ","2005","Employed","Urban Area","54","0.00499550917671556","0.0035099422003329","0.00648107615309822"
"3 on scale 1-7 ","2005","Employed","Rural Area","18","","",""
"4 on scale 1-7","2005","Not Employed","Urban Area","172","0.0345835285417309","0.0296281129693605","0.0395389441141014"
"4 on scale 1-7","2005","Not Employed","Rural Area","101","0.0340884891108923","0.0271901720772887","0.0409868061444959"
"4 on scale 1-7","2005","Employed","Urban Area","228","0.0311146940195533","0.0274561457642762","0.0347732422748304"
"4 on scale 1-7","2005","Employed","Rural Area","101","0.0236091517742507","0.0190119547000429","0.0282063488484585"
"5 on scale 1-7","2005","Not Employed","Urban Area","488","0.0937898518834509","0.0858834212734663","0.101696282493436"
"5 on scale 1-7","2005","Not Employed","Rural Area","244","0.083716074151197","0.0731870029228374","0.0942451453795566"
"5 on scale 1-7","2005","Employed","Urban Area","632","0.0797184160986391","0.0740111314691604","0.0854257007281178"
"5 on scale 1-7","2005","Employed","Rural Area","308","0.0696212427583754","0.0619150146872214","0.0773274708295294"
"6 on scale 1-7","2005","Not Employed","Urban Area","1229","0.224305442223516","0.212993078622303","0.235617805824729"
"6 on scale 1-7","2005","Not Employed","Rural Area","627","0.217642486220729","0.201955299320206","0.233329673121251"
"6 on scale 1-7","2005","Employed","Urban Area","2220","0.241361842282491","0.232345269698513","0.25037841486647"
"6 on scale 1-7","2005","Employed","Rural Area","1086","0.23496151614287","0.222123997463338","0.247799034822401"
"7 Strongly agree","2005","Not Employed","Urban Area","3267","0.633383717358115","0.620315167467914","0.646452267248317"
"7 Strongly agree","2005","Not Employed","Rural Area","1648","0.648873785437527","0.630727725358411","0.667019845516644"
"7 Strongly agree","2005","Employed","Urban Area","5484","0.638536646742803","0.628413515069064","0.648659778416542"
"7 Strongly agree","2005","Employed","Rural Area","2664","0.662303485233084","0.647983819212193","0.676623151253976"
"1 Strongly disagree","2006","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2006","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2006","Employed","Urban Area","","","",""
"1 Strongly disagree","2006","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2006","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2006","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2006","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2006","Employed","Rural Area","","","",""
