"plh0206i01","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Schleswig-Holstein","lower secondary degree","1","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","secondary school degree","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","college entrance qualification","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","Other degree","","","",""
"1 Strongly disagree","2005","Schleswig-Holstein","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Hamburg","lower secondary degree","1","","",""
"1 Strongly disagree","2005","Hamburg","secondary school degree","","","",""
"1 Strongly disagree","2005","Hamburg","college entrance qualification","","","",""
"1 Strongly disagree","2005","Hamburg","Other degree","","","",""
"1 Strongly disagree","2005","Hamburg","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Lower Saxony","lower secondary degree","2","","",""
"1 Strongly disagree","2005","Lower Saxony","secondary school degree","1","","",""
"1 Strongly disagree","2005","Lower Saxony","college entrance qualification","1","","",""
"1 Strongly disagree","2005","Lower Saxony","Other degree","","","",""
"1 Strongly disagree","2005","Lower Saxony","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","Bremen","lower secondary degree","","","",""
"1 Strongly disagree","2005","Bremen","secondary school degree","","","",""
"1 Strongly disagree","2005","Bremen","college entrance qualification","","","",""
"1 Strongly disagree","2005","Bremen","Other degree","","","",""
"1 Strongly disagree","2005","Bremen","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","lower secondary degree","4","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","secondary school degree","2","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","college entrance qualification","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","Other degree","","","",""
"1 Strongly disagree","2005","North Rhine-Westphalia","no degree/no degree yet","1","","",""
"1 Strongly disagree","2005","Hesse","lower secondary degree","1","","",""
"1 Strongly disagree","2005","Hesse","secondary school degree","","","",""
"1 Strongly disagree","2005","Hesse","college entrance qualification","3","","",""
"1 Strongly disagree","2005","Hesse","Other degree","","","",""
"1 Strongly disagree","2005","Hesse","no degree/no degree yet","","","",""
