"plh0206i01","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","(0) in school","Male","","","",""
"1 Strongly disagree","2005","(0) in school","Female","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","Male","","","",""
"1 Strongly disagree","2005","(1a) inadequately completed","Female","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","Male","","","",""
"1 Strongly disagree","2005","(1b) general elementary school","Female","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","Male","","","",""
"1 Strongly disagree","2005","(1c) basic vocational qualification","Female","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","Male","","","",""
"1 Strongly disagree","2005","(2b) intermediate general qualification","Female","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","Male","","","",""
"1 Strongly disagree","2005","(2a) intermediate vocational","Female","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","Male","","","",""
"1 Strongly disagree","2005","(2c_gen) general maturity certificate","Female","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","Male","","","",""
"1 Strongly disagree","2005","(2c_voc) vocational maturity certificate","Female","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","Male","","","",""
"1 Strongly disagree","2005","(3a) lower tertiary education","Female","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","Male","","","",""
"1 Strongly disagree","2005","(3b) higher tertiary education","Female","","","",""
"2 on scale 1-7 ","2005","(0) in school","Male","","","",""
"2 on scale 1-7 ","2005","(0) in school","Female","","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","Male","","","",""
"2 on scale 1-7 ","2005","(1a) inadequately completed","Female","","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","Male","","","",""
"2 on scale 1-7 ","2005","(1b) general elementary school","Female","","","",""
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","Male","","","",""
"2 on scale 1-7 ","2005","(1c) basic vocational qualification","Female","","","",""
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","Male","","","",""
"2 on scale 1-7 ","2005","(2b) intermediate general qualification","Female","","","",""
"2 on scale 1-7 ","2005","(2a) intermediate vocational","Male","","","",""
"2 on scale 1-7 ","2005","(2a) intermediate vocational","Female","","","",""
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Male","","","",""
"2 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Female","","","",""
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","Male","","","",""
"2 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","Female","","","",""
"2 on scale 1-7 ","2005","(3a) lower tertiary education","Male","","","",""
"2 on scale 1-7 ","2005","(3a) lower tertiary education","Female","","","",""
"2 on scale 1-7 ","2005","(3b) higher tertiary education","Male","","","",""
"2 on scale 1-7 ","2005","(3b) higher tertiary education","Female","","","",""
"3 on scale 1-7 ","2005","(0) in school","Male","","","",""
"3 on scale 1-7 ","2005","(0) in school","Female","","","",""
"3 on scale 1-7 ","2005","(1a) inadequately completed","Male","","","",""
"3 on scale 1-7 ","2005","(1a) inadequately completed","Female","","","",""
"3 on scale 1-7 ","2005","(1b) general elementary school","Male","","","",""
"3 on scale 1-7 ","2005","(1b) general elementary school","Female","","","",""
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","Male","","","",""
"3 on scale 1-7 ","2005","(1c) basic vocational qualification","Female","","","",""
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","Male","","","",""
"3 on scale 1-7 ","2005","(2b) intermediate general qualification","Female","","","",""
"3 on scale 1-7 ","2005","(2a) intermediate vocational","Male","","","",""
"3 on scale 1-7 ","2005","(2a) intermediate vocational","Female","","","",""
"3 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Male","","","",""
"3 on scale 1-7 ","2005","(2c_gen) general maturity certificate","Female","","","",""
"3 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","Male","","","",""
"3 on scale 1-7 ","2005","(2c_voc) vocational maturity certificate","Female","","","",""
"3 on scale 1-7 ","2005","(3a) lower tertiary education","Male","","","",""
"3 on scale 1-7 ","2005","(3a) lower tertiary education","Female","","","",""
"3 on scale 1-7 ","2005","(3b) higher tertiary education","Male","","","",""
"3 on scale 1-7 ","2005","(3b) higher tertiary education","Female","","","",""
"4 on scale 1-7","2005","(0) in school","Male","","","",""
"4 on scale 1-7","2005","(0) in school","Female","","","",""
"4 on scale 1-7","2005","(1a) inadequately completed","Male","","","",""
"4 on scale 1-7","2005","(1a) inadequately completed","Female","","","",""
"4 on scale 1-7","2005","(1b) general elementary school","Male","31","0.0412019951957725","0.0249704623961031","0.0574335279954419"
"4 on scale 1-7","2005","(1b) general elementary school","Female","60","0.0497865754023925","0.037908204897342","0.061664945907443"
"4 on scale 1-7","2005","(1c) basic vocational qualification","Male","102","0.0325613348780519","0.0263023780264387","0.038820291729665"
"4 on scale 1-7","2005","(1c) basic vocational qualification","Female","77","0.030052836927352","0.023536405911544","0.0365692679431599"
"4 on scale 1-7","2005","(2b) intermediate general qualification","Male","","","",""
"4 on scale 1-7","2005","(2b) intermediate general qualification","Female","","","",""
"4 on scale 1-7","2005","(2a) intermediate vocational","Male","46","0.018531800113147","0.0127135797694562","0.0243500204568379"
"4 on scale 1-7","2005","(2a) intermediate vocational","Female","51","0.0180607663705497","0.0130753209395193","0.02304621180158"
"4 on scale 1-7","2005","(2c_gen) general maturity certificate","Male","","","",""
"4 on scale 1-7","2005","(2c_gen) general maturity certificate","Female","","","",""
"4 on scale 1-7","2005","(2c_voc) vocational maturity certificate","Male","","","",""
"4 on scale 1-7","2005","(2c_voc) vocational maturity certificate","Female","","","",""
"4 on scale 1-7","2005","(3a) lower tertiary education","Male","","","",""
"4 on scale 1-7","2005","(3a) lower tertiary education","Female","","","",""
"4 on scale 1-7","2005","(3b) higher tertiary education","Male","","","",""
"4 on scale 1-7","2005","(3b) higher tertiary education","Female","","","",""
"5 on scale 1-7","2005","(0) in school","Male","54","0.15451705873123","0.114410866127172","0.194623251335288"
"5 on scale 1-7","2005","(0) in school","Female","38","0.144279667166175","0.106875780404684","0.181683553927666"
"5 on scale 1-7","2005","(1a) inadequately completed","Male","","","",""
"5 on scale 1-7","2005","(1a) inadequately completed","Female","","","",""
"5 on scale 1-7","2005","(1b) general elementary school","Male","53","0.0801030979518027","0.0579348646322422","0.102271331271363"
"5 on scale 1-7","2005","(1b) general elementary school","Female","130","0.0985564180992321","0.0822783863717225","0.114834449826742"
"5 on scale 1-7","2005","(1c) basic vocational qualification","Male","274","0.0900574364833682","0.0799624459239026","0.100152427042834"
"5 on scale 1-7","2005","(1c) basic vocational qualification","Female","193","0.0696651806401084","0.0599484414101502","0.0793819198700666"
"5 on scale 1-7","2005","(2b) intermediate general qualification","Male","","","",""
"5 on scale 1-7","2005","(2b) intermediate general qualification","Female","30","0.0881664862819106","0.0586301923198383","0.117702780243983"
"5 on scale 1-7","2005","(2a) intermediate vocational","Male","145","0.0695694217848281","0.0585934134317127","0.0805454301379435"
"5 on scale 1-7","2005","(2a) intermediate vocational","Female","166","0.0588490774375354","0.0500387299265101","0.0676594249485607"
"5 on scale 1-7","2005","(2c_gen) general maturity certificate","Male","37","0.103080716011123","0.0718441852761339","0.134317246746112"
"5 on scale 1-7","2005","(2c_gen) general maturity certificate","Female","36","0.0940326637143605","0.0665410785363904","0.12152424889233"
"5 on scale 1-7","2005","(2c_voc) vocational maturity certificate","Male","52","0.0794166333396262","0.0589428554423981","0.0998904112368544"
"5 on scale 1-7","2005","(2c_voc) vocational maturity certificate","Female","55","0.0722596954956132","0.0548125579349425","0.0897068330562838"
"5 on scale 1-7","2005","(3a) lower tertiary education","Male","80","0.111966554432091","0.0911565287251949","0.132776580138987"
"5 on scale 1-7","2005","(3a) lower tertiary education","Female","45","0.0556860400270473","0.0394362128651209","0.0719358671889736"
"5 on scale 1-7","2005","(3b) higher tertiary education","Male","129","0.108358418101759","0.0922423734646339","0.124474462738884"
"5 on scale 1-7","2005","(3b) higher tertiary education","Female","71","0.0661408133042244","0.0513935586755578","0.080888067932891"
"6 on scale 1-7","2005","(0) in school","Male","86","0.276016360141849","0.226413972452162","0.325618747831537"
"6 on scale 1-7","2005","(0) in school","Female","91","0.23516264966417","0.190016890702054","0.280308408626286"
"6 on scale 1-7","2005","(1a) inadequately completed","Male","","","",""
"6 on scale 1-7","2005","(1a) inadequately completed","Female","","","",""
"6 on scale 1-7","2005","(1b) general elementary school","Male","143","0.242708028269576","0.207696538017817","0.277719518521336"
"6 on scale 1-7","2005","(1b) general elementary school","Female","275","0.203840005024175","0.181839378634684","0.225840631413667"
"6 on scale 1-7","2005","(1c) basic vocational qualification","Male","689","0.217417481067859","0.202871217980681","0.231963744155037"
"6 on scale 1-7","2005","(1c) basic vocational qualification","Female","591","0.210293900212482","0.194740007094904","0.22584779333006"
"6 on scale 1-7","2005","(2b) intermediate general qualification","Male","63","0.217855019670651","0.164037796168128","0.271672243173173"
"6 on scale 1-7","2005","(2b) intermediate general qualification","Female","85","0.193037605196183","0.151923194583141","0.234152015809224"
"6 on scale 1-7","2005","(2a) intermediate vocational","Male","571","0.275572171921398","0.256296546127835","0.29484779771496"
"6 on scale 1-7","2005","(2a) intermediate vocational","Female","633","0.211992418690388","0.196691449661135","0.22729338771964"
"6 on scale 1-7","2005","(2c_gen) general maturity certificate","Male","130","0.361587294738654","0.312229614402296","0.410944975075013"
"6 on scale 1-7","2005","(2c_gen) general maturity certificate","Female","115","0.25338644930852","0.212418542992054","0.294354355624986"
"6 on scale 1-7","2005","(2c_voc) vocational maturity certificate","Male","190","0.285875660845594","0.251663051532873","0.320088270158315"
"6 on scale 1-7","2005","(2c_voc) vocational maturity certificate","Female","195","0.210584815815431","0.183110355266779","0.238059276364082"
"6 on scale 1-7","2005","(3a) lower tertiary education","Male","258","0.251961109009344","0.223309920445903","0.280612297572785"
"6 on scale 1-7","2005","(3a) lower tertiary education","Female","183","0.233227753612642","0.20326093213575","0.263194575089534"
"6 on scale 1-7","2005","(3b) higher tertiary education","Male","456","0.288596472301229","0.265103633815463","0.312089310786995"
"6 on scale 1-7","2005","(3b) higher tertiary education","Female","273","0.228329340871473","0.203421701391158","0.253236980351788"
"7 Strongly agree","2005","(0) in school","Male","152","0.495763399287897","0.440284835754694","0.5512419628211"
"7 Strongly agree","2005","(0) in school","Female","195","0.581066443498615","0.528545355501333","0.633587531495897"
"7 Strongly agree","2005","(1a) inadequately completed","Male","74","0.67289828104376","0.583585979518347","0.762210582569174"
"7 Strongly agree","2005","(1a) inadequately completed","Female","87","0.683813448310528","0.606513143429448","0.761113753191609"
"7 Strongly agree","2005","(1b) general elementary school","Male","338","0.623519778295189","0.583952785024616","0.663086771565763"
"7 Strongly agree","2005","(1b) general elementary school","Female","801","0.622083698479587","0.59560403979682","0.648563357162354"
"7 Strongly agree","2005","(1c) basic vocational qualification","Male","1983","0.645740003990395","0.628873345965906","0.662606662014884"
