"plh0206i01","year","age_gr","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","","","",""
"1 Strongly disagree","2005","35-65 y.","","","",""
"1 Strongly disagree","2005","66 and older","","","",""
"2 on scale 1-7 ","2005","16-34 y.","","","",""
"2 on scale 1-7 ","2005","35-65 y.","","","",""
"2 on scale 1-7 ","2005","66 and older","","","",""
"3 on scale 1-7 ","2005","16-34 y.","30","0.00491903261405128","0.00303937080825035","0.00679869441985221"
"3 on scale 1-7 ","2005","35-65 y.","77","0.00612143912455191","0.00470250308329765","0.00754037516580616"
"3 on scale 1-7 ","2005","66 and older","34","0.008840688907415","0.00586168236825487","0.0118196954465751"
"4 on scale 1-7","2005","16-34 y.","163","0.0373592638950595","0.0322642903998503","0.0424542373902687"
"4 on scale 1-7","2005","35-65 y.","310","0.0270477195594512","0.0240966429157738","0.0299987962031285"
"4 on scale 1-7","2005","66 and older","129","0.0334028968524743","0.0276845370160574","0.0391212566888913"
"5 on scale 1-7","2005","16-34 y.","494","0.0907267055546093","0.0830101152229581","0.0984432958862604"
"5 on scale 1-7","2005","35-65 y.","841","0.0743683453598973","0.0695954430022584","0.0791412477175361"
"5 on scale 1-7","2005","66 and older","337","0.0914058823202719","0.0822346287181162","0.100577135922428"
"6 on scale 1-7","2005","16-34 y.","1400","0.248743936787382","0.23712996136312","0.260357912211644"
"6 on scale 1-7","2005","35-65 y.","2916","0.233913989388327","0.226213182103817","0.241614796672838"
"6 on scale 1-7","2005","66 and older","846","0.210072241561491","0.197108370820407","0.223036112302575"
"7 Strongly agree","2005","16-34 y.","3219","0.615134624605574","0.602062380075899","0.628206869135248"
"7 Strongly agree","2005","35-65 y.","7415","0.652853719442484","0.644193406395315","0.661514032489652"
"7 Strongly agree","2005","66 and older","2429","0.650751744079276","0.635580141317597","0.665923346840956"
"1 Strongly disagree","2006","16-34 y.","","","",""
"1 Strongly disagree","2006","35-65 y.","","","",""
"1 Strongly disagree","2006","66 and older","","","",""
"2 on scale 1-7 ","2006","16-34 y.","","","",""
"2 on scale 1-7 ","2006","35-65 y.","","","",""
"2 on scale 1-7 ","2006","66 and older","","","",""
"3 on scale 1-7 ","2006","16-34 y.","","","",""
"3 on scale 1-7 ","2006","35-65 y.","","","",""
"3 on scale 1-7 ","2006","66 and older","","","",""
"4 on scale 1-7","2006","16-34 y.","","","",""
"4 on scale 1-7","2006","35-65 y.","","","",""
