"plh0206i01","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","in school","","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","inadequately","","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","general elemantary","","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","middle vocational","2","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","vocational + Abi","1","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","higher vocational","1","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","higher education","1","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","in school","","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","inadequately","1","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","general elemantary","2","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","middle vocational","6","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","vocational + Abi","1","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","higher vocational","","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","higher education","2","","","","1"
"1 Strongly disagree","2005","Single parent ","in school","","","","","1"
"1 Strongly disagree","2005","Single parent ","inadequately","","","","","1"
"1 Strongly disagree","2005","Single parent ","general elemantary","1","","","","1"
"1 Strongly disagree","2005","Single parent ","middle vocational","4","","","","1"
"1 Strongly disagree","2005","Single parent ","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","Single parent ","higher vocational","","","","","1"
"1 Strongly disagree","2005","Single parent ","higher education","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","in school","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","inadequately","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","general elemantary","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","middle vocational","3","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher vocational","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","higher education","2","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","in school","1","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","inadequately","","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","general elemantary","2","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","middle vocational","5","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher vocational","1","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","higher education","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","in school","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","inadequately","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","general elemantary","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","middle vocational","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher vocational","","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","higher education","","","","","1"
"2 on scale 1-7 ","2005","(Married) couple without C. ","higher education","5","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","in school","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","general elemantary","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","in school","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","inadequately","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","general elemantary","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","middle vocational","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","higher vocational","","","","","2"
"2 on scale 1-7 ","2005","Single parent ","higher education","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","in school","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","inadequately","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","higher vocational","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","higher education","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","in school","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","inadequately","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","general elemantary","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","middle vocational","5","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","higher vocational","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","higher education","3","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","inadequately","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","middle vocational","1","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher vocational","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","in school","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","inadequately","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","general elemantary","3","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","middle vocational","4","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","higher vocational","","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","higher education","3","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","in school","","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","6","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","middle vocational","7","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","higher vocational","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","general elemantary","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","middle vocational","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher education","","","","","2"
"3 on scale 1-7 ","2005","(Married) couple without C. ","inadequately","4","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","in school","","","","","3"
"3 on scale 1-7 ","2005","Single parent ","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","general elemantary","4","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","middle vocational","24","","","","3"
"3 on scale 1-7 ","2005","Single parent ","inadequately","","","","","3"
"3 on scale 1-7 ","2005","Single parent ","general elemantary","3","","","","3"
"3 on scale 1-7 ","2005","Single parent ","in school","1","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","vocational + Abi","1","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","higher education","11","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","in school","","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","inadequately","","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","general elemantary","5","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","middle vocational","9","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","higher education","4","","","","3"
"3 on scale 1-7 ","2005","Single parent ","middle vocational","2","","","","3"
"3 on scale 1-7 ","2005","Single parent ","higher vocational","1","","","","3"
"3 on scale 1-7 ","2005","Single parent ","higher education","","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","in school","","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","inadequately","1","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","middle vocational","11","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","higher vocational","4","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","higher education","6","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","in school","","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","inadequately","","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","general elemantary","5","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","middle vocational","11","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","vocational + Abi","2","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","higher education","2","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","in school","1","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","inadequately","1","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","general elemantary","1","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","middle vocational","3","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher vocational","1","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","higher education","1","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","higher vocational","","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","general elemantary","1","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","higher vocational","1","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","higher vocational","5","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","vocational + Abi","2","","","","3"
"4 on scale 1-7","2005","(Married) couple without C. ","higher education","35","0.0229058911555915","0.0157026387893029","0.0301091435218801","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","inadequately","2","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","higher education","18","","","","4"
"4 on scale 1-7","2005","Single parent ","vocational + Abi","2","","","","4"
"4 on scale 1-7","2005","Single parent ","middle vocational","12","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","in school","10","","","","4"
"4 on scale 1-7","2005","Single parent ","general elemantary","15","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","5","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","vocational + Abi","2","","","","4"
"4 on scale 1-7","2005","Single parent ","higher vocational","2","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","general elemantary","8","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","middle vocational","19","","","","4"
"4 on scale 1-7","2005","Single parent ","in school","7","","","","4"
"4 on scale 1-7","2005","Single parent ","inadequately","1","","","","4"
"4 on scale 1-7","2005","Single parent ","higher education","3","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","in school","","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","higher education","7","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","in school","2","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","inadequately","2","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","inadequately","2","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","general elemantary","11","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","middle vocational","50","0.02941602906451","0.0216975847167938","0.0371344734122262","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","vocational + Abi","10","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","in school","13","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","inadequately","4","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","general elemantary","28","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","middle vocational","44","0.0267858949454577","0.0192683936750049","0.0343033962159104","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","vocational + Abi","6","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","6","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","general elemantary","14","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","middle vocational","41","0.0302080989669369","0.0216707031455543","0.0387454947883195","4"
"4 on scale 1-7","2005","1-pers.-HH","vocational + Abi","5","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","higher vocational","4","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","higher education","12","","","","4"
"4 on scale 1-7","2005","(Married) couple without C. ","in school","","","","","4"
"4 on scale 1-7","2005","(Married) couple without C. ","inadequately","","","","","4"
"4 on scale 1-7","2005","(Married) couple without C. ","general elemantary","28","","","","4"
"4 on scale 1-7","2005","(Married) couple without C. ","middle vocational","93","0.022941116837969","0.0180940528985696","0.0277881807773684","4"
"4 on scale 1-7","2005","(Married) couple without C. ","vocational + Abi","10","","","","4"
"4 on scale 1-7","2005","(Married) couple without C. ","higher vocational","15","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","higher vocational","3","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","higher education","9","","","","4"
"5 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","26","","","","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","higher education","69","0.0804947269980029","0.0619974241525146","0.0989920298434912","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","in school","32","0.172031009416959","0.126761804691814","0.217300214142104","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","inadequately","5","","","","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","general elemantary","38","0.101209462348156","0.0727023210794832","0.129716603616829","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","middle vocational","133","0.0766379458803218","0.0642521427779402","0.0890237489827035","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","vocational + Abi","15","","","","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","in school","44","0.169197643662993","0.122998508525067","0.215396778800919","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","inadequately","4","","","","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","general elemantary","32","0.0991507335203357","0.0617276921933723","0.136573774847299","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","middle vocational","63","0.0928160781246539","0.070678230066246","0.114953926183062","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","vocational + Abi","2","","","","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","higher vocational","5","","","","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","higher education","25","","","","5"
"5 on scale 1-7","2005","1-pers.-HH","in school","1","","","","5"
"5 on scale 1-7","2005","1-pers.-HH","inadequately","3","","","","5"
"5 on scale 1-7","2005","1-pers.-HH","general elemantary","36","0.0695974334299102","0.0456014651253368","0.0935934017344836","5"
"5 on scale 1-7","2005","1-pers.-HH","middle vocational","109","0.0757827639592788","0.0625820720482992","0.0889834558702583","5"
"5 on scale 1-7","2005","1-pers.-HH","vocational + Abi","15","","","","5"
"5 on scale 1-7","2005","1-pers.-HH","higher vocational","15","","","","5"
"5 on scale 1-7","2005","1-pers.-HH","higher education","46","0.101136598597491","0.0761867634155227","0.12608643377946","5"
"5 on scale 1-7","2005","(Married) couple without C. ","in school","","","","","5"
"5 on scale 1-7","2005","(Married) couple without C. ","inadequately","4","","","","5"
"5 on scale 1-7","2005","(Married) couple without C. ","general elemantary","60","0.0795467914535335","0.0594150869454663","0.0996784959616007","5"
"5 on scale 1-7","2005","(Married) couple without C. ","middle vocational","283","0.0808460409121902","0.0720206365878094","0.0896714452365711","5"
"5 on scale 1-7","2005","(Married) couple without C. ","higher education","132","0.087643579877397","0.0740282189887493","0.101258940766045","5"
"5 on scale 1-7","2005","Single parent ","in school","12","","","","5"
"5 on scale 1-7","2005","Single parent ","inadequately","1","","","","5"
"5 on scale 1-7","2005","Single parent ","general elemantary","23","","","","5"
"5 on scale 1-7","2005","Single parent ","middle vocational","39","0.0710169169769027","0.0491907695236077","0.0928430644301976","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","16","","","","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","higher education","47","0.100157956254431","0.0766968419268324","0.12361907058203","5"
"5 on scale 1-7","2005","Single parent ","vocational + Abi","2","","","","5"
"5 on scale 1-7","2005","Single parent ","higher vocational","2","","","","5"
"5 on scale 1-7","2005","Single parent ","higher education","2","","","","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","in school","","","","","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","inadequately","3","","","","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","general elemantary","27","","","","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","middle vocational","126","0.0657281298139462","0.0544084675090804","0.0770477921188119","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","vocational + Abi","23","","","","5"
"5 on scale 1-7","2005","(Married) couple without C. ","vocational + Abi","33","0.080824724452893","0.0523507531760434","0.109298695729743","5"
"5 on scale 1-7","2005","(Married) couple without C. ","higher vocational","32","0.05849382325633","0.0390918221832243","0.0778958243294357","5"
"6 on scale 1-7","2005","Couple + C. LE 16 ","higher vocational","107","0.266085716943647","0.22331075675299","0.308860677134303","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","higher vocational","49","0.196964539174933","0.143046221661528","0.250882856688338","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","inadequately","5","","","","6"
"6 on scale 1-7","2005","(Married) couple without C. ","higher education","462","0.256940052195717","0.235901557289055","0.277978547102379","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","middle vocational","168","0.260218249311935","0.226745082218394","0.293691416405475","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","higher education","186","0.294080427546126","0.258473586932164","0.329687268160089","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","in school","56","0.16380765241668","0.118203118873047","0.209412185960313","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","general elemantary","57","0.208794832008894","0.157900492921023","0.259689171096765","6"
"6 on scale 1-7","2005","1-pers.-HH","in school","","","","","6"
"6 on scale 1-7","2005","1-pers.-HH","inadequately","1","","","","6"
"6 on scale 1-7","2005","1-pers.-HH","general elemantary","103","0.22615069973881","0.186701937363877","0.265599462113743","6"
"6 on scale 1-7","2005","1-pers.-HH","middle vocational","324","0.20035111795505","0.180386086659688","0.220316149250412","6"
"6 on scale 1-7","2005","1-pers.-HH","vocational + Abi","41","0.200646286975482","0.141647033046186","0.259645540904778","6"
"6 on scale 1-7","2005","1-pers.-HH","higher vocational","52","0.292745606698779","0.229205491482037","0.356285721915522","6"
