"plh0206i01","year","e11102","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","16","","",""
"1 Strongly disagree","2005","Employed","22","","",""
"2 on scale 1-7 ","2005","Not Employed","20","","",""
"2 on scale 1-7 ","2005","Employed","25","","",""
"3 on scale 1-7 ","2005","Not Employed","69","0.00888201418399858","0.0068105575911687","0.0109534707768285"
"3 on scale 1-7 ","2005","Employed","72","0.00474123490317191","0.00355315540900582","0.00592931439733801"
"4 on scale 1-7","2005","Not Employed","273","0.0344294538351709","0.0304040032596399","0.038454904410702"
"4 on scale 1-7","2005","Employed","329","0.0287818826270195","0.0258902058662615","0.0316735593877775"
"5 on scale 1-7","2005","Not Employed","732","0.0906545170972533","0.0843155775712325","0.0969934566232742"
"5 on scale 1-7","2005","Employed","940","0.0765800950778897","0.0719808206387069","0.0811793695170725"
"6 on scale 1-7","2005","Not Employed","1856","0.222231682181387","0.213052889974205","0.231410474388568"
"6 on scale 1-7","2005","Employed","3306","0.239372545140931","0.231992569547083","0.246752520734779"
"7 Strongly agree","2005","Not Employed","4915","0.638204803407537","0.627595939949079","0.648813666865996"
"7 Strongly agree","2005","Employed","8148","0.645923661535683","0.637652418005026","0.654194905066341"
"1 Strongly disagree","2006","Not Employed","","","",""
"1 Strongly disagree","2006","Employed","","","",""
"2 on scale 1-7 ","2006","Not Employed","","","",""
"2 on scale 1-7 ","2006","Employed","","","",""
"3 on scale 1-7 ","2006","Not Employed","","","",""
"3 on scale 1-7 ","2006","Employed","","","",""
"4 on scale 1-7","2006","Not Employed","","","",""
"4 on scale 1-7","2006","Employed","","","",""
"5 on scale 1-7","2006","Not Employed","","","",""
"5 on scale 1-7","2006","Employed","","","",""
"6 on scale 1-7","2006","Not Employed","","","",""
"6 on scale 1-7","2006","Employed","","","",""
"7 Strongly agree","2006","Not Employed","","","",""
"7 Strongly agree","2006","Employed","","","",""
"1 Strongly disagree","2007","Not Employed","","","",""
"1 Strongly disagree","2007","Employed","","","",""
"2 on scale 1-7 ","2007","Not Employed","","","",""
"2 on scale 1-7 ","2007","Employed","","","",""
"3 on scale 1-7 ","2007","Not Employed","","","",""
"3 on scale 1-7 ","2007","Employed","","","",""
"4 on scale 1-7","2007","Not Employed","","","",""
