"plh0206i01","year","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","19","","",""
"1 Strongly disagree","2005","secondary school degree","8","","",""
"1 Strongly disagree","2005","college entrance qualification","7","","",""
"1 Strongly disagree","2005","Other degree","2","","",""
"1 Strongly disagree","2005","no degree/no degree yet","2","","",""
"2 on scale 1-7 ","2005","lower secondary degree","19","","",""
"2 on scale 1-7 ","2005","secondary school degree","10","","",""
"2 on scale 1-7 ","2005","college entrance qualification","9","","",""
"2 on scale 1-7 ","2005","Other degree","5","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","1","","",""
"3 on scale 1-7 ","2005","lower secondary degree","56","0.00794687052769029","0.00588083671182012","0.0100129043435605"
"3 on scale 1-7 ","2005","secondary school degree","28","","",""
"3 on scale 1-7 ","2005","college entrance qualification","32","0.00415091453348081","0.00240207722647446","0.00589975184048716"
"3 on scale 1-7 ","2005","Other degree","10","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","8","","",""
"4 on scale 1-7","2005","lower secondary degree","231","0.0318596481753787","0.0277730537351796","0.0359462426155778"
"4 on scale 1-7","2005","secondary school degree","138","0.0239639610262551","0.0201025524525231","0.0278253695999872"
"4 on scale 1-7","2005","college entrance qualification","113","0.0277973033912194","0.0233257286591145","0.0322688781233243"
"4 on scale 1-7","2005","Other degree","56","0.0523255152775816","0.0393188714857942","0.065332159069369"
"4 on scale 1-7","2005","no degree/no degree yet","45","0.0482226954241445","0.0342105919449575","0.0622347989033315"
"5 on scale 1-7","2005","lower secondary degree","610","0.084664731255282","0.0781871442289472","0.0911423182816168"
"5 on scale 1-7","2005","secondary school degree","410","0.0672137326298724","0.0608917455166025","0.0735357197431423"
"5 on scale 1-7","2005","college entrance qualification","398","0.0856880092141585","0.0780744455555462","0.0933015728727708"
"5 on scale 1-7","2005","Other degree","99","0.0831341635141251","0.0670083528348772","0.099259974193373"
"5 on scale 1-7","2005","no degree/no degree yet","113","0.120210259707356","0.0989401300647125","0.14148038935"
"6 on scale 1-7","2005","lower secondary degree","1597","0.215115944266077","0.205554776356827","0.224677112175327"
"6 on scale 1-7","2005","secondary school degree","1517","0.235932480031725","0.22521251760839","0.24665244245506"
"6 on scale 1-7","2005","college entrance qualification","1485","0.26630211534312","0.254278732090936","0.278325498595303"
"6 on scale 1-7","2005","Other degree","248","0.219425148262409","0.195252213854042","0.243598082670776"
"6 on scale 1-7","2005","no degree/no degree yet","220","0.225886385639247","0.198536387341875","0.25323638393662"
"7 Strongly agree","2005","lower secondary degree","4563","0.653732430101037","0.642661660423106","0.664803199778968"
"7 Strongly agree","2005","secondary school degree","3915","0.665751983324279","0.653841642721191","0.677662323927367"
"7 Strongly agree","2005","college entrance qualification","3148","0.612381987045863","0.599129605581226","0.625634368510499"
"7 Strongly agree","2005","Other degree","706","0.62857898532134","0.600356707640338","0.656801263002342"
"7 Strongly agree","2005","no degree/no degree yet","509","0.593665960031499","0.561542479104257","0.625789440958741"
"1 Strongly disagree","2006","lower secondary degree","","","",""
"1 Strongly disagree","2006","secondary school degree","","","",""
"1 Strongly disagree","2006","college entrance qualification","","","",""
"1 Strongly disagree","2006","Other degree","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","","","",""
"2 on scale 1-7 ","2006","secondary school degree","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","","","",""
"2 on scale 1-7 ","2006","Other degree","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","","","",""
"3 on scale 1-7 ","2006","secondary school degree","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","","","",""
"3 on scale 1-7 ","2006","Other degree","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","","","",""
"4 on scale 1-7","2006","lower secondary degree","","","",""
"4 on scale 1-7","2006","secondary school degree","","","",""
"4 on scale 1-7","2006","college entrance qualification","","","",""
"4 on scale 1-7","2006","Other degree","","","",""
"4 on scale 1-7","2006","no degree/no degree yet","","","",""
"5 on scale 1-7","2006","lower secondary degree","","","",""
"5 on scale 1-7","2006","secondary school degree","","","",""
"5 on scale 1-7","2006","college entrance qualification","","","",""
"5 on scale 1-7","2006","Other degree","","","",""
"5 on scale 1-7","2006","no degree/no degree yet","","","",""
"6 on scale 1-7","2006","lower secondary degree","","","",""
"6 on scale 1-7","2006","secondary school degree","","","",""
"6 on scale 1-7","2006","college entrance qualification","","","",""
"6 on scale 1-7","2006","Other degree","","","",""
"6 on scale 1-7","2006","no degree/no degree yet","","","",""
"7 Strongly agree","2006","lower secondary degree","","","",""
"7 Strongly agree","2006","secondary school degree","","","",""
"7 Strongly agree","2006","college entrance qualification","","","",""
"7 Strongly agree","2006","Other degree","","","",""
"7 Strongly agree","2006","no degree/no degree yet","","","",""
"1 Strongly disagree","2007","lower secondary degree","","","",""
"1 Strongly disagree","2007","secondary school degree","","","",""
"1 Strongly disagree","2007","college entrance qualification","","","",""
"1 Strongly disagree","2007","Other degree","","","",""
"1 Strongly disagree","2007","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2007","lower secondary degree","","","",""
"2 on scale 1-7 ","2007","secondary school degree","","","",""
"2 on scale 1-7 ","2007","college entrance qualification","","","",""
"2 on scale 1-7 ","2007","Other degree","","","",""
"2 on scale 1-7 ","2007","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2007","lower secondary degree","","","",""
"3 on scale 1-7 ","2007","secondary school degree","","","",""
"3 on scale 1-7 ","2007","college entrance qualification","","","",""
"3 on scale 1-7 ","2007","Other degree","","","",""
"3 on scale 1-7 ","2007","no degree/no degree yet","","","",""
"4 on scale 1-7","2007","lower secondary degree","","","",""
"4 on scale 1-7","2007","secondary school degree","","","",""
"4 on scale 1-7","2007","college entrance qualification","","","",""
"4 on scale 1-7","2007","Other degree","","","",""
"4 on scale 1-7","2007","no degree/no degree yet","","","",""
"5 on scale 1-7","2007","lower secondary degree","","","",""
"5 on scale 1-7","2007","secondary school degree","","","",""
"5 on scale 1-7","2007","college entrance qualification","","","",""
"5 on scale 1-7","2007","Other degree","","","",""
"5 on scale 1-7","2007","no degree/no degree yet","","","",""
"6 on scale 1-7","2007","lower secondary degree","","","",""
"6 on scale 1-7","2007","secondary school degree","","","",""
"6 on scale 1-7","2007","college entrance qualification","","","",""
"6 on scale 1-7","2007","Other degree","","","",""
"6 on scale 1-7","2007","no degree/no degree yet","","","",""
"7 Strongly agree","2007","lower secondary degree","","","",""
"7 Strongly agree","2007","secondary school degree","","","",""
"7 Strongly agree","2007","college entrance qualification","","","",""
"7 Strongly agree","2007","Other degree","","","",""
"7 Strongly agree","2007","no degree/no degree yet","","","",""
"1 Strongly disagree","2008","lower secondary degree","","","",""
"1 Strongly disagree","2008","secondary school degree","","","",""
"1 Strongly disagree","2008","college entrance qualification","","","",""
"1 Strongly disagree","2008","Other degree","","","",""
"1 Strongly disagree","2008","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","secondary school degree","","","",""
"2 on scale 1-7 ","2008","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Other degree","","","",""
"2 on scale 1-7 ","2008","no degree/no degree yet","","","",""
