"plh0206i01","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","lower secondary degree","","","",""
"1 Strongly disagree","2005","16-34 y.","secondary school degree","","","",""
"1 Strongly disagree","2005","16-34 y.","college entrance qualification","","","",""
"1 Strongly disagree","2005","16-34 y.","Other degree","","","",""
"1 Strongly disagree","2005","16-34 y.","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","35-65 y.","lower secondary degree","","","",""
"1 Strongly disagree","2005","35-65 y.","secondary school degree","","","",""
"1 Strongly disagree","2005","35-65 y.","college entrance qualification","","","",""
"1 Strongly disagree","2005","35-65 y.","Other degree","","","",""
"1 Strongly disagree","2005","35-65 y.","no degree/no degree yet","","","",""
"1 Strongly disagree","2005","66 and older","lower secondary degree","","","",""
"1 Strongly disagree","2005","66 and older","secondary school degree","","","",""
"1 Strongly disagree","2005","66 and older","college entrance qualification","","","",""
"1 Strongly disagree","2005","66 and older","Other degree","","","",""
"1 Strongly disagree","2005","66 and older","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","16-34 y.","lower secondary degree","","","",""
"2 on scale 1-7 ","2005","16-34 y.","secondary school degree","","","",""
"2 on scale 1-7 ","2005","16-34 y.","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","16-34 y.","Other degree","","","",""
"2 on scale 1-7 ","2005","16-34 y.","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","35-65 y.","lower secondary degree","","","",""
"2 on scale 1-7 ","2005","35-65 y.","secondary school degree","","","",""
"2 on scale 1-7 ","2005","35-65 y.","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","35-65 y.","Other degree","","","",""
"2 on scale 1-7 ","2005","35-65 y.","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2005","66 and older","lower secondary degree","","","",""
"2 on scale 1-7 ","2005","66 and older","secondary school degree","","","",""
"2 on scale 1-7 ","2005","66 and older","college entrance qualification","","","",""
"2 on scale 1-7 ","2005","66 and older","Other degree","","","",""
"2 on scale 1-7 ","2005","66 and older","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","16-34 y.","lower secondary degree","","","",""
"3 on scale 1-7 ","2005","16-34 y.","secondary school degree","","","",""
"3 on scale 1-7 ","2005","16-34 y.","college entrance qualification","","","",""
"3 on scale 1-7 ","2005","16-34 y.","Other degree","","","",""
"3 on scale 1-7 ","2005","16-34 y.","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","35-65 y.","lower secondary degree","","","",""
"3 on scale 1-7 ","2005","35-65 y.","secondary school degree","","","",""
"3 on scale 1-7 ","2005","35-65 y.","college entrance qualification","","","",""
"3 on scale 1-7 ","2005","35-65 y.","Other degree","","","",""
"3 on scale 1-7 ","2005","35-65 y.","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","66 and older","lower secondary degree","","","",""
"3 on scale 1-7 ","2005","66 and older","secondary school degree","","","",""
"3 on scale 1-7 ","2005","66 and older","college entrance qualification","","","",""
"3 on scale 1-7 ","2005","66 and older","Other degree","","","",""
"3 on scale 1-7 ","2005","66 and older","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","16-34 y.","lower secondary degree","39","0.0446880515058617","0.0315215365400667","0.0578545664716568"
"4 on scale 1-7","2005","16-34 y.","secondary school degree","40","0.0267026389029676","0.0188352472313497","0.0345700305745855"
"4 on scale 1-7","2005","16-34 y.","college entrance qualification","","","",""
"4 on scale 1-7","2005","16-34 y.","Other degree","","","",""
"4 on scale 1-7","2005","16-34 y.","no degree/no degree yet","33","0.0525164253765376","0.0358845014087527","0.0691483493443225"
"4 on scale 1-7","2005","35-65 y.","lower secondary degree","107","0.0281267847411627","0.0228123356688034","0.0334412338135219"
"4 on scale 1-7","2005","35-65 y.","secondary school degree","79","0.0212456934401617","0.0167012871047496","0.0257900997755738"
"4 on scale 1-7","2005","35-65 y.","college entrance qualification","74","0.026103950028587","0.0204444404964255","0.0317634595607484"
"4 on scale 1-7","2005","35-65 y.","Other degree","37","0.0432953512084269","0.0291033342645733","0.0574873681522805"
"4 on scale 1-7","2005","35-65 y.","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","66 and older","lower secondary degree","85","0.0322006803890634","0.0251832067165384","0.0392181540615884"
"4 on scale 1-7","2005","66 and older","secondary school degree","","","",""
"4 on scale 1-7","2005","66 and older","college entrance qualification","","","",""
"4 on scale 1-7","2005","66 and older","Other degree","","","",""
"4 on scale 1-7","2005","66 and older","no degree/no degree yet","","","",""
"5 on scale 1-7","2005","16-34 y.","lower secondary degree","88","0.0873345204219343","0.0693436860730056","0.105325354770863"
"5 on scale 1-7","2005","16-34 y.","secondary school degree","110","0.0605912037491537","0.048948254381145","0.0722341531171623"
"5 on scale 1-7","2005","16-34 y.","college entrance qualification","145","0.100905984093642","0.0860400138538466","0.115771954333437"
"5 on scale 1-7","2005","16-34 y.","Other degree","","","",""
"5 on scale 1-7","2005","16-34 y.","no degree/no degree yet","95","0.137941806573332","0.112230430894208","0.163653182252456"
"5 on scale 1-7","2005","35-65 y.","lower secondary degree","296","0.0755347340751169","0.0670407381203265","0.0840287300299073"
"5 on scale 1-7","2005","35-65 y.","secondary school degree","250","0.0650389132930841","0.0572677101044537","0.0728101164817145"
"5 on scale 1-7","2005","35-65 y.","college entrance qualification","215","0.0795666198526963","0.0699608757386068","0.0891723639667858"
"5 on scale 1-7","2005","35-65 y.","Other degree","63","0.0899813477591175","0.0700270733973767","0.109935622120858"
"5 on scale 1-7","2005","35-65 y.","no degree/no degree yet","","","",""
"5 on scale 1-7","2005","66 and older","lower secondary degree","226","0.0961656749276933","0.0844461483331651","0.107885201522221"
"5 on scale 1-7","2005","66 and older","secondary school degree","50","0.0935832968236429","0.0691313771594961","0.11803521648779"
"5 on scale 1-7","2005","66 and older","college entrance qualification","38","0.0717010876994247","0.0504467944569875","0.0929553809418619"
"5 on scale 1-7","2005","66 and older","Other degree","","","",""
"5 on scale 1-7","2005","66 and older","no degree/no degree yet","","","",""
"6 on scale 1-7","2005","16-34 y.","lower secondary degree","210","0.206455157332337","0.180662200716533","0.232248113948141"
"6 on scale 1-7","2005","16-34 y.","secondary school degree","413","0.235262619027636","0.214562943839101","0.25596229421617"
"6 on scale 1-7","2005","16-34 y.","college entrance qualification","473","0.292181164639854","0.26973617496826","0.314626154311448"
"6 on scale 1-7","2005","16-34 y.","Other degree","35","0.289417338899602","0.218928703203429","0.359905974595776"
