"plh0206i01","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Not Employed","no migration background","14","","","","1"
"1 Strongly disagree","2005","Not Employed","direct migration background","2","","","","1"
"1 Strongly disagree","2005","Not Employed","indirect migration background","","","","","1"
"1 Strongly disagree","2005","Employed","no migration background","17","","","","1"
"1 Strongly disagree","2005","Employed","direct migration background","4","","","","1"
"1 Strongly disagree","2005","Employed","indirect migration background","1","","","","1"
"2 on scale 1-7 ","2005","Not Employed","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","Not Employed","no migration background","16","","","","2"
"2 on scale 1-7 ","2005","Employed","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","Not Employed","direct migration background","4","","","","2"
"2 on scale 1-7 ","2005","Employed","no migration background","22","","","","2"
"2 on scale 1-7 ","2005","Employed","direct migration background","3","","","","2"
"3 on scale 1-7 ","2005","Employed","direct migration background","11","","","","3"
"3 on scale 1-7 ","2005","Not Employed","no migration background","54","0.00864349297504486","0.00640889673271453","0.0108780892173752","3"
"3 on scale 1-7 ","2005","Employed","no migration background","59","0.00433234046967232","0.0031011740265346","0.00556350691281005","3"
"3 on scale 1-7 ","2005","Not Employed","indirect migration background","2","","","","3"
"3 on scale 1-7 ","2005","Not Employed","direct migration background","13","","","","3"
"3 on scale 1-7 ","2005","Employed","indirect migration background","2","","","","3"
"4 on scale 1-7","2005","Employed","indirect migration background","17","","","","4"
"4 on scale 1-7","2005","Not Employed","direct migration background","47","0.046514470314328","0.0335007882064232","0.0595281524222328","4"
"4 on scale 1-7","2005","Not Employed","indirect migration background","16","","","","4"
"4 on scale 1-7","2005","Employed","direct migration background","59","0.0500895012946503","0.0385135789808245","0.061665423608476","4"
"4 on scale 1-7","2005","Not Employed","no migration background","210","0.0319100910576184","0.0276672050875326","0.0361529770277041","4"
"4 on scale 1-7","2005","Employed","no migration background","253","0.0246813730047778","0.021772959205338","0.0275897868042175","4"
"5 on scale 1-7","2005","Employed","indirect migration background","48","0.101222545960218","0.0759227812218255","0.126522310698611","5"
"5 on scale 1-7","2005","Employed","no migration background","777","0.0738165383592852","0.0689150990677977","0.0787179776507727","5"
"5 on scale 1-7","2005","Employed","direct migration background","115","0.0859980631319764","0.071119575136149","0.100876551127804","5"
"5 on scale 1-7","2005","Not Employed","no migration background","602","0.0890141280471781","0.082139886575383","0.0958883695189731","5"
"5 on scale 1-7","2005","Not Employed","direct migration background","88","0.0913745766106817","0.0735690742368191","0.109180078984544","5"
"5 on scale 1-7","2005","Not Employed","indirect migration background","42","0.133344279105979","0.0937378789238536","0.172950679288105","5"
"6 on scale 1-7","2005","Employed","indirect migration background","116","0.202062687469893","0.168382134050926","0.23574324088886","6"
"6 on scale 1-7","2005","Not Employed","indirect migration background","67","0.224157495187964","0.175570695915303","0.272744294460624","6"
"6 on scale 1-7","2005","Employed","direct migration background","293","0.18941761089658","0.168623054261255","0.210212167531905","6"
"6 on scale 1-7","2005","Not Employed","no migration background","1570","0.223758830613688","0.213698137079828","0.233819524147548","6"
"6 on scale 1-7","2005","Employed","no migration background","2897","0.24909172319903","0.240984514112478","0.257198932285582","6"
"6 on scale 1-7","2005","Not Employed","direct migration background","219","0.212418646398388","0.187143531885771","0.237693760911005","6"
"7 Strongly agree","2005","Employed","indirect migration background","362","0.64494886703502","0.604810484914167","0.685087249155872","7"
"7 Strongly agree","2005","Employed","direct migration background","879","0.659701634117768","0.634557040698847","0.684846227536689","7"
"7 Strongly agree","2005","Not Employed","indirect migration background","156","0.589561462649994","0.532249737330435","0.646873187969552","7"
"7 Strongly agree","2005","Employed","no migration background","6907","0.643838781555627","0.634862216966436","0.652815346144819","7"
"7 Strongly agree","2005","Not Employed","no migration background","4126","0.640856190355682","0.629274979303593","0.65243740140777","7"
"7 Strongly agree","2005","Not Employed","direct migration background","633","0.632574385799765","0.602783074726605","0.662365696872925","7"
"1 Strongly disagree","2006","Not Employed","direct migration background","","","","","1"
"1 Strongly disagree","2006","Not Employed","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Employed","no migration background","","","","","1"
"1 Strongly disagree","2006","Employed","direct migration background","","","","","1"
"1 Strongly disagree","2006","Employed","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Not Employed","no migration background","","","","","1"
"2 on scale 1-7 ","2006","Not Employed","no migration background","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","Employed","no migration background","","","","","2"
"2 on scale 1-7 ","2006","Employed","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","Not Employed","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","Employed","direct migration background","","","","","2"
"3 on scale 1-7 ","2006","Employed","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","Employed","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","Employed","no migration background","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","Not Employed","no migration background","","","","","3"
"4 on scale 1-7","2006","Not Employed","direct migration background","","","","","4"
"4 on scale 1-7","2006","Not Employed","no migration background","","","","","4"
"4 on scale 1-7","2006","Employed","indirect migration background","","","","","4"
