"plh0206i01","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","West Germany","17","","",""
"1 Strongly disagree","2005","lower secondary degree","East Germany","2","","",""
"1 Strongly disagree","2005","secondary school degree","West Germany","6","","",""
"1 Strongly disagree","2005","secondary school degree","East Germany","2","","",""
"1 Strongly disagree","2005","college entrance qualification","West Germany","5","","",""
"1 Strongly disagree","2005","college entrance qualification","East Germany","2","","",""
"1 Strongly disagree","2005","Other degree","West Germany","2","","",""
"1 Strongly disagree","2005","Other degree","East Germany","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","West Germany","2","","",""
"1 Strongly disagree","2005","no degree/no degree yet","East Germany","","","",""
"2 on scale 1-7 ","2005","lower secondary degree","West Germany","14","","",""
"2 on scale 1-7 ","2005","lower secondary degree","East Germany","5","","",""
"2 on scale 1-7 ","2005","secondary school degree","West Germany","4","","",""
"2 on scale 1-7 ","2005","secondary school degree","East Germany","6","","",""
"2 on scale 1-7 ","2005","college entrance qualification","West Germany","7","","",""
"2 on scale 1-7 ","2005","college entrance qualification","East Germany","2","","",""
"2 on scale 1-7 ","2005","Other degree","West Germany","5","","",""
"2 on scale 1-7 ","2005","Other degree","East Germany","","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","West Germany","1","","",""
"2 on scale 1-7 ","2005","no degree/no degree yet","East Germany","","","",""
"3 on scale 1-7 ","2005","lower secondary degree","West Germany","46","0.00750835440719235","0.00526752713059975","0.00974918168378496"
"3 on scale 1-7 ","2005","lower secondary degree","East Germany","10","","",""
"3 on scale 1-7 ","2005","secondary school degree","West Germany","19","","",""
"3 on scale 1-7 ","2005","secondary school degree","East Germany","9","","",""
"3 on scale 1-7 ","2005","college entrance qualification","West Germany","28","","",""
"3 on scale 1-7 ","2005","college entrance qualification","East Germany","4","","",""
"3 on scale 1-7 ","2005","Other degree","West Germany","9","","",""
"3 on scale 1-7 ","2005","Other degree","East Germany","1","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","West Germany","6","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","East Germany","2","","",""
"4 on scale 1-7","2005","lower secondary degree","West Germany","181","0.0316114014656898","0.0270696927253636","0.036153110206016"
"4 on scale 1-7","2005","lower secondary degree","East Germany","50","0.0332977736101263","0.023879513907731","0.0427160333125216"
"4 on scale 1-7","2005","secondary school degree","West Germany","82","0.0259809344515131","0.0209243979420568","0.0310374709609695"
"4 on scale 1-7","2005","secondary school degree","East Germany","56","0.0192774185939783","0.0135629187385607","0.0249919184493959"
"4 on scale 1-7","2005","college entrance qualification","West Germany","93","0.0283537631725801","0.0232519583011641","0.0334555680439961"
"4 on scale 1-7","2005","college entrance qualification","East Germany","20","","",""
"4 on scale 1-7","2005","Other degree","West Germany","55","0.0540577628538111","0.040552545364431","0.0675629803431912"
"4 on scale 1-7","2005","Other degree","East Germany","1","","",""
"4 on scale 1-7","2005","no degree/no degree yet","West Germany","38","0.0479806652774857","0.0324873121484238","0.0634740184065476"
"4 on scale 1-7","2005","no degree/no degree yet","East Germany","7","","",""
"5 on scale 1-7","2005","lower secondary degree","West Germany","485","0.0852622149829859","0.0780128630259971","0.0925115669399747"
"5 on scale 1-7","2005","lower secondary degree","East Germany","125","0.0812034304117159","0.0668646050679438","0.0955422557554879"
"5 on scale 1-7","2005","secondary school degree","West Germany","265","0.0691873114663232","0.0611207878513168","0.0772538350813297"
"5 on scale 1-7","2005","secondary school degree","East Germany","145","0.0626280197768202","0.0525582156405963","0.0726978239130441"
"5 on scale 1-7","2005","college entrance qualification","West Germany","327","0.0896405172343708","0.0808599405329523","0.0984210939357893"
"5 on scale 1-7","2005","college entrance qualification","East Germany","71","0.0656182011538698","0.0511553724975733","0.0800810298101663"
"5 on scale 1-7","2005","Other degree","West Germany","95","0.0851626923255995","0.0684926437901914","0.101832740861008"
"5 on scale 1-7","2005","Other degree","East Germany","4","","",""
"5 on scale 1-7","2005","no degree/no degree yet","West Germany","92","0.11980390434029","0.09626346264894","0.143344346031641"
"5 on scale 1-7","2005","no degree/no degree yet","East Germany","21","","",""
"6 on scale 1-7","2005","lower secondary degree","West Germany","1254","0.210240392235361","0.19966301219645","0.220817772274273"
"6 on scale 1-7","2005","lower secondary degree","East Germany","343","0.243360650480285","0.220834533009966","0.265886767950605"
"6 on scale 1-7","2005","secondary school degree","West Germany","973","0.238436566894935","0.224891489019899","0.251981644769972"
"6 on scale 1-7","2005","secondary school degree","East Germany","544","0.230114104245717","0.212621055734537","0.247607152756897"
"6 on scale 1-7","2005","college entrance qualification","West Germany","1171","0.267765451419834","0.254155180112636","0.281375722727031"
"6 on scale 1-7","2005","college entrance qualification","East Germany","314","0.258871675218229","0.233287709252854","0.284455641183604"
"6 on scale 1-7","2005","Other degree","West Germany","235","0.216930432661533","0.192315386549606","0.241545478773461"
"6 on scale 1-7","2005","Other degree","East Germany","13","","",""
"6 on scale 1-7","2005","no degree/no degree yet","West Germany","184","0.233440252501063","0.202774736283047","0.264105768719079"
"6 on scale 1-7","2005","no degree/no degree yet","East Germany","36","0.178038376653491","0.120019082777387","0.236057670529594"
"7 Strongly agree","2005","lower secondary degree","West Germany","3704","0.658961292591647","0.646655648226789","0.671266936956505"
"7 Strongly agree","2005","lower secondary degree","East Germany","859","0.623440950500091","0.598005999146123","0.648875901854059"
"7 Strongly agree","2005","secondary school degree","West Germany","2453","0.658908357887612","0.643839161879488","0.673977553895736"
"7 Strongly agree","2005","secondary school degree","East Germany","1462","0.681653502202966","0.662293180346535","0.701013824059398"
"7 Strongly agree","2005","college entrance qualification","West Germany","2435","0.606414316541072","0.591397814718742","0.621430818363403"
"7 Strongly agree","2005","college entrance qualification","East Germany","713","0.642684266253319","0.614694208167362","0.670674324339277"
"7 Strongly agree","2005","Other degree","West Germany","676","0.62747744389758","0.59860286988011","0.65635201791505"
"7 Strongly agree","2005","Other degree","East Germany","30","0.653668693973325","0.52044705593382","0.786890332012829"
"7 Strongly agree","2005","no degree/no degree yet","West Germany","408","0.586035770931029","0.550330455599829","0.62174108626223"
"7 Strongly agree","2005","no degree/no degree yet","East Germany","101","0.641997412428124","0.569286502916233","0.714708321940016"
"1 Strongly disagree","2006","lower secondary degree","West Germany","","","",""
"1 Strongly disagree","2006","lower secondary degree","East Germany","","","",""
"1 Strongly disagree","2006","secondary school degree","West Germany","","","",""
"1 Strongly disagree","2006","secondary school degree","East Germany","","","",""
"1 Strongly disagree","2006","college entrance qualification","West Germany","","","",""
"1 Strongly disagree","2006","college entrance qualification","East Germany","","","",""
"1 Strongly disagree","2006","Other degree","West Germany","","","",""
"1 Strongly disagree","2006","Other degree","East Germany","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","West Germany","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","East Germany","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","West Germany","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","East Germany","","","",""
"2 on scale 1-7 ","2006","secondary school degree","West Germany","","","",""
"2 on scale 1-7 ","2006","secondary school degree","East Germany","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","West Germany","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","East Germany","","","",""
