"plh0206i01","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","Male","4","","","","1"
"1 Strongly disagree","2005","16-34 y.","Female","5","","","","1"
"1 Strongly disagree","2005","35-65 y.","Male","9","","","","1"
"1 Strongly disagree","2005","35-65 y.","Female","11","","","","1"
"1 Strongly disagree","2005","66 and older","Male","3","","","","1"
"1 Strongly disagree","2005","66 and older","Female","6","","","","1"
"2 on scale 1-7 ","2005","35-65 y.","Male","14","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Male","5","","","","2"
"2 on scale 1-7 ","2005","66 and older","Female","6","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Female","2","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Female","15","","","","2"
"2 on scale 1-7 ","2005","66 and older","Male","3","","","","2"
"3 on scale 1-7 ","2005","66 and older","Male","16","","","","3"
"3 on scale 1-7 ","2005","16-34 y.","Male","16","","","","3"
"3 on scale 1-7 ","2005","35-65 y.","Female","42","0.00588498728801864","0.00394638563037701","0.00782358894566028","3"
"3 on scale 1-7 ","2005","35-65 y.","Male","35","0.00635634708823281","0.00428004672505703","0.00843264745140859","3"
"3 on scale 1-7 ","2005","16-34 y.","Female","14","","","","3"
"3 on scale 1-7 ","2005","66 and older","Female","18","","","","3"
"4 on scale 1-7","2005","66 and older","Female","73","0.0369340517394691","0.0287897103247775","0.0450783931541607","4"
"4 on scale 1-7","2005","16-34 y.","Female","74","0.0311349431642265","0.0246728638765678","0.0375970224518851","4"
"4 on scale 1-7","2005","35-65 y.","Male","148","0.0269867874706485","0.0227532246370049","0.0312203503042921","4"
"4 on scale 1-7","2005","66 and older","Male","56","0.0284911390029957","0.0206581575449864","0.0363241204610051","4"
"4 on scale 1-7","2005","16-34 y.","Male","89","0.0433851562557593","0.0354734025476572","0.0512969099638614","4"
"4 on scale 1-7","2005","35-65 y.","Female","162","0.027109052108912","0.0229929442503038","0.0312251599675202","4"
"5 on scale 1-7","2005","66 and older","Female","165","0.0773972547546782","0.0658578174885518","0.0889366920208047","5"
"5 on scale 1-7","2005","35-65 y.","Female","397","0.0665192627628858","0.0602035278554755","0.0728349976702961","5"
"5 on scale 1-7","2005","66 and older","Male","172","0.110891571452499","0.0961081335202673","0.125675009384731","5"
"5 on scale 1-7","2005","16-34 y.","Male","263","0.092966936262313","0.0816895245118883","0.104244348012738","5"
"5 on scale 1-7","2005","16-34 y.","Female","231","0.0884127056354023","0.0778500512533171","0.0989753600174876","5"
"5 on scale 1-7","2005","35-65 y.","Male","444","0.0821661786804593","0.0749915468501282","0.0893408105107903","5"
"6 on scale 1-7","2005","66 and older","Female","437","0.201393997950394","0.184075747042256","0.218712248858532","6"
