"plh0206i01","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","1-pers.-HH","Male","","","","","1"
"1 Strongly disagree","2005","1-pers.-HH","Female","5","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","Male","7","","","","1"
"1 Strongly disagree","2005","(Married) couple without C. ","Female","5","","","","1"
"1 Strongly disagree","2005","Single parent ","Male","1","","","","1"
"1 Strongly disagree","2005","Single parent ","Female","4","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Male","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE 16 ","Female","4","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Male","6","","","","1"
"1 Strongly disagree","2005","Couple + C. GT 16 ","Female","3","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Male","1","","","","1"
"1 Strongly disagree","2005","Couple + C. LE and GT 16","Female","","","","","1"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Male","8","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Male","2","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Male","2","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","Female","7","","","","2"
"2 on scale 1-7 ","2005","Single parent ","Female","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","Female","","","","","2"
"2 on scale 1-7 ","2005","(Married) couple without C. ","Female","10","","","","2"
"2 on scale 1-7 ","2005","1-pers.-HH","Male","3","","","","2"
"2 on scale 1-7 ","2005","Single parent ","Male","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","Female","","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Male","7","","","","2"
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","Female","5","","","","2"
"3 on scale 1-7 ","2005","1-pers.-HH","Female","9","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Male","24","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","Female","26","","","","3"
"3 on scale 1-7 ","2005","Single parent ","Male","4","","","","3"
"3 on scale 1-7 ","2005","Single parent ","Female","3","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Male","11","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","Female","14","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Male","11","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","Female","11","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Male","7","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","Female","5","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","Male","9","","","","3"
"4 on scale 1-7","2005","Single parent ","Female","25","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","Male","28","","","","4"
"4 on scale 1-7","2005","1-pers.-HH","Female","52","0.040055213721863","0.0307720644056418","0.0493383630380842","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Male","51","0.0328573113726586","0.0246607458384644","0.0410538769068527","4"
"4 on scale 1-7","2005","Single parent ","Male","20","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","Female","46","0.0265212038813884","0.0192925096924159","0.0337498980703609","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","Male","61","0.0487245212461882","0.0390794805250066","0.0583695619673698","4"
"4 on scale 1-7","2005","1-pers.-HH","Male","30","0.0223712954658344","0.014186047097432","0.0305565438342368","4"
"4 on scale 1-7","2005","(Married) couple without C. ","Male","94","0.0255136293614115","0.020278580909108","0.030748677813715","4"
"4 on scale 1-7","2005","(Married) couple without C. ","Female","89","0.0264868619748308","0.0212053421108748","0.0317683818387867","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","Female","53","0.0226266679576215","0.015619127984277","0.029634207930966","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","Female","27","","","","4"
"5 on scale 1-7","2005","Couple + C. LE 16 ","Male","141","0.0867889015368619","0.0738443111111835","0.0997334919625402","5"
"5 on scale 1-7","2005","(Married) couple without C. ","Male","298","0.090727110299724","0.0811911955374503","0.100263025061998","5"
"5 on scale 1-7","2005","(Married) couple without C. ","Female","248","0.0676797483388098","0.0594177580259856","0.0759417386516339","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","Female","136","0.0727406924034324","0.0610567528094312","0.0844246319974337","5"
"5 on scale 1-7","2005","Single parent ","Female","54","0.0729890495771171","0.0544958276547416","0.0914822714994926","5"
"5 on scale 1-7","2005","1-pers.-HH","Female","122","0.0707801629256241","0.0586390723935466","0.0829212534577016","5"
"5 on scale 1-7","2005","1-pers.-HH","Male","107","0.0908185380444193","0.0749143368155719","0.106722739273267","5"
"5 on scale 1-7","2005","Single parent ","Male","29","","","","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","Male","169","0.0885089279043694","0.0757842477729689","0.10123360803577","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","Female","129","0.0873363377717018","0.0740324703712571","0.100640205172146","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","Male","105","0.102286654606564","0.0820342221000568","0.122539087113071","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","Female","77","0.105206357842121","0.0845068840392962","0.125905831644946","5"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","Male","235","0.256380058949971","0.227197961686865","0.285562156213078","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","Female","181","0.199555726166528","0.172592334772271","0.226519117560784","6"
"6 on scale 1-7","2005","Single parent ","Female","160","0.199503675040286","0.171092027644707","0.227915322435864","6"
"6 on scale 1-7","2005","1-pers.-HH","Female","360","0.195010893967426","0.176253732353465","0.213768055581387","6"
"6 on scale 1-7","2005","1-pers.-HH","Male","309","0.236698408075651","0.213172571524369","0.260224244626933","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","Female","455","0.214891053948548","0.196412238932325","0.23336986896477","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","Female","430","0.236487004112584","0.216463646858367","0.256510361366801","6"
"6 on scale 1-7","2005","(Married) couple without C. ","Male","887","0.237265105340801","0.223141341634197","0.251388869047406","6"
