"plh0206i01","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","1-pers.-HH","","","",""
"1 Strongly disagree","2005","lower secondary degree","(Married) couple without C. ","7","","",""
"1 Strongly disagree","2005","lower secondary degree","Single parent ","4","","",""
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE 16 ","2","","",""
"1 Strongly disagree","2005","lower secondary degree","Couple + C. GT 16 ","4","","",""
"1 Strongly disagree","2005","lower secondary degree","Couple + C. LE and GT 16","1","","",""
"1 Strongly disagree","2005","secondary school degree","1-pers.-HH","2","","",""
"1 Strongly disagree","2005","secondary school degree","(Married) couple without C. ","1","","",""
"1 Strongly disagree","2005","secondary school degree","Single parent ","1","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE 16 ","1","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. GT 16 ","3","","",""
"1 Strongly disagree","2005","secondary school degree","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2005","college entrance qualification","1-pers.-HH","3","","",""
"1 Strongly disagree","2005","college entrance qualification","(Married) couple without C. ","2","","",""
"1 Strongly disagree","2005","college entrance qualification","Single parent ","","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE 16 ","2","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2005","college entrance qualification","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2005","Other degree","1-pers.-HH","","","",""
"1 Strongly disagree","2005","Other degree","(Married) couple without C. ","1","","",""
"1 Strongly disagree","2005","Other degree","Single parent ","","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. GT 16 ","1","","",""
"1 Strongly disagree","2005","Other degree","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","1-pers.-HH","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","(Married) couple without C. ","1","","",""
"1 Strongly disagree","2005","no degree/no degree yet","Single parent ","","","",""
