"plh0206i01","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","lower secondary degree","8","","",""
"1 Strongly disagree","2005","Not Employed","secondary school degree","3","","",""
"1 Strongly disagree","2005","Not Employed","college entrance qualification","2","","",""
"1 Strongly disagree","2005","Not Employed","Other degree","2","","",""
"1 Strongly disagree","2005","Not Employed","no degree/no degree yet","1","","",""
"1 Strongly disagree","2005","Employed","lower secondary degree","11","","",""
"1 Strongly disagree","2005","Employed","secondary school degree","5","","",""
"1 Strongly disagree","2005","Employed","college entrance qualification","5","","",""
"1 Strongly disagree","2005","Employed","Other degree","","","",""
"1 Strongly disagree","2005","Employed","no degree/no degree yet","1","","",""
"2 on scale 1-7 ","2005","Not Employed","lower secondary degree","11","","",""
"2 on scale 1-7 ","2005","Not Employed","secondary school degree","","","",""
"2 on scale 1-7 ","2005","Not Employed","college entrance qualification","5","","",""
"2 on scale 1-7 ","2005","Not Employed","Other degree","2","","",""
"2 on scale 1-7 ","2005","Not Employed","no degree/no degree yet","1","","",""
"2 on scale 1-7 ","2005","Employed","lower secondary degree","8","","",""
"2 on scale 1-7 ","2005","Employed","secondary school degree","10","","",""
"2 on scale 1-7 ","2005","Employed","college entrance qualification","4","","",""
"2 on scale 1-7 ","2005","Employed","Other degree","3","","",""
"2 on scale 1-7 ","2005","Employed","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2005","Not Employed","lower secondary degree","34","0.00919223880374396","0.00614909508499525","0.0122353825224927"
"3 on scale 1-7 ","2005","Not Employed","secondary school degree","7","","",""
"3 on scale 1-7 ","2005","Not Employed","college entrance qualification","11","","",""
"3 on scale 1-7 ","2005","Not Employed","Other degree","4","","",""
"3 on scale 1-7 ","2005","Not Employed","no degree/no degree yet","8","","",""
"3 on scale 1-7 ","2005","Employed","lower secondary degree","22","","",""
"3 on scale 1-7 ","2005","Employed","secondary school degree","21","","",""
"3 on scale 1-7 ","2005","Employed","college entrance qualification","21","","",""
"3 on scale 1-7 ","2005","Employed","Other degree","6","","",""
"3 on scale 1-7 ","2005","Employed","no degree/no degree yet","","","",""
"4 on scale 1-7","2005","Not Employed","lower secondary degree","127","0.0303360737797846","0.024867080121926","0.0358050674376431"
"4 on scale 1-7","2005","Not Employed","secondary school degree","42","0.0293862747235558","0.0209210239202056","0.037851525526906"
"4 on scale 1-7","2005","Not Employed","college entrance qualification","36","0.0461260641118234","0.0344604935945148","0.0577916346291319"
"4 on scale 1-7","2005","Not Employed","Other degree","23","","",""
"4 on scale 1-7","2005","Not Employed","no degree/no degree yet","37","0.0474912938147091","0.0317803151421424","0.0632022724872758"
"4 on scale 1-7","2005","Employed","lower secondary degree","104","0.0336056546541263","0.0274728557352266","0.039738453573026"
"4 on scale 1-7","2005","Employed","secondary school degree","96","0.0219138425913615","0.0176349195813412","0.0261927656013818"
"4 on scale 1-7","2005","Employed","college entrance qualification","77","0.0212864289467381","0.0167852243560875","0.0257876335373887"
"4 on scale 1-7","2005","Employed","Other degree","33","0.0588957279290334","0.040726812514153","0.0770646433439138"
"4 on scale 1-7","2005","Employed","no degree/no degree yet","8","","",""
"5 on scale 1-7","2005","Not Employed","lower secondary degree","363","0.0970200244697023","0.0875818747171053","0.106458174222299"
"5 on scale 1-7","2005","Not Employed","secondary school degree","124","0.0821076351005066","0.0683472053096593","0.0958680648913539"
"5 on scale 1-7","2005","Not Employed","college entrance qualification","92","0.0696205137043209","0.05546629284627","0.0837747345623718"
"5 on scale 1-7","2005","Not Employed","Other degree","45","0.0788306214978169","0.0547486091652489","0.102912633830385"
"5 on scale 1-7","2005","Not Employed","no degree/no degree yet","97","0.127985321759061","0.103307675111358","0.152662968406764"
"5 on scale 1-7","2005","Employed","lower secondary degree","247","0.0705056445302841","0.0617937887526223","0.079217500307946"
"5 on scale 1-7","2005","Employed","secondary school degree","286","0.0615825084464108","0.0545564237314038","0.0686085931614177"
"5 on scale 1-7","2005","Employed","college entrance qualification","306","0.0913956207377363","0.0824089330409243","0.100382308434548"
"5 on scale 1-7","2005","Employed","Other degree","54","0.086084752344062","0.0644384204781961","0.107731084209928"
"5 on scale 1-7","2005","Employed","no degree/no degree yet","16","","",""
"6 on scale 1-7","2005","Not Employed","lower secondary degree","843","0.216131730635507","0.203006772642199","0.229256688628815"
"6 on scale 1-7","2005","Not Employed","secondary school degree","371","0.21983439634408","0.19907639334249","0.240592399345671"
"6 on scale 1-7","2005","Not Employed","college entrance qualification","331","0.238126121559349","0.214437905576551","0.261814337542147"
"6 on scale 1-7","2005","Not Employed","Other degree","112","0.231922515187874","0.194204439624425","0.269640590751322"
