"plh0206i01","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","5","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","12","","",""
"1 Strongly disagree","2005","Single parent ","5","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","5","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","9","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","1","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","10","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","18","","",""
"2 on scale 1-7 ","2005","Single parent ","","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","2","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","12","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","2","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","18","","",""
"3 on scale 1-7 ","2005","(Married) couple without C. ","50","0.00524154305305485","0.00355431582896563","0.00692877027714408"
"3 on scale 1-7 ","2005","Single parent ","7","","",""
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","25","","",""
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","22","","",""
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","12","","",""
"4 on scale 1-7","2005","1-pers.-HH","82","0.0323191893879853","0.0259569143875996","0.038681464388371"
"4 on scale 1-7","2005","(Married) couple without C. ","183","0.0259922659645906","0.0222744451935409","0.0297100867356402"
"4 on scale 1-7","2005","Single parent ","45","0.0336278728460217","0.0229748307211259","0.0442809149709175"
"4 on scale 1-7","2005","Couple + C. LE 16 ","97","0.0297657084316368","0.0243010238009921","0.0352303930622814"
"4 on scale 1-7","2005","Couple + C. GT 16 ","114","0.036783711392846","0.0306722005138725","0.0428952222718195"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","55","0.0349773982904114","0.0262541990998481","0.0437005974809747"
"5 on scale 1-7","2005","1-pers.-HH","229","0.0795461702824791","0.0698113758509784","0.0892809647139797"
"5 on scale 1-7","2005","(Married) couple without C. ","546","0.0793923986500044","0.0730753835426536","0.0857094137573552"
"5 on scale 1-7","2005","Single parent ","83","0.0693894078581153","0.0543724371094074","0.0844063786068233"
"5 on scale 1-7","2005","Couple + C. LE 16 ","277","0.0799343011796489","0.0712137347799894","0.0886548675793085"
"5 on scale 1-7","2005","Couple + C. GT 16 ","298","0.0879724211022477","0.078775633330289","0.0971692088742064"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","182","0.103676651702039","0.089202732896515","0.118150570507563"
"6 on scale 1-7","2005","1-pers.-HH","669","0.213247555033769","0.198511636103419","0.227983473964118"
"6 on scale 1-7","2005","(Married) couple without C. ","1737","0.231777127790175","0.221917419170102","0.241636836410248"
"6 on scale 1-7","2005","Single parent ","265","0.237079768528011","0.211947102416955","0.262212434639068"
"6 on scale 1-7","2005","Couple + C. LE 16 ","969","0.247799887445959","0.233916804084737","0.26168297080718"
"6 on scale 1-7","2005","Couple + C. GT 16 ","980","0.255509786102685","0.241348843164279","0.269670729041091"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","416","0.229327426833331","0.209366704811118","0.249288148855545"
"7 Strongly agree","2005","1-pers.-HH","1955","0.662793383664065","0.645785382825342","0.679801384502788"
"7 Strongly agree","2005","(Married) couple without C. ","4490","0.652203356085671","0.641074785526711","0.66333192664463"
"7 Strongly agree","2005","Single parent ","695","0.642997675633575","0.614684279070843","0.671311072196307"
"7 Strongly agree","2005","Couple + C. LE 16 ","2340","0.634937883813498","0.619456218106995","0.650419549520001"
"7 Strongly agree","2005","Couple + C. GT 16 ","2209","0.607872105970661","0.592020295073455","0.623723916867866"
"7 Strongly agree","2005","Couple + C. LE and GT 16","1036","0.620215437926442","0.59717168365721","0.643259192195673"
"1 Strongly disagree","2006","1-pers.-HH","","","",""
"1 Strongly disagree","2006","(Married) couple without C. ","","","",""
"1 Strongly disagree","2006","Single parent ","","","",""
"1 Strongly disagree","2006","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2006","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2006","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2006","1-pers.-HH","","","",""
"2 on scale 1-7 ","2006","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2006","Single parent ","","","",""
"2 on scale 1-7 ","2006","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2006","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2006","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2006","1-pers.-HH","","","",""
"3 on scale 1-7 ","2006","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2006","Single parent ","","","",""
"3 on scale 1-7 ","2006","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2006","Couple + C. GT 16 ","","","",""
"3 on scale 1-7 ","2006","Couple + C. LE and GT 16","","","",""
"4 on scale 1-7","2006","1-pers.-HH","","","",""
"4 on scale 1-7","2006","(Married) couple without C. ","","","",""
"4 on scale 1-7","2006","Single parent ","","","",""
"4 on scale 1-7","2006","Couple + C. LE 16 ","","","",""
"4 on scale 1-7","2006","Couple + C. GT 16 ","","","",""
"4 on scale 1-7","2006","Couple + C. LE and GT 16","","","",""
"5 on scale 1-7","2006","1-pers.-HH","","","",""
"5 on scale 1-7","2006","(Married) couple without C. ","","","",""
"5 on scale 1-7","2006","Single parent ","","","",""
"5 on scale 1-7","2006","Couple + C. LE 16 ","","","",""
"5 on scale 1-7","2006","Couple + C. GT 16 ","","","",""
"5 on scale 1-7","2006","Couple + C. LE and GT 16","","","",""
"6 on scale 1-7","2006","1-pers.-HH","","","",""
"6 on scale 1-7","2006","(Married) couple without C. ","","","",""
"6 on scale 1-7","2006","Single parent ","","","",""
"6 on scale 1-7","2006","Couple + C. LE 16 ","","","",""
"6 on scale 1-7","2006","Couple + C. GT 16 ","","","",""
"6 on scale 1-7","2006","Couple + C. LE and GT 16","","","",""
"7 Strongly agree","2006","1-pers.-HH","","","",""
"7 Strongly agree","2006","(Married) couple without C. ","","","",""
"7 Strongly agree","2006","Single parent ","","","",""
"7 Strongly agree","2006","Couple + C. LE 16 ","","","",""
"7 Strongly agree","2006","Couple + C. GT 16 ","","","",""
"7 Strongly agree","2006","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2007","1-pers.-HH","","","",""
"1 Strongly disagree","2007","(Married) couple without C. ","","","",""
