"plh0206i01","year","e11103","migback","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","no migration background","10","","","","1"
"1 Strongly disagree","2005","Full Time","direct migration background","4","","","","1"
"1 Strongly disagree","2005","Full Time","indirect migration background","","","","","1"
"1 Strongly disagree","2005","Part Time","no migration background","7","","","","1"
"1 Strongly disagree","2005","Part Time","direct migration background","","","","","1"
"1 Strongly disagree","2005","Part Time","indirect migration background","1","","","","1"
"1 Strongly disagree","2005","Not Working","no migration background","14","","","","1"
"1 Strongly disagree","2005","Not Working","direct migration background","2","","","","1"
"1 Strongly disagree","2005","Not Working","indirect migration background","","","","","1"
"2 on scale 1-7 ","2005","Part Time","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","Full Time","no migration background","20","","","","2"
"2 on scale 1-7 ","2005","Full Time","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","Part Time","no migration background","2","","","","2"
"2 on scale 1-7 ","2005","Part Time","direct migration background","1","","","","2"
"2 on scale 1-7 ","2005","Not Working","no migration background","16","","","","2"
"2 on scale 1-7 ","2005","Not Working","direct migration background","4","","","","2"
"2 on scale 1-7 ","2005","Not Working","indirect migration background","","","","","2"
"2 on scale 1-7 ","2005","Full Time","direct migration background","2","","","","2"
"3 on scale 1-7 ","2005","Full Time","direct migration background","6","","","","3"
"3 on scale 1-7 ","2005","Full Time","no migration background","44","0.00523158886318198","0.00352831390162362","0.00693486382474034","3"
"3 on scale 1-7 ","2005","Part Time","indirect migration background","2","","","","3"
"3 on scale 1-7 ","2005","Not Working","no migration background","54","0.00864349297504486","0.00640889673271453","0.0108780892173752","3"
"3 on scale 1-7 ","2005","Full Time","indirect migration background","","","","","3"
"3 on scale 1-7 ","2005","Part Time","no migration background","15","","","","3"
"3 on scale 1-7 ","2005","Part Time","direct migration background","5","","","","3"
"3 on scale 1-7 ","2005","Not Working","direct migration background","13","","","","3"
"3 on scale 1-7 ","2005","Not Working","indirect migration background","2","","","","3"
"4 on scale 1-7","2005","Full Time","direct migration background","31","0.0421559556631393","0.0282919669923088","0.0560199443339698","4"
"4 on scale 1-7","2005","Full Time","indirect migration background","10","","","","4"
"4 on scale 1-7","2005","Part Time","indirect migration background","7","","","","4"
"4 on scale 1-7","2005","Not Working","no migration background","210","0.0319100910576184","0.0276672050875326","0.0361529770277041","4"
"4 on scale 1-7","2005","Not Working","direct migration background","47","0.046514470314328","0.0335007882064232","0.0595281524222328","4"
"4 on scale 1-7","2005","Part Time","direct migration background","28","","","","4"
"4 on scale 1-7","2005","Part Time","no migration background","98","0.0248486054857999","0.0200491640200937","0.0296480469515062","4"
"4 on scale 1-7","2005","Not Working","indirect migration background","16","","","","4"
"4 on scale 1-7","2005","Full Time","no migration background","155","0.0245847558208718","0.0209285159104629","0.0282409957312807","4"
"5 on scale 1-7","2005","Part Time","no migration background","269","0.0683234337860845","0.0605444817388076","0.0761023858333613","5"
"5 on scale 1-7","2005","Part Time","indirect migration background","13","","","","5"
"5 on scale 1-7","2005","Not Working","no migration background","602","0.0890141280471781","0.082139886575383","0.0958883695189731","5"
"5 on scale 1-7","2005","Full Time","direct migration background","65","0.0908040135042526","0.0709799536208429","0.110628073387662","5"
"5 on scale 1-7","2005","Full Time","indirect migration background","35","0.129252086516494","0.0928908019732596","0.165613371059728","5"
"5 on scale 1-7","2005","Part Time","direct migration background","50","0.0795682575187887","0.0570939555956857","0.102042559441892","5"
"5 on scale 1-7","2005","Not Working","direct migration background","88","0.0913745766106817","0.0735690742368191","0.109180078984544","5"
"5 on scale 1-7","2005","Not Working","indirect migration background","42","0.133344279105979","0.0937378789238536","0.172950679288105","5"
"5 on scale 1-7","2005","Full Time","no migration background","508","0.0769901341315879","0.0706961205494983","0.0832841477136775","5"
