"plh0206i01","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","no migration background","Male","15","","",""
"1 Strongly disagree","2005","no migration background","Female","16","","",""
"1 Strongly disagree","2005","direct migration background","Male","1","","",""
"1 Strongly disagree","2005","direct migration background","Female","5","","",""
"1 Strongly disagree","2005","indirect migration background","Male","","","",""
"1 Strongly disagree","2005","indirect migration background","Female","1","","",""
"2 on scale 1-7 ","2005","no migration background","Male","19","","",""
"2 on scale 1-7 ","2005","no migration background","Female","19","","",""
"2 on scale 1-7 ","2005","direct migration background","Male","3","","",""
"2 on scale 1-7 ","2005","direct migration background","Female","4","","",""
"2 on scale 1-7 ","2005","indirect migration background","Male","","","",""
"2 on scale 1-7 ","2005","indirect migration background","Female","","","",""
"3 on scale 1-7 ","2005","no migration background","Male","54","0.00586965438506842","0.00423492145738425","0.0075043873127526"
"3 on scale 1-7 ","2005","no migration background","Female","59","0.00627944335917311","0.00465963828061762","0.0078992484377286"
"3 on scale 1-7 ","2005","direct migration background","Male","11","","",""
"3 on scale 1-7 ","2005","direct migration background","Female","13","","",""
"3 on scale 1-7 ","2005","indirect migration background","Male","2","","",""
"3 on scale 1-7 ","2005","indirect migration background","Female","2","","",""
"4 on scale 1-7","2005","no migration background","Male","223","0.026363450940207","0.0229348381302201","0.0297920637501939"
"4 on scale 1-7","2005","no migration background","Female","240","0.0287950675599943","0.0253659329296405","0.032224202190348"
"4 on scale 1-7","2005","direct migration background","Male","48","0.052609963983676","0.0395234010546006","0.0656965269127514"
"4 on scale 1-7","2005","direct migration background","Female","58","0.0450154739591984","0.0335306324200468","0.05650031549835"
"4 on scale 1-7","2005","indirect migration background","Male","22","","",""
"4 on scale 1-7","2005","indirect migration background","Female","11","","",""
"5 on scale 1-7","2005","no migration background","Male","723","0.0871645551585773","0.0811280568019954","0.0932010535151591"
"5 on scale 1-7","2005","no migration background","Female","656","0.0731653046167904","0.0678255195118806","0.0785050897217001"
