"plh0206i01","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","1-pers.-HH","West Germany","4","","",""
"1 Strongly disagree","2005","1-pers.-HH","East Germany","1","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","West Germany","8","","",""
"1 Strongly disagree","2005","(Married) couple without C. ","East Germany","4","","",""
"1 Strongly disagree","2005","Single parent ","West Germany","5","","",""
"1 Strongly disagree","2005","Single parent ","East Germany","","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","West Germany","5","","",""
"1 Strongly disagree","2005","Couple + C. LE 16 ","East Germany","","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","West Germany","8","","",""
"1 Strongly disagree","2005","Couple + C. GT 16 ","East Germany","1","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","West Germany","1","","",""
"1 Strongly disagree","2005","Couple + C. LE and GT 16","East Germany","","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","West Germany","8","","",""
"2 on scale 1-7 ","2005","1-pers.-HH","East Germany","2","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","West Germany","12","","",""
"2 on scale 1-7 ","2005","(Married) couple without C. ","East Germany","6","","",""
"2 on scale 1-7 ","2005","Single parent ","West Germany","","","",""
"2 on scale 1-7 ","2005","Single parent ","East Germany","","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","West Germany","2","","",""
"2 on scale 1-7 ","2005","Couple + C. LE 16 ","East Germany","","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","West Germany","7","","",""
"2 on scale 1-7 ","2005","Couple + C. GT 16 ","East Germany","5","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","West Germany","2","","",""
"2 on scale 1-7 ","2005","Couple + C. LE and GT 16","East Germany","","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","West Germany","16","","",""
"3 on scale 1-7 ","2005","1-pers.-HH","East Germany","2","","",""
"3 on scale 1-7 ","2005","(Married) couple without C. ","West Germany","41","0.00481985445284786","0.00295069719371969","0.00668901171197604"
"3 on scale 1-7 ","2005","(Married) couple without C. ","East Germany","9","","",""
"3 on scale 1-7 ","2005","Single parent ","West Germany","6","","",""
