"plh0206i01","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","Male","6","","",""
"1 Strongly disagree","2005","Not Employed","Female","10","","",""
"1 Strongly disagree","2005","Employed","Male","10","","",""
"1 Strongly disagree","2005","Employed","Female","12","","",""
"2 on scale 1-7 ","2005","Not Employed","Male","9","","",""
"2 on scale 1-7 ","2005","Not Employed","Female","11","","",""
"2 on scale 1-7 ","2005","Employed","Male","13","","",""
"2 on scale 1-7 ","2005","Employed","Female","12","","",""
"3 on scale 1-7 ","2005","Not Employed","Male","32","0.00848108477514415","0.00528834755317664","0.0116738219971117"
"3 on scale 1-7 ","2005","Not Employed","Female","37","0.00914388804648096","0.00642609616812725","0.0118616799248347"
"3 on scale 1-7 ","2005","Employed","Male","35","0.0051416119343966","0.0034340335707276","0.0068491902980656"
"3 on scale 1-7 ","2005","Employed","Female","37","0.00426010199660752","0.00262607450431402","0.00589412948890103"
"4 on scale 1-7","2005","Not Employed","Male","120","0.0373060175403982","0.030707892446919","0.0439041426338775"
"4 on scale 1-7","2005","Not Employed","Female","153","0.0325505773259199","0.0274837169966728","0.0376174376551671"
"4 on scale 1-7","2005","Employed","Male","173","0.0288600266899511","0.0248629761253873","0.032857077254515"
"4 on scale 1-7","2005","Employed","Female","156","0.0286879769401371","0.0244999858421135","0.0328759680381607"
"5 on scale 1-7","2005","Not Employed","Male","342","0.109153926849391","0.0982969730805253","0.120010880618256"
"5 on scale 1-7","2005","Not Employed","Female","390","0.0785713129759133","0.0708887112418734","0.0862539147099532"
"5 on scale 1-7","2005","Employed","Male","537","0.0813224171475924","0.0747965675289034","0.0878482667662814"
"5 on scale 1-7","2005","Employed","Female","403","0.070881248682328","0.0644428524818822","0.0773196448827739"
"6 on scale 1-7","2005","Not Employed","Male","772","0.232676607753964","0.217965256932679","0.24738795857525"
"6 on scale 1-7","2005","Not Employed","Female","1084","0.215409401394235","0.203671260259452","0.227147542529018"
"6 on scale 1-7","2005","Employed","Male","1883","0.263384622237099","0.252868249736498","0.2739009947377"
"6 on scale 1-7","2005","Employed","Female","1423","0.210517242401438","0.200289222438924","0.220745262363953"
"7 Strongly agree","2005","Not Employed","Male","1888","0.607243315546116","0.590240136210126","0.624246494882105"
"7 Strongly agree","2005","Not Employed","Female","3027","0.658427825803521","0.644887136275425","0.671968515331617"
"7 Strongly agree","2005","Employed","Male","4088","0.618119266564754","0.606519469881783","0.629719063247725"
"7 Strongly agree","2005","Employed","Female","4060","0.679336191037457","0.667626545319033","0.691045836755881"
"1 Strongly disagree","2006","Not Employed","Male","","","",""
"1 Strongly disagree","2006","Not Employed","Female","","","",""
"1 Strongly disagree","2006","Employed","Male","","","",""
"1 Strongly disagree","2006","Employed","Female","","","",""
"2 on scale 1-7 ","2006","Not Employed","Male","","","",""
"2 on scale 1-7 ","2006","Not Employed","Female","","","",""
"2 on scale 1-7 ","2006","Employed","Male","","","",""
"2 on scale 1-7 ","2006","Employed","Female","","","",""
"3 on scale 1-7 ","2006","Not Employed","Male","","","",""
"3 on scale 1-7 ","2006","Not Employed","Female","","","",""
"3 on scale 1-7 ","2006","Employed","Male","","","",""
"3 on scale 1-7 ","2006","Employed","Female","","","",""
"4 on scale 1-7","2006","Not Employed","Male","","","",""
"4 on scale 1-7","2006","Not Employed","Female","","","",""
"4 on scale 1-7","2006","Employed","Male","","","",""
"4 on scale 1-7","2006","Employed","Female","","","",""
"5 on scale 1-7","2006","Not Employed","Male","","","",""
"5 on scale 1-7","2006","Not Employed","Female","","","",""
"5 on scale 1-7","2006","Employed","Male","","","",""
"5 on scale 1-7","2006","Employed","Female","","","",""
"6 on scale 1-7","2006","Not Employed","Male","","","",""
"6 on scale 1-7","2006","Not Employed","Female","","","",""
"6 on scale 1-7","2006","Employed","Male","","","",""
"6 on scale 1-7","2006","Employed","Female","","","",""
"7 Strongly agree","2006","Not Employed","Male","","","",""
"7 Strongly agree","2006","Not Employed","Female","","","",""
"7 Strongly agree","2006","Employed","Male","","","",""
"7 Strongly agree","2006","Employed","Female","","","",""
"1 Strongly disagree","2007","Not Employed","Male","","","",""
"1 Strongly disagree","2007","Not Employed","Female","","","",""
"1 Strongly disagree","2007","Employed","Male","","","",""
"1 Strongly disagree","2007","Employed","Female","","","",""
"2 on scale 1-7 ","2007","Not Employed","Male","","","",""
"2 on scale 1-7 ","2007","Not Employed","Female","","","",""
"2 on scale 1-7 ","2007","Employed","Male","","","",""
"2 on scale 1-7 ","2007","Employed","Female","","","",""
"3 on scale 1-7 ","2007","Not Employed","Male","","","",""
"3 on scale 1-7 ","2007","Not Employed","Female","","","",""
"3 on scale 1-7 ","2007","Employed","Male","","","",""
"3 on scale 1-7 ","2007","Employed","Female","","","",""
"4 on scale 1-7","2007","Not Employed","Male","","","",""
"4 on scale 1-7","2007","Not Employed","Female","","","",""
"4 on scale 1-7","2007","Employed","Male","","","",""
"4 on scale 1-7","2007","Employed","Female","","","",""
"5 on scale 1-7","2007","Not Employed","Male","","","",""
"5 on scale 1-7","2007","Not Employed","Female","","","",""
"5 on scale 1-7","2007","Employed","Male","","","",""
"5 on scale 1-7","2007","Employed","Female","","","",""
"6 on scale 1-7","2007","Not Employed","Male","","","",""
"6 on scale 1-7","2007","Not Employed","Female","","","",""
"6 on scale 1-7","2007","Employed","Male","","","",""
"6 on scale 1-7","2007","Employed","Female","","","",""
"7 Strongly agree","2007","Not Employed","Male","","","",""
"7 Strongly agree","2007","Not Employed","Female","","","",""
"7 Strongly agree","2007","Employed","Male","","","",""
"7 Strongly agree","2007","Employed","Female","","","",""
"1 Strongly disagree","2008","Not Employed","Male","","","",""
"1 Strongly disagree","2008","Not Employed","Female","","","",""
"1 Strongly disagree","2008","Employed","Male","","","",""
"1 Strongly disagree","2008","Employed","Female","","","",""
"2 on scale 1-7 ","2008","Not Employed","Male","","","",""
"2 on scale 1-7 ","2008","Not Employed","Female","","","",""
"2 on scale 1-7 ","2008","Employed","Male","","","",""
"2 on scale 1-7 ","2008","Employed","Female","","","",""
"3 on scale 1-7 ","2008","Not Employed","Male","","","",""
"3 on scale 1-7 ","2008","Not Employed","Female","","","",""
"3 on scale 1-7 ","2008","Employed","Male","","","",""
"3 on scale 1-7 ","2008","Employed","Female","","","",""
"4 on scale 1-7","2008","Not Employed","Male","","","",""
"4 on scale 1-7","2008","Not Employed","Female","","","",""
"4 on scale 1-7","2008","Employed","Male","","","",""
"4 on scale 1-7","2008","Employed","Female","","","",""
"5 on scale 1-7","2008","Not Employed","Male","","","",""
"5 on scale 1-7","2008","Not Employed","Female","","","",""
"5 on scale 1-7","2008","Employed","Male","","","",""
"5 on scale 1-7","2008","Employed","Female","","","",""
"6 on scale 1-7","2008","Not Employed","Male","","","",""
"6 on scale 1-7","2008","Not Employed","Female","","","",""
"6 on scale 1-7","2008","Employed","Male","","","",""
"6 on scale 1-7","2008","Employed","Female","","","",""
"7 Strongly agree","2008","Not Employed","Male","","","",""
"7 Strongly agree","2008","Not Employed","Female","","","",""
"7 Strongly agree","2008","Employed","Male","","","",""
"7 Strongly agree","2008","Employed","Female","","","",""
"1 Strongly disagree","2009","Not Employed","Male","","","",""
"1 Strongly disagree","2009","Not Employed","Female","","","",""
"1 Strongly disagree","2009","Employed","Male","","","",""
"1 Strongly disagree","2009","Employed","Female","","","",""
"2 on scale 1-7 ","2009","Not Employed","Male","","","",""
"2 on scale 1-7 ","2009","Not Employed","Female","","","",""
"2 on scale 1-7 ","2009","Employed","Male","","","",""
"2 on scale 1-7 ","2009","Employed","Female","","","",""
"3 on scale 1-7 ","2009","Not Employed","Male","","","",""
"3 on scale 1-7 ","2009","Not Employed","Female","","","",""
"3 on scale 1-7 ","2009","Employed","Male","","","",""
"3 on scale 1-7 ","2009","Employed","Female","","","",""
"4 on scale 1-7","2009","Not Employed","Male","","","",""
"4 on scale 1-7","2009","Not Employed","Female","","","",""
"4 on scale 1-7","2009","Employed","Male","","","",""
"4 on scale 1-7","2009","Employed","Female","","","",""
"5 on scale 1-7","2009","Not Employed","Male","","","",""
"5 on scale 1-7","2009","Not Employed","Female","","","",""
"5 on scale 1-7","2009","Employed","Male","","","",""
"5 on scale 1-7","2009","Employed","Female","","","",""
"6 on scale 1-7","2009","Not Employed","Male","","","",""
"6 on scale 1-7","2009","Not Employed","Female","","","",""
"6 on scale 1-7","2009","Employed","Male","","","",""
"6 on scale 1-7","2009","Employed","Female","","","",""
"7 Strongly agree","2009","Not Employed","Male","","","",""
"7 Strongly agree","2009","Not Employed","Female","","","",""
"7 Strongly agree","2009","Employed","Male","","","",""
"7 Strongly agree","2009","Employed","Female","","","",""
"1 Strongly disagree","2010","Not Employed","Male","6","","",""
"1 Strongly disagree","2010","Not Employed","Female","15","","",""
"1 Strongly disagree","2010","Employed","Male","9","","",""
"1 Strongly disagree","2010","Employed","Female","15","","",""
"2 on scale 1-7 ","2010","Not Employed","Male","12","","",""
