"plh0206i01","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Urban Area","West Germany","28","","",""
"1 Strongly disagree","2005","Urban Area","East Germany","3","","",""
"1 Strongly disagree","2005","Rural Area","West Germany","4","","",""
"1 Strongly disagree","2005","Rural Area","East Germany","3","","",""
"2 on scale 1-7 ","2005","Urban Area","West Germany","24","","",""
"2 on scale 1-7 ","2005","Urban Area","East Germany","5","","",""
"2 on scale 1-7 ","2005","Rural Area","West Germany","8","","",""
"2 on scale 1-7 ","2005","Rural Area","East Germany","8","","",""
"3 on scale 1-7 ","2005","Urban Area","West Germany","87","0.00628219149202959","0.00487502588915715","0.00768935709490203"
"3 on scale 1-7 ","2005","Urban Area","East Germany","8","","",""
"3 on scale 1-7 ","2005","Rural Area","West Germany","26","","",""
"3 on scale 1-7 ","2005","Rural Area","East Germany","20","","",""
"4 on scale 1-7","2005","Urban Area","West Germany","356","0.0331299571901868","0.0299424396850049","0.0363174746953687"
"4 on scale 1-7","2005","Urban Area","East Germany","44","0.0267408120409039","0.0192124524923362","0.0342691715894716"
"4 on scale 1-7","2005","Rural Area","West Germany","107","0.0296029280094481","0.0240361464821418","0.0351697095367543"
"4 on scale 1-7","2005","Rural Area","East Germany","95","0.0250048212820397","0.0196670329197053","0.030342609644374"
"5 on scale 1-7","2005","Urban Area","West Germany","983","0.0863150482283379","0.0813135561666988","0.0913165402899769"
"5 on scale 1-7","2005","Urban Area","East Germany","137","0.0767614551505369","0.0643384300126351","0.0891844802884387"
"5 on scale 1-7","2005","Rural Area","West Germany","312","0.0800376371769013","0.0711252455125736","0.088950028841229"
"5 on scale 1-7","2005","Rural Area","East Germany","240","0.0677094752115107","0.0591203566422617","0.0762985937807598"
"6 on scale 1-7","2005","Urban Area","West Germany","3027","0.236719476644749","0.229149105438445","0.244289847851052"
"6 on scale 1-7","2005","Urban Area","East Germany","422","0.213529732167926","0.194406154995448","0.232653309340404"
"6 on scale 1-7","2005","Rural Area","West Germany","862","0.212806054524005","0.199363092656881","0.226249016391129"
"6 on scale 1-7","2005","Rural Area","East Germany","851","0.25236592068955","0.237516546963791","0.267215294415309"
"7 Strongly agree","2005","Urban Area","West Germany","7606","0.632913025154953","0.624328533295514","0.641497517014392"
"7 Strongly agree","2005","Urban Area","East Germany","1145","0.66967130931427","0.647722912921637","0.691619705706903"
"7 Strongly agree","2005","Rural Area","West Germany","2242","0.66399212359553","0.648478319714659","0.679505927476402"
"7 Strongly agree","2005","Rural Area","East Germany","2070","0.645437681897022","0.629083768770435","0.66179159502361"
"1 Strongly disagree","2006","Urban Area","West Germany","","","",""
"1 Strongly disagree","2006","Urban Area","East Germany","","","",""
"1 Strongly disagree","2006","Rural Area","West Germany","","","",""
"1 Strongly disagree","2006","Rural Area","East Germany","","","",""
"2 on scale 1-7 ","2006","Urban Area","West Germany","","","",""
"2 on scale 1-7 ","2006","Urban Area","East Germany","","","",""
"2 on scale 1-7 ","2006","Rural Area","West Germany","","","",""
"2 on scale 1-7 ","2006","Rural Area","East Germany","","","",""
"3 on scale 1-7 ","2006","Urban Area","West Germany","","","",""
