"plh0206i01","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","in school","Urban Area","1","","",""
"1 Strongly disagree","2005","in school","Rural Area","","","",""
"1 Strongly disagree","2005","inadequately","Urban Area","1","","",""
"1 Strongly disagree","2005","inadequately","Rural Area","","","",""
"1 Strongly disagree","2005","general elemantary","Urban Area","5","","",""
"1 Strongly disagree","2005","general elemantary","Rural Area","1","","",""
"1 Strongly disagree","2005","middle vocational","Urban Area","17","","",""
"1 Strongly disagree","2005","middle vocational","Rural Area","4","","",""
"1 Strongly disagree","2005","vocational + Abi","Urban Area","2","","",""
"1 Strongly disagree","2005","vocational + Abi","Rural Area","","","",""
"1 Strongly disagree","2005","higher vocational","Urban Area","1","","",""
"1 Strongly disagree","2005","higher vocational","Rural Area","1","","",""
"1 Strongly disagree","2005","higher education","Urban Area","4","","",""
"1 Strongly disagree","2005","higher education","Rural Area","1","","",""
"2 on scale 1-7 ","2005","in school","Urban Area","","","",""
"2 on scale 1-7 ","2005","in school","Rural Area","","","",""
"2 on scale 1-7 ","2005","inadequately","Urban Area","1","","",""
"2 on scale 1-7 ","2005","inadequately","Rural Area","","","",""
"2 on scale 1-7 ","2005","general elemantary","Urban Area","7","","",""
"2 on scale 1-7 ","2005","general elemantary","Rural Area","4","","",""
"2 on scale 1-7 ","2005","middle vocational","Urban Area","11","","",""
"2 on scale 1-7 ","2005","middle vocational","Rural Area","6","","",""
"2 on scale 1-7 ","2005","vocational + Abi","Urban Area","","","",""
"2 on scale 1-7 ","2005","vocational + Abi","Rural Area","","","",""
"2 on scale 1-7 ","2005","higher vocational","Urban Area","2","","",""
"2 on scale 1-7 ","2005","higher vocational","Rural Area","1","","",""
"2 on scale 1-7 ","2005","higher education","Urban Area","8","","",""
"2 on scale 1-7 ","2005","higher education","Rural Area","4","","",""
"3 on scale 1-7 ","2005","in school","Urban Area","1","","",""
"3 on scale 1-7 ","2005","in school","Rural Area","1","","",""
"3 on scale 1-7 ","2005","inadequately","Urban Area","5","","",""
"3 on scale 1-7 ","2005","inadequately","Rural Area","1","","",""
"3 on scale 1-7 ","2005","general elemantary","Urban Area","14","","",""
"3 on scale 1-7 ","2005","general elemantary","Rural Area","8","","",""
"3 on scale 1-7 ","2005","middle vocational","Urban Area","43","0.00690976753180976","0.00490504002661487","0.00891449503700466"
"3 on scale 1-7 ","2005","middle vocational","Rural Area","19","","",""
"3 on scale 1-7 ","2005","vocational + Abi","Urban Area","5","","",""
"3 on scale 1-7 ","2005","vocational + Abi","Rural Area","","","",""
"3 on scale 1-7 ","2005","higher vocational","Urban Area","9","","",""
"3 on scale 1-7 ","2005","higher vocational","Rural Area","3","","",""
"3 on scale 1-7 ","2005","higher education","Urban Area","15","","",""
"3 on scale 1-7 ","2005","higher education","Rural Area","11","","",""
"4 on scale 1-7","2005","in school","Urban Area","21","","",""
"4 on scale 1-7","2005","in school","Rural Area","11","","",""
"4 on scale 1-7","2005","inadequately","Urban Area","12","","",""
"4 on scale 1-7","2005","inadequately","Rural Area","3","","",""
"4 on scale 1-7","2005","general elemantary","Urban Area","78","0.0510453699785446","0.0404031994963651","0.061687540460724"
"4 on scale 1-7","2005","general elemantary","Rural Area","35","0.0469718213248777","0.0319689984227011","0.0619746442270543"
"4 on scale 1-7","2005","middle vocational","Urban Area","163","0.0281925761297218","0.0241867991843771","0.0321983530750664"
"4 on scale 1-7","2005","middle vocational","Rural Area","104","0.0232400460636956","0.0183938829069405","0.0280862092204506"
"4 on scale 1-7","2005","vocational + Abi","Urban Area","31","0.039828737240512","0.02683419200516","0.052823282475864"
"4 on scale 1-7","2005","vocational + Abi","Rural Area","4","","",""
"4 on scale 1-7","2005","higher vocational","Urban Area","22","","",""
"4 on scale 1-7","2005","higher vocational","Rural Area","15","","",""
"4 on scale 1-7","2005","higher education","Urban Area","62","0.0251491525546123","0.0195151105272617","0.0307831945819629"
