"plh0206i01","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","16-34 y.","1-pers.-HH","1","","","","1"
"1 Strongly disagree","2005","16-34 y.","(Married) couple without C. ","1","","","","1"
"1 Strongly disagree","2005","16-34 y.","Single parent ","1","","","","1"
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE 16 ","3","","","","1"
"1 Strongly disagree","2005","16-34 y.","Couple + C. GT 16 ","3","","","","1"
"1 Strongly disagree","2005","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2005","35-65 y.","1-pers.-HH","2","","","","1"
"1 Strongly disagree","2005","35-65 y.","(Married) couple without C. ","6","","","","1"
"1 Strongly disagree","2005","35-65 y.","Single parent ","3","","","","1"
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE 16 ","2","","","","1"
"1 Strongly disagree","2005","35-65 y.","Couple + C. GT 16 ","6","","","","1"
"1 Strongly disagree","2005","35-65 y.","Couple + C. LE and GT 16","1","","","","1"
"1 Strongly disagree","2005","66 and older","1-pers.-HH","2","","","","1"
"1 Strongly disagree","2005","66 and older","(Married) couple without C. ","5","","","","1"
"1 Strongly disagree","2005","66 and older","Single parent ","1","","","","1"
"1 Strongly disagree","2005","66 and older","Couple + C. LE 16 ","","","","","1"
"1 Strongly disagree","2005","66 and older","Couple + C. GT 16 ","","","","","1"
"1 Strongly disagree","2005","66 and older","Couple + C. LE and GT 16","","","","","1"
"2 on scale 1-7 ","2005","66 and older","Single parent ","","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","1-pers.-HH","1","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE and GT 16","1","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","(Married) couple without C. ","2","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Single parent ","","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2005","16-34 y.","Couple + C. GT 16 ","3","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","1-pers.-HH","6","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","(Married) couple without C. ","10","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Single parent ","","","","","2"
"2 on scale 1-7 ","2005","35-65 y.","Couple + C. LE 16 ","2","","","","2"
"2 on scale 1-7 ","2005","66 and older","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2005","66 and older","Couple + C. GT 16 ","","","","","2"
