"plh0206i01","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","in school","1","","","","1"
"1 Strongly disagree","2005","inadequately","1","","","","1"
"1 Strongly disagree","2005","general elemantary","6","","","","1"
"1 Strongly disagree","2005","middle vocational","21","","","","1"
"1 Strongly disagree","2005","vocational + Abi","2","","","","1"
"1 Strongly disagree","2005","higher vocational","2","","","","1"
"1 Strongly disagree","2005","higher education","5","","","","1"
"2 on scale 1-7 ","2005","higher education","12","","","","2"
"2 on scale 1-7 ","2005","middle vocational","17","","","","2"
"2 on scale 1-7 ","2005","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2005","higher vocational","3","","","","2"
"2 on scale 1-7 ","2005","general elemantary","11","","","","2"
"2 on scale 1-7 ","2005","inadequately","1","","","","2"
"2 on scale 1-7 ","2005","in school","","","","","2"
"3 on scale 1-7 ","2005","higher education","26","","","","3"
"3 on scale 1-7 ","2005","higher vocational","12","","","","3"
"3 on scale 1-7 ","2005","vocational + Abi","5","","","","3"
"3 on scale 1-7 ","2005","middle vocational","62","0.00645283682302332","0.00490441183586267","0.00800126181018398","3"
"3 on scale 1-7 ","2005","in school","2","","","","3"
"3 on scale 1-7 ","2005","inadequately","6","","","","3"
"3 on scale 1-7 ","2005","general elemantary","22","","","","3"
"4 on scale 1-7","2005","middle vocational","267","0.0265106743609746","0.0234039940133381","0.0296173547086111","4"
"4 on scale 1-7","2005","general elemantary","113","0.0497611931397419","0.0410741531706813","0.0584482331088025","4"
"4 on scale 1-7","2005","vocational + Abi","35","0.0406712059979538","0.0291746216782979","0.0521677903176096","4"
"4 on scale 1-7","2005","higher education","87","0.0233358176515689","0.018752072300376","0.0279195630027618","4"
"4 on scale 1-7","2005","inadequately","15","","","","4"
"4 on scale 1-7","2005","in school","32","0.0548885221390096","0.037338476982526","0.0724385672954933","4"
"4 on scale 1-7","2005","higher vocational","37","0.0212862945213861","0.0141215138241177","0.0284510752186545","4"
"5 on scale 1-7","2005","higher education","325","0.0889982372410189","0.0803528061842196","0.0976436682978181","5"
"5 on scale 1-7","2005","middle vocational","783","0.0770525469630411","0.0718954823478273","0.0822096115782548","5"
"5 on scale 1-7","2005","in school","92","0.149992254573199","0.122479009995557","0.177505499150841","5"
"5 on scale 1-7","2005","inadequately","22","","","","5"
"5 on scale 1-7","2005","general elemantary","231","0.0900044627629931","0.0785714233905588","0.101437502135427","5"
"5 on scale 1-7","2005","vocational + Abi","91","0.0835240719595142","0.0674210300078536","0.0996271139111748","5"
"5 on scale 1-7","2005","higher vocational","98","0.0639677693003928","0.0518212725559469","0.0761142660448387","5"
"6 on scale 1-7","2005","higher education","1170","0.254580199799426","0.241353572548824","0.267806827050029","6"
"6 on scale 1-7","2005","middle vocational","2463","0.227774477674717","0.219664023199255","0.23588493215018","6"
"6 on scale 1-7","2005","vocational + Abi","286","0.240031417674032","0.215173003015839","0.264889832332225","6"
"6 on scale 1-7","2005","higher vocational","399","0.250956600472391","0.229434837924448","0.272478363020335","6"
"6 on scale 1-7","2005","inadequately","42","0.207683725583345","0.155929881780284","0.259437569386406","6"
"6 on scale 1-7","2005","in school","174","0.253467818804754","0.219949545997352","0.286986091612156","6"
"6 on scale 1-7","2005","general elemantary","559","0.212467064531958","0.196125628529374","0.228808500534542","6"
"7 Strongly agree","2005","higher education","2542","0.623523106179433","0.608812458979236","0.638233753379629","7"
"7 Strongly agree","2005","vocational + Abi","715","0.630911757759106","0.602825687399332","0.658997828118879","7"
"7 Strongly agree","2005","middle vocational","6659","0.658083198679695","0.648909991375524","0.667256405983866","7"
"7 Strongly agree","2005","higher vocational","1008","0.657561018657862","0.634005934433634","0.68111610288209","7"
"7 Strongly agree","2005","in school","346","0.54003754384127","0.501634193028793","0.578440894653746","7"
"7 Strongly agree","2005","inadequately","149","0.641409414360295","0.580222409280039","0.70259641944055","7"
"7 Strongly agree","2005","general elemantary","1465","0.628138456936275","0.608830853458474","0.647446060414076","7"
"1 Strongly disagree","2006","vocational + Abi","","","","","1"
"1 Strongly disagree","2006","higher vocational","","","","","1"
"1 Strongly disagree","2006","higher education","","","","","1"
"1 Strongly disagree","2006","in school","","","","","1"
"1 Strongly disagree","2006","inadequately","","","","","1"
"1 Strongly disagree","2006","general elemantary","","","","","1"
"1 Strongly disagree","2006","middle vocational","","","","","1"
"2 on scale 1-7 ","2006","middle vocational","","","","","2"
"2 on scale 1-7 ","2006","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2006","higher education","","","","","2"
"2 on scale 1-7 ","2006","general elemantary","","","","","2"
"2 on scale 1-7 ","2006","higher vocational","","","","","2"
"2 on scale 1-7 ","2006","in school","","","","","2"
"2 on scale 1-7 ","2006","inadequately","","","","","2"
"3 on scale 1-7 ","2006","higher education","","","","","3"
"3 on scale 1-7 ","2006","in school","","","","","3"
"3 on scale 1-7 ","2006","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2006","higher vocational","","","","","3"
"3 on scale 1-7 ","2006","inadequately","","","","","3"
"3 on scale 1-7 ","2006","middle vocational","","","","","3"
"3 on scale 1-7 ","2006","general elemantary","","","","","3"
"4 on scale 1-7","2006","higher education","","","","","4"
"4 on scale 1-7","2006","middle vocational","","","","","4"
"4 on scale 1-7","2006","vocational + Abi","","","","","4"
"4 on scale 1-7","2006","in school","","","","","4"
"4 on scale 1-7","2006","inadequately","","","","","4"
"4 on scale 1-7","2006","general elemantary","","","","","4"
"4 on scale 1-7","2006","higher vocational","","","","","4"
"5 on scale 1-7","2006","higher education","","","","","5"
"5 on scale 1-7","2006","in school","","","","","5"
"5 on scale 1-7","2006","vocational + Abi","","","","","5"
"5 on scale 1-7","2006","higher vocational","","","","","5"
"5 on scale 1-7","2006","middle vocational","","","","","5"
"5 on scale 1-7","2006","inadequately","","","","","5"
"5 on scale 1-7","2006","general elemantary","","","","","5"
"6 on scale 1-7","2006","middle vocational","","","","","6"
"6 on scale 1-7","2006","higher education","","","","","6"
"6 on scale 1-7","2006","in school","","","","","6"
"6 on scale 1-7","2006","inadequately","","","","","6"
"6 on scale 1-7","2006","general elemantary","","","","","6"
"6 on scale 1-7","2006","vocational + Abi","","","","","6"
"6 on scale 1-7","2006","higher vocational","","","","","6"
"7 Strongly agree","2006","vocational + Abi","","","","","7"
"7 Strongly agree","2006","higher education","","","","","7"
"7 Strongly agree","2006","middle vocational","","","","","7"
"7 Strongly agree","2006","higher vocational","","","","","7"
"7 Strongly agree","2006","in school","","","","","7"
"7 Strongly agree","2006","inadequately","","","","","7"
"7 Strongly agree","2006","general elemantary","","","","","7"
"1 Strongly disagree","2007","vocational + Abi","","","","","1"
"1 Strongly disagree","2007","higher vocational","","","","","1"
"1 Strongly disagree","2007","higher education","","","","","1"
"1 Strongly disagree","2007","in school","","","","","1"
"1 Strongly disagree","2007","inadequately","","","","","1"
"1 Strongly disagree","2007","general elemantary","","","","","1"
"1 Strongly disagree","2007","middle vocational","","","","","1"
"2 on scale 1-7 ","2007","middle vocational","","","","","2"
"2 on scale 1-7 ","2007","higher education","","","","","2"
"2 on scale 1-7 ","2007","general elemantary","","","","","2"
"2 on scale 1-7 ","2007","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2007","higher vocational","","","","","2"
"2 on scale 1-7 ","2007","inadequately","","","","","2"
"2 on scale 1-7 ","2007","in school","","","","","2"
"3 on scale 1-7 ","2007","higher education","","","","","3"
"3 on scale 1-7 ","2007","higher vocational","","","","","3"
"3 on scale 1-7 ","2007","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2007","in school","","","","","3"
"3 on scale 1-7 ","2007","inadequately","","","","","3"
"3 on scale 1-7 ","2007","middle vocational","","","","","3"
"3 on scale 1-7 ","2007","general elemantary","","","","","3"
"4 on scale 1-7","2007","middle vocational","","","","","4"
"4 on scale 1-7","2007","higher education","","","","","4"
"4 on scale 1-7","2007","vocational + Abi","","","","","4"
"4 on scale 1-7","2007","in school","","","","","4"
"4 on scale 1-7","2007","inadequately","","","","","4"
"4 on scale 1-7","2007","general elemantary","","","","","4"
"4 on scale 1-7","2007","higher vocational","","","","","4"
"5 on scale 1-7","2007","higher education","","","","","5"
"5 on scale 1-7","2007","in school","","","","","5"
"5 on scale 1-7","2007","vocational + Abi","","","","","5"
"5 on scale 1-7","2007","higher vocational","","","","","5"
"5 on scale 1-7","2007","inadequately","","","","","5"
"5 on scale 1-7","2007","middle vocational","","","","","5"
"5 on scale 1-7","2007","general elemantary","","","","","5"
"6 on scale 1-7","2007","middle vocational","","","","","6"
"6 on scale 1-7","2007","vocational + Abi","","","","","6"
"6 on scale 1-7","2007","higher education","","","","","6"
"6 on scale 1-7","2007","inadequately","","","","","6"
"6 on scale 1-7","2007","general elemantary","","","","","6"
"6 on scale 1-7","2007","higher vocational","","","","","6"
"6 on scale 1-7","2007","in school","","","","","6"
"7 Strongly agree","2007","higher education","","","","","7"
"7 Strongly agree","2007","vocational + Abi","","","","","7"
"7 Strongly agree","2007","higher vocational","","","","","7"
"7 Strongly agree","2007","middle vocational","","","","","7"
"7 Strongly agree","2007","in school","","","","","7"
"7 Strongly agree","2007","inadequately","","","","","7"
"7 Strongly agree","2007","general elemantary","","","","","7"
"1 Strongly disagree","2008","in school","","","","","1"
"1 Strongly disagree","2008","inadequately","","","","","1"
"1 Strongly disagree","2008","general elemantary","","","","","1"
"1 Strongly disagree","2008","middle vocational","","","","","1"
"1 Strongly disagree","2008","vocational + Abi","","","","","1"
"1 Strongly disagree","2008","higher vocational","","","","","1"
"1 Strongly disagree","2008","higher education","","","","","1"
"2 on scale 1-7 ","2008","vocational + Abi","","","","","2"
"2 on scale 1-7 ","2008","higher education","","","","","2"
"2 on scale 1-7 ","2008","middle vocational","","","","","2"
"2 on scale 1-7 ","2008","higher vocational","","","","","2"
"2 on scale 1-7 ","2008","general elemantary","","","","","2"
"2 on scale 1-7 ","2008","inadequately","","","","","2"
"2 on scale 1-7 ","2008","in school","","","","","2"
"3 on scale 1-7 ","2008","higher education","","","","","3"
"3 on scale 1-7 ","2008","middle vocational","","","","","3"
"3 on scale 1-7 ","2008","vocational + Abi","","","","","3"
"3 on scale 1-7 ","2008","higher vocational","","","","","3"
"3 on scale 1-7 ","2008","in school","","","","","3"
"3 on scale 1-7 ","2008","inadequately","","","","","3"
"3 on scale 1-7 ","2008","general elemantary","","","","","3"
"4 on scale 1-7","2008","in school","","","","","4"
"4 on scale 1-7","2008","inadequately","","","","","4"
"4 on scale 1-7","2008","middle vocational","","","","","4"
"4 on scale 1-7","2008","vocational + Abi","","","","","4"
"4 on scale 1-7","2008","higher education","","","","","4"
"4 on scale 1-7","2008","higher vocational","","","","","4"
"4 on scale 1-7","2008","general elemantary","","","","","4"
"5 on scale 1-7","2008","higher education","","","","","5"
"5 on scale 1-7","2008","middle vocational","","","","","5"
"5 on scale 1-7","2008","vocational + Abi","","","","","5"
"5 on scale 1-7","2008","higher vocational","","","","","5"
"5 on scale 1-7","2008","in school","","","","","5"
"5 on scale 1-7","2008","inadequately","","","","","5"
"5 on scale 1-7","2008","general elemantary","","","","","5"
"6 on scale 1-7","2008","middle vocational","","","","","6"
"6 on scale 1-7","2008","general elemantary","","","","","6"
"6 on scale 1-7","2008","higher education","","","","","6"
"6 on scale 1-7","2008","in school","","","","","6"
"6 on scale 1-7","2008","inadequately","","","","","6"
"6 on scale 1-7","2008","vocational + Abi","","","","","6"
"6 on scale 1-7","2008","higher vocational","","","","","6"
"7 Strongly agree","2008","vocational + Abi","","","","","7"
"7 Strongly agree","2008","higher education","","","","","7"
"7 Strongly agree","2008","middle vocational","","","","","7"
"7 Strongly agree","2008","higher vocational","","","","","7"
"7 Strongly agree","2008","in school","","","","","7"
"7 Strongly agree","2008","inadequately","","","","","7"
"7 Strongly agree","2008","general elemantary","","","","","7"
"1 Strongly disagree","2009","vocational + Abi","","","","","1"
"1 Strongly disagree","2009","higher vocational","","","","","1"
"1 Strongly disagree","2009","higher education","","","","","1"
"1 Strongly disagree","2009","in school","","","","","1"
"1 Strongly disagree","2009","inadequately","","","","","1"
"1 Strongly disagree","2009","general elemantary","","","","","1"
