"plh0206i01","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","1-pers.-HH","4","","",""
"1 Strongly disagree","2005","Not Employed","(Married) couple without C. ","5","","",""
"1 Strongly disagree","2005","Not Employed","Single parent ","1","","",""
"1 Strongly disagree","2005","Not Employed","Couple + C. LE 16 ","1","","",""
"1 Strongly disagree","2005","Not Employed","Couple + C. GT 16 ","3","","",""
"1 Strongly disagree","2005","Not Employed","Couple + C. LE and GT 16","1","","",""
"1 Strongly disagree","2005","Employed","1-pers.-HH","1","","",""
"1 Strongly disagree","2005","Employed","(Married) couple without C. ","7","","",""
"1 Strongly disagree","2005","Employed","Single parent ","4","","",""
"1 Strongly disagree","2005","Employed","Couple + C. LE 16 ","4","","",""
"1 Strongly disagree","2005","Employed","Couple + C. GT 16 ","6","","",""
"1 Strongly disagree","2005","Employed","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2005","Not Employed","1-pers.-HH","4","","",""
"2 on scale 1-7 ","2005","Not Employed","(Married) couple without C. ","10","","",""
"2 on scale 1-7 ","2005","Not Employed","Single parent ","","","",""
"2 on scale 1-7 ","2005","Not Employed","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2005","Not Employed","Couple + C. GT 16 ","4","","",""
"2 on scale 1-7 ","2005","Not Employed","Couple + C. LE and GT 16","1","","",""
"2 on scale 1-7 ","2005","Employed","1-pers.-HH","6","","",""
"2 on scale 1-7 ","2005","Employed","(Married) couple without C. ","8","","",""
"2 on scale 1-7 ","2005","Employed","Single parent ","","","",""
"2 on scale 1-7 ","2005","Employed","Couple + C. LE 16 ","2","","",""
"2 on scale 1-7 ","2005","Employed","Couple + C. GT 16 ","8","","",""
"2 on scale 1-7 ","2005","Employed","Couple + C. LE and GT 16","1","","",""
"3 on scale 1-7 ","2005","Not Employed","1-pers.-HH","12","","",""
"3 on scale 1-7 ","2005","Not Employed","(Married) couple without C. ","30","0.00691830860508506","0.00417462146235432","0.0096619957478158"
"3 on scale 1-7 ","2005","Not Employed","Single parent ","5","","",""
"3 on scale 1-7 ","2005","Not Employed","Couple + C. LE 16 ","6","","",""
"3 on scale 1-7 ","2005","Not Employed","Couple + C. GT 16 ","6","","",""
"3 on scale 1-7 ","2005","Not Employed","Couple + C. LE and GT 16","6","","",""
"3 on scale 1-7 ","2005","Employed","1-pers.-HH","6","","",""
"3 on scale 1-7 ","2005","Employed","(Married) couple without C. ","20","","",""
"3 on scale 1-7 ","2005","Employed","Single parent ","2","","",""
"3 on scale 1-7 ","2005","Employed","Couple + C. LE 16 ","19","","",""
"3 on scale 1-7 ","2005","Employed","Couple + C. GT 16 ","16","","",""
"3 on scale 1-7 ","2005","Employed","Couple + C. LE and GT 16","6","","",""
"4 on scale 1-7","2005","Not Employed","1-pers.-HH","47","0.0348674366605986","0.0253728292901705","0.0443620440310267"
"4 on scale 1-7","2005","Not Employed","(Married) couple without C. ","108","0.0308244372555224","0.0251031870501714","0.0365456874608733"
"4 on scale 1-7","2005","Not Employed","Single parent ","20","","",""
"4 on scale 1-7","2005","Not Employed","Couple + C. LE 16 ","19","","",""
"4 on scale 1-7","2005","Not Employed","Couple + C. GT 16 ","44","0.0442861733687419","0.0320107810440786","0.0565615656934053"
"4 on scale 1-7","2005","Not Employed","Couple + C. LE and GT 16","19","","",""
"4 on scale 1-7","2005","Employed","1-pers.-HH","35","0.0298248125670984","0.0213124648750792","0.0383371602591176"
"4 on scale 1-7","2005","Employed","(Married) couple without C. ","75","0.0207509852179685","0.0160485083218844","0.0254534621140526"
"4 on scale 1-7","2005","Employed","Single parent ","25","","",""
"4 on scale 1-7","2005","Employed","Couple + C. LE 16 ","78","0.0311220891695159","0.0249543877499168","0.0372897905891149"
"4 on scale 1-7","2005","Employed","Couple + C. GT 16 ","70","0.0335530959303689","0.0265842685807904","0.0405219232799474"
"4 on scale 1-7","2005","Employed","Couple + C. LE and GT 16","36","0.0343720115875585","0.023892540145372","0.0448514830297451"
"5 on scale 1-7","2005","Not Employed","1-pers.-HH","112","0.0791054377206834","0.0651359127401036","0.0930749627012633"
"5 on scale 1-7","2005","Not Employed","(Married) couple without C. ","310","0.0906279188857633","0.0811252860965757","0.100130551674951"
"5 on scale 1-7","2005","Not Employed","Single parent ","38","0.0638849337518347","0.0396143831190337","0.0881554843846357"
"5 on scale 1-7","2005","Not Employed","Couple + C. LE 16 ","50","0.07507961212462","0.0551258920124195","0.0950333322368206"
"5 on scale 1-7","2005","Not Employed","Couple + C. GT 16 ","106","0.105793026781642","0.0874409627375743","0.124145090825709"
"5 on scale 1-7","2005","Not Employed","Couple + C. LE and GT 16","85","0.15225069671545","0.122032987245307","0.182468406185593"
"5 on scale 1-7","2005","Employed","1-pers.-HH","117","0.0799775856706826","0.0664032445067424","0.0935519268346228"
"5 on scale 1-7","2005","Employed","(Married) couple without C. ","236","0.0672056378039065","0.0589460847313028","0.0754651908765101"
"5 on scale 1-7","2005","Employed","Single parent ","45","0.0723170494676577","0.0532651161209182","0.0913689828143973"
"5 on scale 1-7","2005","Employed","Couple + C. LE 16 ","227","0.0810405850451429","0.0713476814762471","0.0907334886140387"
"5 on scale 1-7","2005","Employed","Couple + C. GT 16 ","192","0.0802987368578592","0.0697819722210887","0.0908155014946298"
"5 on scale 1-7","2005","Employed","Couple + C. LE and GT 16","97","0.0814919048080483","0.0657545871955532","0.0972292224205434"
"6 on scale 1-7","2005","Not Employed","1-pers.-HH","290","0.197155010443779","0.176563259571087","0.21774676131647"
