"plh0206i01","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Not Employed","3","","",""
"1 Strongly disagree","2005","16-34 y.","Employed","6","","",""
"1 Strongly disagree","2005","35-65 y.","Not Employed","4","","",""
"1 Strongly disagree","2005","35-65 y.","Employed","16","","",""
"1 Strongly disagree","2005","66 and older","Not Employed","9","","",""
"1 Strongly disagree","2005","66 and older","Employed","","","",""
"2 on scale 1-7 ","2005","16-34 y.","Not Employed","4","","",""
"2 on scale 1-7 ","2005","16-34 y.","Employed","3","","",""
"2 on scale 1-7 ","2005","35-65 y.","Not Employed","7","","",""
"2 on scale 1-7 ","2005","35-65 y.","Employed","22","","",""
"2 on scale 1-7 ","2005","66 and older","Not Employed","9","","",""
"2 on scale 1-7 ","2005","66 and older","Employed","","","",""
"3 on scale 1-7 ","2005","16-34 y.","Not Employed","15","","",""
"3 on scale 1-7 ","2005","16-34 y.","Employed","15","","",""
"3 on scale 1-7 ","2005","35-65 y.","Not Employed","22","","",""
"3 on scale 1-7 ","2005","35-65 y.","Employed","55","0.00543540893782631","0.00390866494368965","0.00696215293196297"
"3 on scale 1-7 ","2005","66 and older","Not Employed","32","0.00918453018135406","0.0060539747466184","0.0123150856160897"
"3 on scale 1-7 ","2005","66 and older","Employed","2","","",""
"4 on scale 1-7","2005","16-34 y.","Not Employed","63","0.0452876774254098","0.0351465061884814","0.0554288486623382"
"4 on scale 1-7","2005","16-34 y.","Employed","100","0.034424550676648","0.0285555515399267","0.0402935498133694"
"4 on scale 1-7","2005","35-65 y.","Not Employed","86","0.0296883650581812","0.0232851895021786","0.0360915406141837"
"4 on scale 1-7","2005","35-65 y.","Employed","224","0.0262010519651138","0.0228841882581613","0.0295179156720664"
"4 on scale 1-7","2005","66 and older","Not Employed","124","0.0337578502771392","0.0278309595961692","0.0396847409581091"
"4 on scale 1-7","2005","66 and older","Employed","5","","",""
"5 on scale 1-7","2005","16-34 y.","Not Employed","188","0.104346794037951","0.0894370109508424","0.11925657712506"
"5 on scale 1-7","2005","16-34 y.","Employed","306","0.0856852109914174","0.0766749451336182","0.0946954768492166"
"5 on scale 1-7","2005","35-65 y.","Not Employed","223","0.0793487759985416","0.0691519658791419","0.0895455861179413"
"5 on scale 1-7","2005","35-65 y.","Employed","618","0.0727714747350394","0.0673775163499061","0.0781654331201727"
"5 on scale 1-7","2005","66 and older","Not Employed","321","0.0931000345295443","0.0835643659130326","0.102635703146056"
"5 on scale 1-7","2005","66 and older","Employed","16","","",""
"6 on scale 1-7","2005","16-34 y.","Not Employed","420","0.246661772548514","0.22563814012971","0.267685404967319"
"6 on scale 1-7","2005","16-34 y.","Employed","980","0.249514652756134","0.235584498231298","0.26344480728097"
"6 on scale 1-7","2005","35-65 y.","Not Employed","647","0.229001136276941","0.213148834315299","0.244853438238584"
"6 on scale 1-7","2005","35-65 y.","Employed","2269","0.235489192696439","0.226678482501284","0.244299902891594"
"6 on scale 1-7","2005","66 and older","Not Employed","789","0.20994421105131","0.196578952390683","0.223309469711937"
"6 on scale 1-7","2005","66 and older","Employed","57","0.212238932289021","0.158929549503557","0.265548315074485"
"7 Strongly agree","2005","16-34 y.","Not Employed","922","0.589087847198217","0.565092537903232","0.613083156493201"
"7 Strongly agree","2005","16-34 y.","Employed","2297","0.624775875236835","0.609189529683889","0.640362220789781"
"7 Strongly agree","2005","35-65 y.","Not Employed","1710","0.648458385146504","0.630445798801604","0.666470971491404"
"7 Strongly agree","2005","35-65 y.","Employed","5705","0.654262991196862","0.644386953837326","0.664139028556398"
"7 Strongly agree","2005","66 and older","Not Employed","2283","0.648160262135951","0.63248877605407","0.663831748217832"
"7 Strongly agree","2005","66 and older","Employed","146","0.694608008412221","0.63456083253124","0.754655184293202"
"1 Strongly disagree","2006","16-34 y.","Not Employed","","","",""
"1 Strongly disagree","2006","16-34 y.","Employed","","","",""
"1 Strongly disagree","2006","35-65 y.","Not Employed","","","",""
"1 Strongly disagree","2006","35-65 y.","Employed","","","",""
"1 Strongly disagree","2006","66 and older","Not Employed","","","",""
"1 Strongly disagree","2006","66 and older","Employed","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Not Employed","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Employed","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Not Employed","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Employed","","","",""
"2 on scale 1-7 ","2006","66 and older","Not Employed","","","",""
"2 on scale 1-7 ","2006","66 and older","Employed","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Not Employed","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Employed","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Not Employed","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Employed","","","",""
"3 on scale 1-7 ","2006","66 and older","Not Employed","","","",""
"3 on scale 1-7 ","2006","66 and older","Employed","","","",""
"4 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"4 on scale 1-7","2006","16-34 y.","Employed","","","",""
"4 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"4 on scale 1-7","2006","35-65 y.","Employed","","","",""
"4 on scale 1-7","2006","66 and older","Not Employed","","","",""
"4 on scale 1-7","2006","66 and older","Employed","","","",""
"5 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"5 on scale 1-7","2006","16-34 y.","Employed","","","",""
"5 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"5 on scale 1-7","2006","35-65 y.","Employed","","","",""
"5 on scale 1-7","2006","66 and older","Not Employed","","","",""
"5 on scale 1-7","2006","66 and older","Employed","","","",""
"6 on scale 1-7","2006","16-34 y.","Not Employed","","","",""
"6 on scale 1-7","2006","16-34 y.","Employed","","","",""
"6 on scale 1-7","2006","35-65 y.","Not Employed","","","",""
"6 on scale 1-7","2006","35-65 y.","Employed","","","",""
"6 on scale 1-7","2006","66 and older","Not Employed","","","",""
"6 on scale 1-7","2006","66 and older","Employed","","","",""
"7 Strongly agree","2006","16-34 y.","Not Employed","","","",""
"7 Strongly agree","2006","16-34 y.","Employed","","","",""
"7 Strongly agree","2006","35-65 y.","Not Employed","","","",""
"7 Strongly agree","2006","35-65 y.","Employed","","","",""
"7 Strongly agree","2006","66 and older","Not Employed","","","",""
"7 Strongly agree","2006","66 and older","Employed","","","",""
"1 Strongly disagree","2007","16-34 y.","Not Employed","","","",""
"1 Strongly disagree","2007","16-34 y.","Employed","","","",""
"1 Strongly disagree","2007","35-65 y.","Not Employed","","","",""
"1 Strongly disagree","2007","35-65 y.","Employed","","","",""
"1 Strongly disagree","2007","66 and older","Not Employed","","","",""
"1 Strongly disagree","2007","66 and older","Employed","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Not Employed","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Employed","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Not Employed","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Employed","","","",""
"2 on scale 1-7 ","2007","66 and older","Not Employed","","","",""
"2 on scale 1-7 ","2007","66 and older","Employed","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Not Employed","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Employed","","","",""
"3 on scale 1-7 ","2007","35-65 y.","Not Employed","","","",""
"3 on scale 1-7 ","2007","35-65 y.","Employed","","","",""
"3 on scale 1-7 ","2007","66 and older","Not Employed","","","",""
"3 on scale 1-7 ","2007","66 and older","Employed","","","",""
"4 on scale 1-7","2007","16-34 y.","Not Employed","","","",""
"4 on scale 1-7","2007","16-34 y.","Employed","","","",""
"4 on scale 1-7","2007","35-65 y.","Not Employed","","","",""
"4 on scale 1-7","2007","35-65 y.","Employed","","","",""
"4 on scale 1-7","2007","66 and older","Not Employed","","","",""
"4 on scale 1-7","2007","66 and older","Employed","","","",""
"5 on scale 1-7","2007","16-34 y.","Not Employed","","","",""
"5 on scale 1-7","2007","16-34 y.","Employed","","","",""
"5 on scale 1-7","2007","35-65 y.","Not Employed","","","",""
"5 on scale 1-7","2007","35-65 y.","Employed","","","",""
"5 on scale 1-7","2007","66 and older","Not Employed","","","",""
"5 on scale 1-7","2007","66 and older","Employed","","","",""
"6 on scale 1-7","2007","16-34 y.","Not Employed","","","",""
"6 on scale 1-7","2007","16-34 y.","Employed","","","",""
