"plh0206i01","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Full Time","Urban Area","12","","",""
"1 Strongly disagree","2005","Full Time","Rural Area","2","","",""
"1 Strongly disagree","2005","Part Time","Urban Area","5","","",""
"1 Strongly disagree","2005","Part Time","Rural Area","3","","",""
"1 Strongly disagree","2005","Not Working","Urban Area","14","","",""
"1 Strongly disagree","2005","Not Working","Rural Area","2","","",""
"2 on scale 1-7 ","2005","Full Time","Urban Area","15","","",""
"2 on scale 1-7 ","2005","Full Time","Rural Area","7","","",""
"2 on scale 1-7 ","2005","Part Time","Urban Area","2","","",""
"2 on scale 1-7 ","2005","Part Time","Rural Area","1","","",""
"2 on scale 1-7 ","2005","Not Working","Urban Area","12","","",""
"2 on scale 1-7 ","2005","Not Working","Rural Area","8","","",""
"3 on scale 1-7 ","2005","Full Time","Urban Area","35","0.00490270998373958","0.00303802882763983","0.00676739113983932"
"3 on scale 1-7 ","2005","Full Time","Rural Area","15","","",""
"3 on scale 1-7 ","2005","Part Time","Urban Area","19","","",""
"3 on scale 1-7 ","2005","Part Time","Rural Area","3","","",""
"3 on scale 1-7 ","2005","Not Working","Urban Area","41","0.0079516611852294","0.00554295721426111","0.0103603651561977"
"3 on scale 1-7 ","2005","Not Working","Rural Area","28","","",""
"4 on scale 1-7","2005","Full Time","Urban Area","136","0.0289798830933084","0.0245015526404146","0.0334582135462022"
"4 on scale 1-7","2005","Full Time","Rural Area","60","0.0234500070582334","0.0176720207187021","0.0292279933977647"
"4 on scale 1-7","2005","Part Time","Urban Area","92","0.0346682798763861","0.0283904354632712","0.040946124289501"
"4 on scale 1-7","2005","Part Time","Rural Area","41","0.0238685703999441","0.0162819169485368","0.0314552238513515"
"4 on scale 1-7","2005","Not Working","Urban Area","172","0.0345835285417309","0.0296281129693605","0.0395389441141014"
"4 on scale 1-7","2005","Not Working","Rural Area","101","0.0340884891108923","0.0271901720772887","0.0409868061444959"
"5 on scale 1-7","2005","Full Time","Urban Area","407","0.0825142883952179","0.0751688462490419","0.0898597305413938"
"5 on scale 1-7","2005","Full Time","Rural Area","201","0.0766967124275307","0.0665361360112111","0.0868572888438504"
"5 on scale 1-7","2005","Part Time","Urban Area","225","0.075064433805177","0.0660221328201126","0.0841067347902415"
"5 on scale 1-7","2005","Part Time","Rural Area","107","0.0580876608485091","0.0464616671962642","0.069713654500754"
"5 on scale 1-7","2005","Not Working","Urban Area","488","0.0937898518834509","0.0858834212734663","0.101696282493436"
"5 on scale 1-7","2005","Not Working","Rural Area","244","0.083716074151197","0.0731870029228374","0.0942451453795566"
"6 on scale 1-7","2005","Full Time","Urban Area","1419","0.24993794430598","0.238378993827767","0.261496894784193"
"6 on scale 1-7","2005","Full Time","Rural Area","701","0.245401130764052","0.228970503785383","0.261831757742721"
"6 on scale 1-7","2005","Part Time","Urban Area","801","0.227086144850574","0.212709187722864","0.241463101978284"
"6 on scale 1-7","2005","Part Time","Rural Area","385","0.217944108681462","0.197424250387502","0.238463966975422"
"6 on scale 1-7","2005","Not Working","Urban Area","1229","0.224305442223516","0.212993078622303","0.235617805824729"
"6 on scale 1-7","2005","Not Working","Rural Area","627","0.217642486220729","0.201955299320206","0.233329673121251"
"7 Strongly agree","2005","Full Time","Urban Area","3366","0.627670555682126","0.614764804803794","0.640576306560459"
"7 Strongly agree","2005","Full Time","Rural Area","1649","0.64470756208545","0.626433624157061","0.662981500013839"
