"ple0014","year","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","no migration background","14216","0.894035245364826","0.889227268360671","0.898843222368982","2"
"No","2009","direct migration background","1528","0.910451608235164","0.896748868882273","0.924154347588054","2"
"No","2009","indirect migration background","706","0.989627690986455","0.982201455562016","0.997053926410893","2"
"Yes","2009","no migration background","1527","0.105964754635174","0.101156777631018","0.110772731639329","1"
"Yes","2009","direct migration background","140","0.0895483917648363","0.0758456524119458","0.103251131117727","1"
"Yes","2009","indirect migration background","9","","","","1"
"No","2010","no migration background","","","","","2"
"No","2010","direct migration background","","","","","2"
"No","2010","indirect migration background","","","","","2"
"Yes","2010","no migration background","","","","","1"
"Yes","2010","direct migration background","","","","","1"
"Yes","2010","indirect migration background","","","","","1"
"No","2011","no migration background","16227","0.892089345084877","0.887561890234392","0.896616799935363","2"
"No","2011","direct migration background","1855","0.921634316977106","0.909914665773634","0.933353968180577","2"
"No","2011","indirect migration background","782","0.976975178404232","0.966575627064945","0.987374729743519","2"
"Yes","2011","no migration background","1814","0.107910654915123","0.103383200064637","0.112438109765608","1"
"Yes","2011","direct migration background","165","0.0783656830228943","0.0666460318194231","0.0900853342263655","1"
"Yes","2011","indirect migration background","17","","","","1"
"No","2012","no migration background","","","","","2"
"No","2012","direct migration background","","","","","2"
"No","2012","indirect migration background","","","","","2"
"Yes","2012","no migration background","","","","","1"
"Yes","2012","direct migration background","","","","","1"
"Yes","2012","indirect migration background","","","","","1"
"No","2013","no migration background","14762","0.882939368146658","0.878042686038238","0.887836050255079","2"
"No","2013","direct migration background","1535","0.898343496808926","0.883961341823287","0.912725651794566","2"
"No","2013","indirect migration background","703","0.973409855055272","0.96162566327826","0.985194046832284","2"
"Yes","2013","no migration background","1797","0.117060631853342","0.112163949744921","0.121957313961762","1"
"Yes","2013","direct migration background","161","0.101656503191074","0.0872743482054339","0.116038658176713","1"
"Yes","2013","indirect migration background","13","","","","1"
"No","2014","no migration background","","","","","2"
"No","2014","direct migration background","","","","","2"
"No","2014","indirect migration background","","","","","2"
"Yes","2014","no migration background","","","","","1"
"Yes","2014","direct migration background","","","","","1"
"Yes","2014","indirect migration background","","","","","1"
"No","2015","no migration background","17393","0.889136875660493","0.884697780408447","0.893575970912538","2"
"No","2015","direct migration background","4074","0.922610891554872","0.914643701666262","0.930578081443482","2"
"No","2015","indirect migration background","1596","0.9701280752522","0.961871477281515","0.978384673222885","2"
"Yes","2015","no migration background","1823","0.110863124339507","0.106424029087462","0.115302219591553","1"
"Yes","2015","direct migration background","247","0.0773891084451284","0.0694219185565185","0.0853562983337384","1"
"Yes","2015","indirect migration background","37","0.0298719247477998","0.0216153267771146","0.0381285227184851","1"
"No","2016","no migration background","","","","","2"
"No","2016","direct migration background","","","","","2"
"No","2016","indirect migration background","","","","","2"
"Yes","2016","no migration background","","","","","1"
"Yes","2016","direct migration background","","","","","1"
"Yes","2016","indirect migration background","","","","","1"
"No","2017","no migration background","18464","0.892240198696892","0.887978900751737","0.896501496642047","2"
"No","2017","direct migration background","4409","0.927703053929725","0.920273766915526","0.935132340943924","2"
"No","2017","indirect migration background","1674","0.968573538904055","0.960316390920821","0.976830686887289","2"
"Yes","2017","no migration background","1876","0.107759801303108","0.103498503357953","0.112021099248263","1"
"Yes","2017","direct migration background","259","0.072296946070275","0.0648676590560755","0.0797262330844745","1"
"Yes","2017","indirect migration background","41","0.031426461095945","0.0231693131127108","0.0396836090791792","1"
"No","2018","no migration background","","","","","2"
"No","2018","direct migration background","","","","","2"
"No","2018","indirect migration background","","","","","2"
"Yes","2018","no migration background","","","","","1"
"Yes","2018","direct migration background","","","","","1"
"Yes","2018","indirect migration background","","","","","1"
"No","2019","no migration background","18253","0.883784128001365","0.879376560717263","0.888191695285467","2"
"No","2019","direct migration background","3637","0.937821223636866","0.930202331664557","0.945440115609175","2"
"No","2019","indirect migration background","1659","0.978927646168862","0.972122226559915","0.985733065777809","2"
"Yes","2019","no migration background","2057","0.116215871998635","0.111808304714533","0.120623439282737","1"
"Yes","2019","direct migration background","222","0.0621787763631343","0.0545598843908255","0.0697976683354432","1"
"Yes","2019","indirect migration background","52","0.021072353831138","0.0142669342221912","0.0278777734400848","1"
