"ple0014","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","1-pers.-HH","286","1","1","1"
"Yes","2009","lower secondary degree","(Married) couple without C. ","497","1","1","1"
"Yes","2009","lower secondary degree","Single parent ","24","","",""
"Yes","2009","lower secondary degree","Couple + C. LE 16 ","13","","",""
"Yes","2009","lower secondary degree","Couple + C. GT 16 ","74","1","1","1"
"Yes","2009","lower secondary degree","Couple + C. LE and GT 16","5","","",""
"Yes","2009","secondary school degree","1-pers.-HH","87","1","1","1"
"Yes","2009","secondary school degree","(Married) couple without C. ","171","1","1","1"
"Yes","2009","secondary school degree","Single parent ","10","","",""
"Yes","2009","secondary school degree","Couple + C. LE 16 ","18","","",""
"Yes","2009","secondary school degree","Couple + C. GT 16 ","43","1","1","1"
"Yes","2009","secondary school degree","Couple + C. LE and GT 16","4","","",""
"Yes","2009","college entrance qualification","1-pers.-HH","61","1","1","1"
"Yes","2009","college entrance qualification","(Married) couple without C. ","174","1","1","1"
"Yes","2009","college entrance qualification","Single parent ","4","","",""
"Yes","2009","college entrance qualification","Couple + C. LE 16 ","18","","",""
"Yes","2009","college entrance qualification","Couple + C. GT 16 ","23","","",""
"Yes","2009","college entrance qualification","Couple + C. LE and GT 16","6","","",""
"Yes","2009","Other degree","1-pers.-HH","16","","",""
"Yes","2009","Other degree","(Married) couple without C. ","44","1","1","1"
"Yes","2009","Other degree","Single parent ","4","","",""
"Yes","2009","Other degree","Couple + C. LE 16 ","5","","",""
"Yes","2009","Other degree","Couple + C. GT 16 ","14","","",""
"Yes","2009","Other degree","Couple + C. LE and GT 16","1","","",""
"Yes","2009","no degree/no degree yet","1-pers.-HH","5","","",""
"Yes","2009","no degree/no degree yet","(Married) couple without C. ","9","","",""
"Yes","2009","no degree/no degree yet","Single parent ","1","","",""
"Yes","2009","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2009","no degree/no degree yet","Couple + C. GT 16 ","1","","",""
"Yes","2009","no degree/no degree yet","Couple + C. LE and GT 16","2","","",""
"Yes","2010","lower secondary degree","1-pers.-HH","","","",""
"Yes","2010","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","2010","lower secondary degree","Single parent ","","","",""
"Yes","2010","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","2010","lower secondary degree","Couple + C. GT 16 ","","","",""
"Yes","2010","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","2010","secondary school degree","1-pers.-HH","","","",""
"Yes","2010","secondary school degree","(Married) couple without C. ","","","",""
"Yes","2010","secondary school degree","Single parent ","","","",""
"Yes","2010","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","2010","secondary school degree","Couple + C. GT 16 ","","","",""
"Yes","2010","secondary school degree","Couple + C. LE and GT 16","","","",""
"Yes","2010","college entrance qualification","1-pers.-HH","","","",""
"Yes","2010","college entrance qualification","(Married) couple without C. ","","","",""
"Yes","2010","college entrance qualification","Single parent ","","","",""
"Yes","2010","college entrance qualification","Couple + C. LE 16 ","","","",""
"Yes","2010","college entrance qualification","Couple + C. GT 16 ","","","",""
"Yes","2010","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","2010","Other degree","1-pers.-HH","","","",""
"Yes","2010","Other degree","(Married) couple without C. ","","","",""
"Yes","2010","Other degree","Single parent ","","","",""
"Yes","2010","Other degree","Couple + C. LE 16 ","","","",""
"Yes","2010","Other degree","Couple + C. GT 16 ","","","",""
"Yes","2010","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","2010","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2010","no degree/no degree yet","(Married) couple without C. ","","","",""
"Yes","2010","no degree/no degree yet","Single parent ","","","",""
"Yes","2010","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2010","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Yes","2010","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Yes","2011","lower secondary degree","1-pers.-HH","306","1","1","1"
"Yes","2011","lower secondary degree","(Married) couple without C. ","572","1","1","1"
"Yes","2011","lower secondary degree","Single parent ","34","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. LE 16 ","18","","",""
"Yes","2011","lower secondary degree","Couple + C. GT 16 ","83","1","1","1"
