"ple0014","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","higher education","3714","0.913836488079089","0.905193375974505","0.922479600183674","2"
"No","2009","higher vocational","1206","0.892215035381513","0.875598751823814","0.908831318939211","2"
"No","2009","vocational + Abi","953","0.934196791452554","0.918852729430313","0.949540853474795","2"
"No","2009","middle vocational","8210","0.897326775022657","0.891094178934061","0.903559371111253","2"
"No","2009","general elemantary","1571","0.853716510411047","0.837445164022517","0.869987856799577","2"
"No","2009","inadequately","157","0.916867644856807","0.875243712752536","0.958491576961078","2"
"No","2009","in school","312","0.998901848097627","0.995232672135173","1.00257102406008","2"
"Yes","2009","in school","1","","","","1"
"Yes","2009","inadequately","12","","","","1"
"Yes","2009","general elemantary","241","0.146283489588953","0.130012143200423","0.162554835977483","1"
"Yes","2009","middle vocational","901","0.102673224977343","0.0964406288887465","0.108905821065939","1"
"Yes","2009","vocational + Abi","50","0.0658032085474464","0.0504591465252054","0.0811472705696873","1"
"Yes","2009","higher vocational","132","0.107784964618487","0.0911686810607886","0.124401248176186","1"
"Yes","2009","higher education","335","0.0861635119209105","0.077520399816326","0.094806624025495","1"
"No","2010","higher education","","","","","2"
"No","2010","vocational + Abi","","","","","2"
"No","2010","higher vocational","","","","","2"
"No","2010","general elemantary","","","","","2"
"No","2010","middle vocational","","","","","2"
"No","2010","in school","","","","","2"
"No","2010","inadequately","","","","","2"
"Yes","2010","in school","","","","","1"
"Yes","2010","inadequately","","","","","1"
"Yes","2010","general elemantary","","","","","1"
"Yes","2010","middle vocational","","","","","1"
"Yes","2010","vocational + Abi","","","","","1"
"Yes","2010","higher vocational","","","","","1"
"Yes","2010","higher education","","","","","1"
"No","2011","higher education","4201","0.908528783460839","0.900198097790202","0.916859469131476","2"
"No","2011","vocational + Abi","1157","0.949031310626443","0.936634015381934","0.961428605870951","2"
"No","2011","higher vocational","1290","0.890282630664744","0.874218118897375","0.906347142432113","2"
"No","2011","general elemantary","1914","0.860904589834538","0.846404912310218","0.875404267358859","2"
"No","2011","middle vocational","9476","0.895446199274988","0.88960700813595","0.901285390414027","2"
"No","2011","inadequately","208","0.852688680445421","0.807181132089152","0.89819622880169","2"
"No","2011","in school","313","1","1","1","2"
"Yes","2011","general elemantary","274","0.139095410165462","0.124595732641141","0.153595087689782","1"
"Yes","2011","middle vocational","1072","0.104553800725012","0.0987146095859731","0.11039299186405","1"
"Yes","2011","in school","","","","","1"
"Yes","2011","inadequately","25","","","","1"
"Yes","2011","higher education","399","0.0914712165391612","0.0831405308685245","0.0998019022097979","1"
