"ple0014","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","459","0.159915955068586","0.146598879539684","0.173233030597489"
"Yes","2009","(Married) couple without C. ","899","0.137389648453716","0.129134750783148","0.145644546124283"
"Yes","2009","Single parent ","44","0.0436360337898764","0.0309492172789867","0.0563228503007661"
"Yes","2009","Couple + C. LE 16 ","54","0.0153895175794048","0.010878133474757","0.0199009016840526"
"Yes","2009","Couple + C. GT 16 ","156","0.0463242832750351","0.0390016724989337","0.0536468940511364"
"Yes","2009","Couple + C. LE and GT 16","18","","",""
"No","2009","1-pers.-HH","2451","0.840084044931414","0.826766969402511","0.853401120460316"
"No","2009","(Married) couple without C. ","5782","0.862610351546284","0.854355453875717","0.870865249216852"
"No","2009","Single parent ","952","0.956363966210124","0.943677149699234","0.969050782721013"
"No","2009","Couple + C. LE 16 ","2806","0.984610482420595","0.980099098315947","0.989121866525243"
"No","2009","Couple + C. GT 16 ","3009","0.953675716724965","0.946353105948864","0.960998327501066"
"No","2009","Couple + C. LE and GT 16","1163","0.986370448054317","0.979757669828748","0.992983226279886"
"Yes","2010","1-pers.-HH","","","",""
"Yes","2010","(Married) couple without C. ","","","",""
"Yes","2010","Single parent ","","","",""
"Yes","2010","Couple + C. LE 16 ","","","",""
"Yes","2010","Couple + C. GT 16 ","","","",""
"Yes","2010","Couple + C. LE and GT 16","","","",""
"No","2010","1-pers.-HH","","","",""
"No","2010","(Married) couple without C. ","","","",""
"No","2010","Single parent ","","","",""
"No","2010","Couple + C. LE 16 ","","","",""
"No","2010","Couple + C. GT 16 ","","","",""
"No","2010","Couple + C. LE and GT 16","","","",""
"Yes","2011","1-pers.-HH","503","0.133944339899346","0.122778127044959","0.145110552753733"
"Yes","2011","(Married) couple without C. ","1115","0.133355333587122","0.125972411657022","0.140738255517222"
"Yes","2011","Single parent ","61","0.0584584832416739","0.0450383276369538","0.0718786388463941"
"Yes","2011","Couple + C. LE 16 ","64","0.0232647064673794","0.017972742005704","0.0285566709290548"
"Yes","2011","Couple + C. GT 16 ","167","0.0485761140921379","0.0411287315206065","0.0560234966636693"
"Yes","2011","Couple + C. LE and GT 16","40","0.0249284764326011","0.0162297311102468","0.0336272217549553"
"No","2011","1-pers.-HH","3071","0.866055660100654","0.854889447246267","0.877221872955041"
"No","2011","(Married) couple without C. ","7030","0.866644666412878","0.859261744482778","0.874027588342978"
"No","2011","Single parent ","1113","0.941541516758326","0.928121361153606","0.954961672363046"
"No","2011","Couple + C. LE 16 ","3053","0.976735293532621","0.971443329070945","0.982027257994296"
"No","2011","Couple + C. GT 16 ","3034","0.951423885907862","0.943976503336331","0.958871268479394"
"No","2011","Couple + C. LE and GT 16","1194","0.975071523567399","0.966372778245045","0.983770268889753"
"Yes","2012","1-pers.-HH","","","",""
"Yes","2012","(Married) couple without C. ","","","",""
"Yes","2012","Single parent ","","","",""
"Yes","2012","Couple + C. LE 16 ","","","",""
"Yes","2012","Couple + C. GT 16 ","","","",""
"Yes","2012","Couple + C. LE and GT 16","","","",""
"No","2012","1-pers.-HH","","","",""
"No","2012","(Married) couple without C. ","","","",""
"No","2012","Single parent ","","","",""
"No","2012","Couple + C. LE 16 ","","","",""
"No","2012","Couple + C. GT 16 ","","","",""
"No","2012","Couple + C. LE and GT 16","","","",""
"Yes","2013","1-pers.-HH","525","0.154707324475832","0.142680397058493","0.166734251893171"
"Yes","2013","(Married) couple without C. ","1119","0.140253600826293","0.132474709822429","0.148032491830157"
"Yes","2013","Single parent ","59","0.059344635552112","0.0454827600003","0.0732065111039239"
"Yes","2013","Couple + C. LE 16 ","56","0.0235059034927332","0.0178669768917203","0.0291448300937461"
"Yes","2013","Couple + C. GT 16 ","151","0.0563486667881521","0.047542481741598","0.0651548518347061"
"Yes","2013","Couple + C. LE and GT 16","22","","",""
"No","2013","1-pers.-HH","2948","0.845292675524168","0.833265748106829","0.857319602941507"
"No","2013","(Married) couple without C. ","6536","0.859746399173707","0.851967508169842","0.867525290177571"
"No","2013","Single parent ","1057","0.940655364447888","0.926793488896076","0.9545172399997"
"No","2013","Couple + C. LE 16 ","2717","0.976494096507267","0.970855169906254","0.98213302310828"
"No","2013","Couple + C. GT 16 ","2483","0.943651333211848","0.934845148165294","0.952457518258402"
"No","2013","Couple + C. LE and GT 16","920","0.979803051347522","0.970819771809049","0.988786330885994"
"Yes","2014","1-pers.-HH","","","",""
"Yes","2014","(Married) couple without C. ","","","",""
"Yes","2014","Single parent ","","","",""
"Yes","2014","Couple + C. LE 16 ","","","",""
"Yes","2014","Couple + C. GT 16 ","","","",""
"Yes","2014","Couple + C. LE and GT 16","","","",""
"No","2014","1-pers.-HH","","","",""
