"ple0014","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","Part Time","4063","0.959475404312477","0.953534514055518","0.965416294569435","2"
"No","2009","Not Employed","Full Time","","","","","2"
"No","2009","Not Employed","Part Time","","","","","2"
"No","2009","Employed","Not Working","","","","","2"
"No","2009","Not Employed","Not Working","5598","0.797127249650817","0.787624931694421","0.806629567607214","2"
"No","2009","Employed","Full Time","6789","0.968583779362829","0.964501424295254","0.972666134430403","2"
"Yes","2009","Not Employed","Full Time","","","","","1"
"Yes","2009","Not Employed","Part Time","","","","","1"
"Yes","2009","Not Employed","Not Working","1282","0.202872750349183","0.193370432392786","0.212375068305579","1"
"Yes","2009","Employed","Full Time","225","0.0314162206371711","0.0273338655695966","0.0354985757047457","1"
"Yes","2009","Employed","Part Time","169","0.0405245956875234","0.0345837054305649","0.0464654859444819","1"
"Yes","2009","Employed","Not Working","","","","","1"
"No","2010","Employed","Part Time","","","","","2"
"No","2010","Not Employed","Full Time","","","","","2"
"No","2010","Employed","Not Working","","","","","2"
"No","2010","Not Employed","Part Time","","","","","2"
"No","2010","Not Employed","Not Working","","","","","2"
"No","2010","Employed","Full Time","","","","","2"
"Yes","2010","Not Employed","Full Time","","","","","1"
"Yes","2010","Not Employed","Part Time","","","","","1"
"Yes","2010","Not Employed","Not Working","","","","","1"
"Yes","2010","Employed","Full Time","","","","","1"
"Yes","2010","Employed","Part Time","","","","","1"
"Yes","2010","Employed","Not Working","","","","","1"
"No","2011","Not Employed","Full Time","","","","","2"
"No","2011","Employed","Part Time","4710","0.959861916334374","0.954368335014391","0.965355497654356","2"
"No","2011","Employed","Not Working","","","","","2"
"No","2011","Not Employed","Part Time","","","","","2"
"No","2011","Not Employed","Not Working","6635","0.798869745331286","0.790165070009778","0.807574420652795","2"
"No","2011","Employed","Full Time","7519","0.964114879298035","0.959989687244638","0.968240071351433","2"
"Yes","2011","Not Employed","Full Time","","","","","1"
"Yes","2011","Not Employed","Part Time","","","","","1"
"Yes","2011","Not Employed","Not Working","1511","0.201130254668714","0.192425579347205","0.209834929990222","1"
"Yes","2011","Employed","Full Time","291","0.0358851207019648","0.0317599286485675","0.0400103127553621","1"
"Yes","2011","Employed","Part Time","194","0.0401380836656263","0.0346445023456435","0.045631664985609","1"
"Yes","2011","Employed","Not Working","","","","","1"
"No","2012","Not Employed","Full Time","","","","","2"
"No","2012","Not Employed","Part Time","","","","","2"
"No","2012","Employed","Part Time","","","","","2"
"No","2012","Employed","Not Working","","","","","2"
"No","2012","Not Employed","Not Working","","","","","2"
"No","2012","Employed","Full Time","","","","","2"
"Yes","2012","Not Employed","Full Time","","","","","1"
"Yes","2012","Not Employed","Part Time","","","","","1"
"Yes","2012","Not Employed","Not Working","","","","","1"
"Yes","2012","Employed","Full Time","","","","","1"
"Yes","2012","Employed","Part Time","","","","","1"
"Yes","2012","Employed","Not Working","","","","","1"
"No","2013","Not Employed","Full Time","","","","","2"
"No","2013","Not Employed","Part Time","","","","","2"
"No","2013","Not Employed","Not Working","5903","0.786051752382625","0.776693008248148","0.795410496517102","2"
"No","2013","Employed","Full Time","6735","0.960939798169521","0.956400303757819","0.965479292581223","2"
"No","2013","Employed","Part Time","4362","0.941378874530623","0.934588825540749","0.948168923520497","2"
"No","2013","Employed","Not Working","","","","","2"
"Yes","2013","Not Employed","Full Time","","","","","1"
"Yes","2013","Not Employed","Part Time","","","","","1"
"Yes","2013","Not Employed","Not Working","1473","0.213948247617375","0.204589503482898","0.223306991751852","1"
"Yes","2013","Employed","Full Time","262","0.039060201830479","0.0345207074187774","0.0435996962421807","1"
"Yes","2013","Employed","Part Time","236","0.0586211254693769","0.051831076479503","0.0654111744592508","1"
"Yes","2013","Employed","Not Working","","","","","1"
"No","2014","Not Employed","Full Time","","","","","2"
"No","2014","Not Employed","Part Time","","","","","2"
"No","2014","Not Employed","Not Working","","","","","2"
"No","2014","Employed","Full Time","","","","","2"
"No","2014","Employed","Part Time","","","","","2"
"No","2014","Employed","Not Working","","","","","2"
"Yes","2014","Not Employed","Full Time","","","","","1"
"Yes","2014","Not Employed","Part Time","","","","","1"
"Yes","2014","Not Employed","Not Working","","","","","1"
