"ple0014","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","in school","","","",""
"Yes","2009","Not Employed","inadequately","10","","",""
"Yes","2009","Not Employed","general elemantary","226","0.227205566130669","0.201956417830358","0.252454714430979"
"Yes","2009","Not Employed","middle vocational","695","0.208440692604486","0.19508635463837","0.221795030570601"
"Yes","2009","Not Employed","vocational + Abi","35","0.189211075343043","0.140065960006508","0.238356190679578"
"Yes","2009","Not Employed","higher vocational","90","0.245874245519889","0.204983813595726","0.286764677444051"
"Yes","2009","Not Employed","higher education","225","0.226448592233245","0.201793667357367","0.251103517109124"
"Yes","2009","Employed","in school","1","","",""
"Yes","2009","Employed","inadequately","2","","",""
"Yes","2009","Employed","general elemantary","15","","",""
"Yes","2009","Employed","middle vocational","206","0.0370362841447243","0.0320709719731194","0.0420015963163292"
"Yes","2009","Employed","vocational + Abi","15","","",""
"Yes","2009","Employed","higher vocational","42","0.0408893686931165","0.0280367913198232","0.0537419460664098"
"Yes","2009","Employed","higher education","110","0.036450068943416","0.0296781298065881","0.043222008080244"
"No","2009","Not Employed","in school","252","1","1","1"
"No","2009","Not Employed","inadequately","87","0.863816370203417","0.795561225499399","0.932071514907436"
"No","2009","Not Employed","general elemantary","832","0.772794433869331","0.747545285569021","0.798043582169642"
"No","2009","Not Employed","middle vocational","2859","0.791559307395514","0.778204969429399","0.80491364536163"
"No","2009","Not Employed","vocational + Abi","209","0.810788924656957","0.761643809320422","0.859934039993492"
"No","2009","Not Employed","higher vocational","336","0.754125754480111","0.713235322555949","0.795016186404274"
"No","2009","Not Employed","higher education","882","0.773551407766755","0.748896482890876","0.798206332642633"
"No","2009","Employed","in school","60","0.994274890028213","0.975341502418274","1.01320827763815"
"No","2009","Employed","inadequately","70","0.981338978705821","0.95008113094129","1.01259682647035"
"No","2009","Employed","general elemantary","739","0.968777397998006","0.956363477388712","0.981191318607301"
"No","2009","Employed","middle vocational","5351","0.962963715855276","0.957998403683671","0.967929028026881"
"No","2009","Employed","vocational + Abi","744","0.97722534121067","0.966612039683271","0.98783864273807"
"No","2009","Employed","higher vocational","870","0.959110631306884","0.94625805393359","0.971963208680177"
"No","2009","Employed","higher education","2832","0.963549931056584","0.956777991919756","0.970321870193412"
"Yes","2010","Not Employed","in school","","","",""
"Yes","2010","Not Employed","inadequately","","","",""
"Yes","2010","Not Employed","general elemantary","","","",""
"Yes","2010","Not Employed","middle vocational","","","",""
"Yes","2010","Not Employed","vocational + Abi","","","",""
"Yes","2010","Not Employed","higher vocational","","","",""
"Yes","2010","Not Employed","higher education","","","",""
"Yes","2010","Employed","in school","","","",""
"Yes","2010","Employed","inadequately","","","",""
"Yes","2010","Employed","general elemantary","","","",""
"Yes","2010","Employed","middle vocational","","","",""
"Yes","2010","Employed","vocational + Abi","","","",""
"Yes","2010","Employed","higher vocational","","","",""
"Yes","2010","Employed","higher education","","","",""
"No","2010","Not Employed","in school","","","",""
"No","2010","Not Employed","inadequately","","","",""
"No","2010","Not Employed","general elemantary","","","",""
"No","2010","Not Employed","middle vocational","","","",""
"No","2010","Not Employed","vocational + Abi","","","",""
"No","2010","Not Employed","higher vocational","","","",""
"No","2010","Not Employed","higher education","","","",""
"No","2010","Employed","in school","","","",""
"No","2010","Employed","inadequately","","","",""
"No","2010","Employed","general elemantary","","","",""
"No","2010","Employed","middle vocational","","","",""
"No","2010","Employed","vocational + Abi","","","",""
"No","2010","Employed","higher vocational","","","",""
"No","2010","Employed","higher education","","","",""
"Yes","2011","Not Employed","in school","","","",""
"Yes","2011","Not Employed","inadequately","21","","",""
"Yes","2011","Not Employed","general elemantary","244","0.214545798766764","0.19203074008658","0.237060857446948"
"Yes","2011","Not Employed","middle vocational","816","0.203059560421534","0.190983783598725","0.215135337244343"
"Yes","2011","Not Employed","vocational + Abi","36","0.164822143793912","0.120891246447318","0.208753041140506"
"Yes","2011","Not Employed","higher vocational","113","0.243043231793105","0.20447066051993","0.281615803066281"
"Yes","2011","Not Employed","higher education","276","0.223405175497032","0.20108673241612","0.245723618577944"
"Yes","2011","Employed","in school","","","",""
"Yes","2011","Employed","inadequately","4","","",""
"Yes","2011","Employed","general elemantary","30","0.0329804816828442","0.0213837657336908","0.0445771976319976"
"Yes","2011","Employed","middle vocational","256","0.0392143503309935","0.0344155661769568","0.0440131344850302"
"Yes","2011","Employed","vocational + Abi","16","","",""
"Yes","2011","Employed","higher vocational","51","0.0451998335091126","0.0321867143758536","0.0582129526423715"
"Yes","2011","Employed","higher education","123","0.0407056147067465","0.0339243730262564","0.0474868563872366"
"No","2011","Not Employed","in school","249","1","1","1"
"No","2011","Not Employed","inadequately","118","0.803056592258743","0.736943953608001","0.869169230909485"
"No","2011","Not Employed","general elemantary","1033","0.785454201233236","0.762939142553052","0.80796925991342"
"No","2011","Not Employed","middle vocational","3447","0.796940439578466","0.784864662755656","0.809016216401275"
"No","2011","Not Employed","vocational + Abi","238","0.835177856206088","0.791246958859494","0.879108753552682"
"No","2011","Not Employed","higher vocational","362","0.756956768206895","0.718384196933719","0.79552933948007"
"No","2011","Not Employed","higher education","1062","0.776594824502968","0.754276381422056","0.79891326758388"
"No","2011","Employed","in school","64","1","1","1"
"No","2011","Employed","inadequately","90","0.93198750141415","0.881091510613356","0.982883492214945"
"No","2011","Employed","general elemantary","881","0.967019518317156","0.955422802368002","0.978616234266309"
"No","2011","Employed","middle vocational","6029","0.960785649669006","0.95598686551497","0.965584433823043"
"No","2011","Employed","vocational + Abi","919","0.982056442156323","0.973547711240224","0.990565173072422"
"No","2011","Employed","higher vocational","928","0.954800166490887","0.941787047357628","0.967813285624146"
"No","2011","Employed","higher education","3139","0.959294385293254","0.952513143612763","0.966075626973744"
"Yes","2012","Not Employed","in school","","","",""
"Yes","2012","Not Employed","inadequately","","","",""
"Yes","2012","Not Employed","general elemantary","","","",""
"Yes","2012","Not Employed","middle vocational","","","",""
"Yes","2012","Not Employed","vocational + Abi","","","",""
"Yes","2012","Not Employed","higher vocational","","","",""
"Yes","2012","Not Employed","higher education","","","",""
"Yes","2012","Employed","in school","","","",""
"Yes","2012","Employed","inadequately","","","",""
"Yes","2012","Employed","general elemantary","","","",""
"Yes","2012","Employed","middle vocational","","","",""
"Yes","2012","Employed","vocational + Abi","","","",""
"Yes","2012","Employed","higher vocational","","","",""
"Yes","2012","Employed","higher education","","","",""
"No","2012","Not Employed","in school","","","",""
"No","2012","Not Employed","inadequately","","","",""
"No","2012","Not Employed","general elemantary","","","",""
"No","2012","Not Employed","middle vocational","","","",""
"No","2012","Not Employed","vocational + Abi","","","",""
"No","2012","Not Employed","higher vocational","","","",""
"No","2012","Not Employed","higher education","","","",""
"No","2012","Employed","in school","","","",""
"No","2012","Employed","inadequately","","","",""
"No","2012","Employed","general elemantary","","","",""
"No","2012","Employed","middle vocational","","","",""
"No","2012","Employed","vocational + Abi","","","",""
"No","2012","Employed","higher vocational","","","",""
"No","2012","Employed","higher education","","","",""
"Yes","2013","Not Employed","in school","1","","",""
"Yes","2013","Not Employed","inadequately","19","","",""
"Yes","2013","Not Employed","general elemantary","229","0.229288170415637","0.20413544400398","0.254440896827294"
"Yes","2013","Not Employed","middle vocational","788","0.213071276781224","0.200155267657721","0.225987285904727"
"Yes","2013","Not Employed","vocational + Abi","42","0.194662695536399","0.144040096967334","0.245285294105465"
"Yes","2013","Not Employed","higher vocational","113","0.265227117242155","0.224348649702193","0.306105584782117"
"Yes","2013","Not Employed","higher education","274","0.224508473424086","0.20216757733069","0.246849369517483"
"Yes","2013","Employed","in school","","","",""
"Yes","2013","Employed","inadequately","3","","",""
"Yes","2013","Employed","general elemantary","32","0.0546026591535595","0.0387892472938799","0.070416071013239"
