"ple0014","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","no migration background","892","1","1","1"
"Yes","2009","lower secondary degree","direct migration background","29","","",""
"Yes","2009","lower secondary degree","indirect migration background","2","","",""
"Yes","2009","secondary school degree","no migration background","326","1","1","1"
"Yes","2009","secondary school degree","direct migration background","12","","",""
"Yes","2009","secondary school degree","indirect migration background","1","","",""
"Yes","2009","college entrance qualification","no migration background","278","1","1","1"
"Yes","2009","college entrance qualification","direct migration background","11","","",""
"Yes","2009","college entrance qualification","indirect migration background","3","","",""
"Yes","2009","Other degree","no migration background","14","","",""
"Yes","2009","Other degree","direct migration background","76","1","1","1"
"Yes","2009","Other degree","indirect migration background","2","","",""
"Yes","2009","no degree/no degree yet","no migration background","8","","",""
"Yes","2009","no degree/no degree yet","direct migration background","11","","",""
"Yes","2009","no degree/no degree yet","indirect migration background","","","",""
"Yes","2010","lower secondary degree","no migration background","","","",""
"Yes","2010","lower secondary degree","direct migration background","","","",""
"Yes","2010","lower secondary degree","indirect migration background","","","",""
"Yes","2010","secondary school degree","no migration background","","","",""
"Yes","2010","secondary school degree","direct migration background","","","",""
"Yes","2010","secondary school degree","indirect migration background","","","",""
"Yes","2010","college entrance qualification","no migration background","","","",""
"Yes","2010","college entrance qualification","direct migration background","","","",""
"Yes","2010","college entrance qualification","indirect migration background","","","",""
"Yes","2010","Other degree","no migration background","","","",""
"Yes","2010","Other degree","direct migration background","","","",""
"Yes","2010","Other degree","indirect migration background","","","",""
"Yes","2010","no degree/no degree yet","no migration background","","","",""
"Yes","2010","no degree/no degree yet","direct migration background","","","",""
"Yes","2010","no degree/no degree yet","indirect migration background","","","",""
"Yes","2011","lower secondary degree","no migration background","1012","1","1","1"
"Yes","2011","lower secondary degree","direct migration background","32","1","1","1"
"Yes","2011","lower secondary degree","indirect migration background","5","","",""
"Yes","2011","secondary school degree","no migration background","419","1","1","1"
"Yes","2011","secondary school degree","direct migration background","12","","",""
"Yes","2011","secondary school degree","indirect migration background","4","","",""
"Yes","2011","college entrance qualification","no migration background","329","1","1","1"
"Yes","2011","college entrance qualification","direct migration background","8","","",""
"Yes","2011","college entrance qualification","indirect migration background","4","","",""
"Yes","2011","Other degree","no migration background","26","","",""
"Yes","2011","Other degree","direct migration background","92","1","1","1"
"Yes","2011","Other degree","indirect migration background","2","","",""
"Yes","2011","no degree/no degree yet","no migration background","16","","",""
"Yes","2011","no degree/no degree yet","direct migration background","17","","",""
"Yes","2011","no degree/no degree yet","indirect migration background","2","","",""
"Yes","2012","lower secondary degree","no migration background","","","",""
"Yes","2012","lower secondary degree","direct migration background","","","",""
"Yes","2012","lower secondary degree","indirect migration background","","","",""
"Yes","2012","secondary school degree","no migration background","","","",""
"Yes","2012","secondary school degree","direct migration background","","","",""
"Yes","2012","secondary school degree","indirect migration background","","","",""
"Yes","2012","college entrance qualification","no migration background","","","",""
"Yes","2012","college entrance qualification","direct migration background","","","",""
"Yes","2012","college entrance qualification","indirect migration background","","","",""
"Yes","2012","Other degree","no migration background","","","",""
"Yes","2012","Other degree","direct migration background","","","",""
"Yes","2012","Other degree","indirect migration background","","","",""
"Yes","2012","no degree/no degree yet","no migration background","","","",""
"Yes","2012","no degree/no degree yet","direct migration background","","","",""
"Yes","2012","no degree/no degree yet","indirect migration background","","","",""
"Yes","2013","lower secondary degree","no migration background","929","1","1","1"
"Yes","2013","lower secondary degree","direct migration background","30","1","1","1"
"Yes","2013","lower secondary degree","indirect migration background","4","","",""
"Yes","2013","secondary school degree","no migration background","453","1","1","1"
"Yes","2013","secondary school degree","direct migration background","9","","",""
"Yes","2013","secondary school degree","indirect migration background","5","","",""
"Yes","2013","college entrance qualification","no migration background","352","1","1","1"
"Yes","2013","college entrance qualification","direct migration background","7","","",""
"Yes","2013","college entrance qualification","indirect migration background","3","","",""
"Yes","2013","Other degree","no migration background","32","1","1","1"
"Yes","2013","Other degree","direct migration background","99","1","1","1"
"Yes","2013","Other degree","indirect migration background","1","","",""
"Yes","2013","no degree/no degree yet","no migration background","19","","",""
"Yes","2013","no degree/no degree yet","direct migration background","12","","",""
"Yes","2013","no degree/no degree yet","indirect migration background","","","",""
"Yes","2014","lower secondary degree","no migration background","","","",""
"Yes","2014","lower secondary degree","direct migration background","","","",""
"Yes","2014","lower secondary degree","indirect migration background","","","",""
"Yes","2014","secondary school degree","no migration background","","","",""
"Yes","2014","secondary school degree","direct migration background","","","",""
"Yes","2014","secondary school degree","indirect migration background","","","",""
"Yes","2014","college entrance qualification","no migration background","","","",""
"Yes","2014","college entrance qualification","direct migration background","","","",""
"Yes","2014","college entrance qualification","indirect migration background","","","",""
"Yes","2014","Other degree","no migration background","","","",""
"Yes","2014","Other degree","direct migration background","","","",""
"Yes","2014","Other degree","indirect migration background","","","",""
"Yes","2014","no degree/no degree yet","no migration background","","","",""
"Yes","2014","no degree/no degree yet","direct migration background","","","",""
"Yes","2014","no degree/no degree yet","indirect migration background","","","",""
"Yes","2015","lower secondary degree","no migration background","889","1","1","1"
"Yes","2015","lower secondary degree","direct migration background","34","1","1","1"
"Yes","2015","lower secondary degree","indirect migration background","11","","",""
"Yes","2015","secondary school degree","no migration background","480","1","1","1"
"Yes","2015","secondary school degree","direct migration background","13","","",""
"Yes","2015","secondary school degree","indirect migration background","15","","",""
"Yes","2015","college entrance qualification","no migration background","376","1","1","1"
"Yes","2015","college entrance qualification","direct migration background","7","","",""
"Yes","2015","college entrance qualification","indirect migration background","8","","",""
"Yes","2015","Other degree","no migration background","30","1","1","1"
"Yes","2015","Other degree","direct migration background","154","1","1","1"
"Yes","2015","Other degree","indirect migration background","","","",""
"Yes","2015","no degree/no degree yet","no migration background","25","","",""
"Yes","2015","no degree/no degree yet","direct migration background","30","1","1","1"
"Yes","2015","no degree/no degree yet","indirect migration background","1","","",""
"Yes","2016","lower secondary degree","no migration background","","","",""
"Yes","2016","lower secondary degree","direct migration background","","","",""
"Yes","2016","lower secondary degree","indirect migration background","","","",""
"Yes","2016","secondary school degree","no migration background","","","",""
"Yes","2016","secondary school degree","direct migration background","","","",""
"Yes","2016","secondary school degree","indirect migration background","","","",""
"Yes","2016","college entrance qualification","no migration background","","","",""
"Yes","2016","college entrance qualification","direct migration background","","","",""
"Yes","2016","college entrance qualification","indirect migration background","","","",""
"Yes","2016","Other degree","no migration background","","","",""
"Yes","2016","Other degree","direct migration background","","","",""
"Yes","2016","Other degree","indirect migration background","","","",""
"Yes","2016","no degree/no degree yet","no migration background","","","",""
"Yes","2016","no degree/no degree yet","direct migration background","","","",""
"Yes","2016","no degree/no degree yet","indirect migration background","","","",""
"Yes","2017","lower secondary degree","no migration background","834","1","1","1"
"Yes","2017","lower secondary degree","direct migration background","24","","",""
"Yes","2017","lower secondary degree","indirect migration background","10","","",""
"Yes","2017","secondary school degree","no migration background","547","1","1","1"
"Yes","2017","secondary school degree","direct migration background","10","","",""
"Yes","2017","secondary school degree","indirect migration background","16","","",""
"Yes","2017","college entrance qualification","no migration background","421","1","1","1"
"Yes","2017","college entrance qualification","direct migration background","9","","",""
"Yes","2017","college entrance qualification","indirect migration background","9","","",""
"Yes","2017","Other degree","no migration background","28","","",""
"Yes","2017","Other degree","direct migration background","179","1","1","1"
"Yes","2017","Other degree","indirect migration background","1","","",""
"Yes","2017","no degree/no degree yet","no migration background","29","","",""
"Yes","2017","no degree/no degree yet","direct migration background","22","","",""
"Yes","2017","no degree/no degree yet","indirect migration background","3","","",""
"Yes","2018","lower secondary degree","no migration background","","","",""
"Yes","2018","lower secondary degree","direct migration background","","","",""
"Yes","2018","lower secondary degree","indirect migration background","","","",""
"Yes","2018","secondary school degree","no migration background","","","",""
"Yes","2018","secondary school degree","direct migration background","","","",""
"Yes","2018","secondary school degree","indirect migration background","","","",""
