"ple0014","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","1-pers.-HH","no migration background","2215","0.831733375153315","0.817481822666967","0.845984927639663","2"
"No","2009","(Married) couple without C. ","direct migration background","459","0.854161523637847","0.824028074497054","0.884294972778639","2"
"No","2009","Couple + C. LE 16 ","direct migration background","330","0.977579489019677","0.961796526162861","0.993362451876492","2"
"No","2009","1-pers.-HH","indirect migration background","76","0.976277087788783","0.942503955664587","1.01005021991298","2"
"No","2009","(Married) couple without C. ","no migration background","5212","0.861368213963467","0.852653453556212","0.870082974370722","2"
"No","2009","Couple + C. GT 16 ","no migration background","2553","0.953333146492389","0.945357959689595","0.961308333295183","2"
"No","2009","Couple + C. GT 16 ","direct migration background","295","0.933126729578285","0.905540686469616","0.960712772686954","2"
"No","2009","Couple + C. LE and GT 16","no migration background","894","0.984207824680477","0.976107698578984","0.992307950781969","2"
"No","2009","Couple + C. LE and GT 16","direct migration background","167","0.985154062921806","0.966920958345898","1.00338716749771","2"
"No","2009","Couple + C. LE and GT 16","indirect migration background","102","1","1","1","2"
"No","2009","Couple + C. LE 16 ","indirect migration background","168","1","1","1","2"
"No","2009","1-pers.-HH","direct migration background","160","0.872457800267745","0.824389209145898","0.920526391389591","2"
"No","2009","Couple + C. GT 16 ","indirect migration background","161","0.996843477324693","0.988232107689972","1.00545484695941","2"
"No","2009","(Married) couple without C. ","indirect migration background","111","0.96960469162514","0.938091216565899","1.00111816668438","2"
"No","2009","Single parent ","no migration background","798","0.957107611735907","0.943348319662561","0.970866903809252","2"
"No","2009","Single parent ","direct migration background","81","0.93106550736288","0.878432098513696","0.983698916212063","2"
"No","2009","Single parent ","indirect migration background","73","0.988432782926411","0.964070373106381","1.01279519274644","2"
"No","2009","Couple + C. LE 16 ","no migration background","2308","0.984660467926576","0.979695754687298","0.989625181165854","2"
"Yes","2009","1-pers.-HH","no migration background","432","0.168266624846685","0.154015072360337","0.182518177333033","1"
"Yes","2009","1-pers.-HH","direct migration background","25","","","","1"
"Yes","2009","1-pers.-HH","indirect migration background","2","","","","1"
"Yes","2009","(Married) couple without C. ","no migration background","828","0.138631786036533","0.129917025629278","0.147346546443788","1"
"Yes","2009","(Married) couple without C. ","direct migration background","68","0.145838476362153","0.115705027221361","0.175971925502946","1"
"Yes","2009","(Married) couple without C. ","indirect migration background","3","","","","1"
"Yes","2009","Single parent ","no migration background","35","0.0428923882640933","0.029133096190748","0.0566516803374385","1"
"Yes","2009","Single parent ","direct migration background","8","","","","1"
"Yes","2009","Single parent ","indirect migration background","1","","","","1"
"Yes","2009","Couple + C. LE 16 ","no migration background","46","0.0153395320734241","0.0103748188341465","0.0203042453127018","1"
"Yes","2009","Couple + C. LE 16 ","direct migration background","8","","","","1"
"Yes","2009","Couple + C. LE 16 ","indirect migration background","","","","","1"
