"ple0014","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","lower secondary degree","795","1","1","1"
"Yes","2009","Not Employed","secondary school degree","222","1","1","1"
"Yes","2009","Not Employed","college entrance qualification","185","1","1","1"
"Yes","2009","Not Employed","Other degree","62","1","1","1"
"Yes","2009","Not Employed","no degree/no degree yet","15","","",""
"Yes","2009","Employed","lower secondary degree","128","1","1","1"
"Yes","2009","Employed","secondary school degree","117","1","1","1"
"Yes","2009","Employed","college entrance qualification","107","1","1","1"
"Yes","2009","Employed","Other degree","30","1","1","1"
"Yes","2009","Employed","no degree/no degree yet","4","","",""
"Yes","2010","Not Employed","lower secondary degree","","","",""
"Yes","2010","Not Employed","secondary school degree","","","",""
"Yes","2010","Not Employed","college entrance qualification","","","",""
"Yes","2010","Not Employed","Other degree","","","",""
"Yes","2010","Not Employed","no degree/no degree yet","","","",""
"Yes","2010","Employed","lower secondary degree","","","",""
"Yes","2010","Employed","secondary school degree","","","",""
"Yes","2010","Employed","college entrance qualification","","","",""
"Yes","2010","Employed","Other degree","","","",""
"Yes","2010","Employed","no degree/no degree yet","","","",""
"Yes","2011","Not Employed","lower secondary degree","870","1","1","1"
"Yes","2011","Not Employed","secondary school degree","293","1","1","1"
"Yes","2011","Not Employed","college entrance qualification","221","1","1","1"
"Yes","2011","Not Employed","Other degree","91","1","1","1"
"Yes","2011","Not Employed","no degree/no degree yet","28","","",""
"Yes","2011","Employed","lower secondary degree","179","1","1","1"
"Yes","2011","Employed","secondary school degree","142","1","1","1"
"Yes","2011","Employed","college entrance qualification","120","1","1","1"
"Yes","2011","Employed","Other degree","29","","",""
"Yes","2011","Employed","no degree/no degree yet","7","","",""
"Yes","2012","Not Employed","lower secondary degree","","","",""
"Yes","2012","Not Employed","secondary school degree","","","",""
"Yes","2012","Not Employed","college entrance qualification","","","",""
"Yes","2012","Not Employed","Other degree","","","",""
"Yes","2012","Not Employed","no degree/no degree yet","","","",""
"Yes","2012","Employed","lower secondary degree","","","",""
"Yes","2012","Employed","secondary school degree","","","",""
"Yes","2012","Employed","college entrance qualification","","","",""
"Yes","2012","Employed","Other degree","","","",""
"Yes","2012","Employed","no degree/no degree yet","","","",""
"Yes","2013","Not Employed","lower secondary degree","797","1","1","1"
"Yes","2013","Not Employed","secondary school degree","312","1","1","1"
"Yes","2013","Not Employed","college entrance qualification","226","1","1","1"
"Yes","2013","Not Employed","Other degree","99","1","1","1"
"Yes","2013","Not Employed","no degree/no degree yet","26","","",""
"Yes","2013","Employed","lower secondary degree","166","1","1","1"
"Yes","2013","Employed","secondary school degree","155","1","1","1"
"Yes","2013","Employed","college entrance qualification","136","1","1","1"
"Yes","2013","Employed","Other degree","33","1","1","1"
"Yes","2013","Employed","no degree/no degree yet","5","","",""
"Yes","2014","Not Employed","lower secondary degree","","","",""
"Yes","2014","Not Employed","secondary school degree","","","",""
"Yes","2014","Not Employed","college entrance qualification","","","",""
"Yes","2014","Not Employed","Other degree","","","",""
"Yes","2014","Not Employed","no degree/no degree yet","","","",""
"Yes","2014","Employed","lower secondary degree","","","",""
"Yes","2014","Employed","secondary school degree","","","",""
"Yes","2014","Employed","college entrance qualification","","","",""
"Yes","2014","Employed","Other degree","","","",""
"Yes","2014","Employed","no degree/no degree yet","","","",""
"Yes","2015","Not Employed","lower secondary degree","771","1","1","1"
"Yes","2015","Not Employed","secondary school degree","320","1","1","1"
"Yes","2015","Not Employed","college entrance qualification","237","1","1","1"
"Yes","2015","Not Employed","Other degree","120","1","1","1"
"Yes","2015","Not Employed","no degree/no degree yet","43","1","1","1"
"Yes","2015","Employed","lower secondary degree","163","1","1","1"
"Yes","2015","Employed","secondary school degree","188","1","1","1"
"Yes","2015","Employed","college entrance qualification","154","1","1","1"
"Yes","2015","Employed","Other degree","64","1","1","1"
"Yes","2015","Employed","no degree/no degree yet","13","","",""
"Yes","2016","Not Employed","lower secondary degree","","","",""
"Yes","2016","Not Employed","secondary school degree","","","",""
"Yes","2016","Not Employed","college entrance qualification","","","",""
"Yes","2016","Not Employed","Other degree","","","",""
"Yes","2016","Not Employed","no degree/no degree yet","","","",""
"Yes","2016","Employed","lower secondary degree","","","",""
"Yes","2016","Employed","secondary school degree","","","",""
"Yes","2016","Employed","college entrance qualification","","","",""
"Yes","2016","Employed","Other degree","","","",""
"Yes","2016","Employed","no degree/no degree yet","","","",""
"Yes","2017","Not Employed","lower secondary degree","687","1","1","1"
"Yes","2017","Not Employed","secondary school degree","333","1","1","1"
"Yes","2017","Not Employed","college entrance qualification","253","1","1","1"
"Yes","2017","Not Employed","Other degree","126","1","1","1"
"Yes","2017","Not Employed","no degree/no degree yet","33","1","1","1"
"Yes","2017","Employed","lower secondary degree","181","1","1","1"
"Yes","2017","Employed","secondary school degree","240","1","1","1"
"Yes","2017","Employed","college entrance qualification","186","1","1","1"
"Yes","2017","Employed","Other degree","82","1","1","1"
"Yes","2017","Employed","no degree/no degree yet","21","","",""
"Yes","2018","Not Employed","lower secondary degree","","","",""
"Yes","2018","Not Employed","secondary school degree","","","",""
"Yes","2018","Not Employed","college entrance qualification","","","",""
"Yes","2018","Not Employed","Other degree","","","",""
"Yes","2018","Not Employed","no degree/no degree yet","","","",""
"Yes","2018","Employed","lower secondary degree","","","",""
"Yes","2018","Employed","secondary school degree","","","",""
"Yes","2018","Employed","college entrance qualification","","","",""
"Yes","2018","Employed","Other degree","","","",""
"Yes","2018","Employed","no degree/no degree yet","","","",""
"Yes","2019","Not Employed","lower secondary degree","674","1","1","1"
"Yes","2019","Not Employed","secondary school degree","361","1","1","1"
