"ple0014","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","lower secondary degree","11","","",""
"Yes","2009","16-34 y.","secondary school degree","13","","",""
"Yes","2009","16-34 y.","college entrance qualification","15","","",""
"Yes","2009","16-34 y.","Other degree","3","","",""
"Yes","2009","16-34 y.","no degree/no degree yet","1","","",""
"Yes","2009","35-65 y.","lower secondary degree","192","1","1","1"
"Yes","2009","35-65 y.","secondary school degree","166","1","1","1"
"Yes","2009","35-65 y.","college entrance qualification","105","1","1","1"
"Yes","2009","35-65 y.","Other degree","49","1","1","1"
"Yes","2009","35-65 y.","no degree/no degree yet","7","","",""
"Yes","2009","66 and older","lower secondary degree","720","1","1","1"
"Yes","2009","66 and older","secondary school degree","160","1","1","1"
"Yes","2009","66 and older","college entrance qualification","172","1","1","1"
"Yes","2009","66 and older","Other degree","40","1","1","1"
"Yes","2009","66 and older","no degree/no degree yet","11","","",""
"Yes","2010","16-34 y.","lower secondary degree","","","",""
"Yes","2010","16-34 y.","secondary school degree","","","",""
"Yes","2010","16-34 y.","college entrance qualification","","","",""
"Yes","2010","16-34 y.","Other degree","","","",""
"Yes","2010","16-34 y.","no degree/no degree yet","","","",""
"Yes","2010","35-65 y.","lower secondary degree","","","",""
"Yes","2010","35-65 y.","secondary school degree","","","",""
"Yes","2010","35-65 y.","college entrance qualification","","","",""
"Yes","2010","35-65 y.","Other degree","","","",""
"Yes","2010","35-65 y.","no degree/no degree yet","","","",""
"Yes","2010","66 and older","lower secondary degree","","","",""
"Yes","2010","66 and older","secondary school degree","","","",""
"Yes","2010","66 and older","college entrance qualification","","","",""
"Yes","2010","66 and older","Other degree","","","",""
"Yes","2010","66 and older","no degree/no degree yet","","","",""
"Yes","2011","16-34 y.","lower secondary degree","14","","",""
"Yes","2011","16-34 y.","secondary school degree","13","","",""
"Yes","2011","16-34 y.","college entrance qualification","17","","",""
"Yes","2011","16-34 y.","Other degree","3","","",""
"Yes","2011","16-34 y.","no degree/no degree yet","1","","",""
"Yes","2011","35-65 y.","lower secondary degree","267","1","1","1"
"Yes","2011","35-65 y.","secondary school degree","194","1","1","1"
"Yes","2011","35-65 y.","college entrance qualification","115","1","1","1"
"Yes","2011","35-65 y.","Other degree","55","1","1","1"
"Yes","2011","35-65 y.","no degree/no degree yet","12","","",""
"Yes","2011","66 and older","lower secondary degree","768","1","1","1"
"Yes","2011","66 and older","secondary school degree","228","1","1","1"
"Yes","2011","66 and older","college entrance qualification","209","1","1","1"
"Yes","2011","66 and older","Other degree","62","1","1","1"
"Yes","2011","66 and older","no degree/no degree yet","22","","",""
"Yes","2012","16-34 y.","lower secondary degree","","","",""
"Yes","2012","16-34 y.","secondary school degree","","","",""
"Yes","2012","16-34 y.","college entrance qualification","","","",""
"Yes","2012","16-34 y.","Other degree","","","",""
"Yes","2012","16-34 y.","no degree/no degree yet","","","",""
"Yes","2012","35-65 y.","lower secondary degree","","","",""
"Yes","2012","35-65 y.","secondary school degree","","","",""
"Yes","2012","35-65 y.","college entrance qualification","","","",""
"Yes","2012","35-65 y.","Other degree","","","",""
"Yes","2012","35-65 y.","no degree/no degree yet","","","",""
"Yes","2012","66 and older","lower secondary degree","","","",""
"Yes","2012","66 and older","secondary school degree","","","",""
"Yes","2012","66 and older","college entrance qualification","","","",""
"Yes","2012","66 and older","Other degree","","","",""
"Yes","2012","66 and older","no degree/no degree yet","","","",""
"Yes","2013","16-34 y.","lower secondary degree","9","","",""
"Yes","2013","16-34 y.","secondary school degree","19","","",""
"Yes","2013","16-34 y.","college entrance qualification","15","","",""
"Yes","2013","16-34 y.","Other degree","3","","",""
"Yes","2013","16-34 y.","no degree/no degree yet","1","","",""
"Yes","2013","35-65 y.","lower secondary degree","236","1","1","1"
"Yes","2013","35-65 y.","secondary school degree","209","1","1","1"
"Yes","2013","35-65 y.","college entrance qualification","116","1","1","1"
"Yes","2013","35-65 y.","Other degree","54","1","1","1"
"Yes","2013","35-65 y.","no degree/no degree yet","10","","",""
"Yes","2013","66 and older","lower secondary degree","718","1","1","1"
"Yes","2013","66 and older","secondary school degree","239","1","1","1"
"Yes","2013","66 and older","college entrance qualification","231","1","1","1"
"Yes","2013","66 and older","Other degree","75","1","1","1"
"Yes","2013","66 and older","no degree/no degree yet","20","","",""
"Yes","2014","16-34 y.","lower secondary degree","","","",""
"Yes","2014","16-34 y.","secondary school degree","","","",""
"Yes","2014","16-34 y.","college entrance qualification","","","",""
"Yes","2014","16-34 y.","Other degree","","","",""
"Yes","2014","16-34 y.","no degree/no degree yet","","","",""
"Yes","2014","35-65 y.","lower secondary degree","","","",""
"Yes","2014","35-65 y.","secondary school degree","","","",""
"Yes","2014","35-65 y.","college entrance qualification","","","",""
"Yes","2014","35-65 y.","Other degree","","","",""
"Yes","2014","35-65 y.","no degree/no degree yet","","","",""
"Yes","2014","66 and older","lower secondary degree","","","",""
"Yes","2014","66 and older","secondary school degree","","","",""
"Yes","2014","66 and older","college entrance qualification","","","",""
"Yes","2014","66 and older","Other degree","","","",""
"Yes","2014","66 and older","no degree/no degree yet","","","",""
"Yes","2015","16-34 y.","lower secondary degree","12","","",""
"Yes","2015","16-34 y.","secondary school degree","19","","",""
"Yes","2015","16-34 y.","college entrance qualification","19","","",""
"Yes","2015","16-34 y.","Other degree","5","","",""
"Yes","2015","16-34 y.","no degree/no degree yet","7","","",""
"Yes","2015","35-65 y.","lower secondary degree","227","1","1","1"
"Yes","2015","35-65 y.","secondary school degree","244","1","1","1"
"Yes","2015","35-65 y.","college entrance qualification","140","1","1","1"
"Yes","2015","35-65 y.","Other degree","89","1","1","1"
"Yes","2015","35-65 y.","no degree/no degree yet","31","1","1","1"
"Yes","2015","66 and older","lower secondary degree","695","1","1","1"
"Yes","2015","66 and older","secondary school degree","245","1","1","1"
"Yes","2015","66 and older","college entrance qualification","232","1","1","1"
"Yes","2015","66 and older","Other degree","90","1","1","1"
"Yes","2015","66 and older","no degree/no degree yet","18","","",""
