"ple0014","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","West Germany","1053","1","1","1"
"Yes","2009","no migration background","East Germany","474","1","1","1"
"Yes","2009","direct migration background","West Germany","130","1","1","1"
"Yes","2009","direct migration background","East Germany","10","","",""
"Yes","2009","indirect migration background","West Germany","9","","",""
"Yes","2009","indirect migration background","East Germany","","","",""
"Yes","2010","no migration background","West Germany","","","",""
"Yes","2010","no migration background","East Germany","","","",""
"Yes","2010","direct migration background","West Germany","","","",""
"Yes","2010","direct migration background","East Germany","","","",""
"Yes","2010","indirect migration background","West Germany","","","",""
"Yes","2010","indirect migration background","East Germany","","","",""
"Yes","2011","no migration background","West Germany","1296","1","1","1"
"Yes","2011","no migration background","East Germany","518","1","1","1"
"Yes","2011","direct migration background","West Germany","151","1","1","1"
"Yes","2011","direct migration background","East Germany","14","","",""
"Yes","2011","indirect migration background","West Germany","16","","",""
"Yes","2011","indirect migration background","East Germany","1","","",""
"Yes","2012","no migration background","West Germany","","","",""
"Yes","2012","no migration background","East Germany","","","",""
"Yes","2012","direct migration background","West Germany","","","",""
"Yes","2012","direct migration background","East Germany","","","",""
"Yes","2012","indirect migration background","West Germany","","","",""
"Yes","2012","indirect migration background","East Germany","","","",""
"Yes","2013","no migration background","West Germany","1309","1","1","1"
"Yes","2013","no migration background","East Germany","488","1","1","1"
"Yes","2013","direct migration background","West Germany","143","1","1","1"
"Yes","2013","direct migration background","East Germany","18","","",""
"Yes","2013","indirect migration background","West Germany","13","","",""
"Yes","2013","indirect migration background","East Germany","","","",""
"Yes","2014","no migration background","West Germany","","","",""
"Yes","2014","no migration background","East Germany","","","",""
"Yes","2014","direct migration background","West Germany","","","",""
"Yes","2014","direct migration background","East Germany","","","",""
"Yes","2014","indirect migration background","West Germany","","","",""
"Yes","2014","indirect migration background","East Germany","","","",""
"Yes","2015","no migration background","West Germany","1290","1","1","1"
"Yes","2015","no migration background","East Germany","533","1","1","1"
"Yes","2015","direct migration background","West Germany","225","1","1","1"
"Yes","2015","direct migration background","East Germany","22","","",""
"Yes","2015","indirect migration background","West Germany","35","1","1","1"
"Yes","2015","indirect migration background","East Germany","2","","",""
"Yes","2016","no migration background","West Germany","","","",""
"Yes","2016","no migration background","East Germany","","","",""
"Yes","2016","direct migration background","West Germany","","","",""
"Yes","2016","direct migration background","East Germany","","","",""
"Yes","2016","indirect migration background","West Germany","","","",""
"Yes","2016","indirect migration background","East Germany","","","",""
"Yes","2017","no migration background","West Germany","1312","1","1","1"
"Yes","2017","no migration background","East Germany","564","1","1","1"
"Yes","2017","direct migration background","West Germany","236","1","1","1"
"Yes","2017","direct migration background","East Germany","23","","",""
"Yes","2017","indirect migration background","West Germany","39","1","1","1"
"Yes","2017","indirect migration background","East Germany","2","","",""
"Yes","2018","no migration background","West Germany","","","",""
"Yes","2018","no migration background","East Germany","","","",""
"Yes","2018","direct migration background","West Germany","","","",""
"Yes","2018","direct migration background","East Germany","","","",""
"Yes","2018","indirect migration background","West Germany","","","",""
"Yes","2018","indirect migration background","East Germany","","","",""
"Yes","2019","no migration background","West Germany","1465","1","1","1"
"Yes","2019","no migration background","East Germany","582","1","1","1"
"Yes","2019","direct migration background","West Germany","209","1","1","1"
"Yes","2019","direct migration background","East Germany","13","","",""
"Yes","2019","indirect migration background","West Germany","48","1","1","1"
"Yes","2019","indirect migration background","East Germany","4","","",""
