"ple0014","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","Couple + C. LE 16 ","2390","0.986247093034837","0.98161746891251","0.990876717157165","2"
"No","2009","Not Employed","Single parent ","267","0.915504450441123","0.883657971057406","0.947350929824839","2"
"No","2009","Not Employed","Couple + C. LE 16 ","416","0.975283503160782","0.960591590350471","0.989975415971092","2"
"No","2009","Not Employed","(Married) couple without C. ","2648","0.769252129451911","0.755073855166891","0.78343040373693","2"
"No","2009","Employed","Single parent ","685","0.974218015999437","0.962502628064111","0.985933403934763","2"
"No","2009","Employed","Couple + C. GT 16 ","2238","0.965302663699639","0.957863631604491","0.972741695794788","2"
"No","2009","Employed","Couple + C. LE and GT 16","863","0.986129875967395","0.978398427169477","0.993861324765313","2"
"No","2009","Not Employed","1-pers.-HH","1079","0.722357850492225","0.699464554616955","0.745251146367495","2"
"No","2009","Not Employed","Couple + C. GT 16 ","771","0.922624059522113","0.904555488539634","0.940692630504592","2"
"No","2009","Not Employed","Couple + C. LE and GT 16","300","0.98714237300257","0.974436195207562","0.999848550797577","2"
"No","2009","Employed","1-pers.-HH","1372","0.952190481880144","0.941170371459384","0.963210592300904","2"
"No","2009","Employed","(Married) couple without C. ","3134","0.952120517969533","0.944823644119851","0.959417391819214","2"
"Yes","2009","Not Employed","1-pers.-HH","391","0.277642149507775","0.254748853632505","0.300535445383045","1"
"Yes","2009","Not Employed","(Married) couple without C. ","744","0.230747870548089","0.21656959626307","0.244926144833109","1"
"Yes","2009","Not Employed","Single parent ","26","","","","1"
"Yes","2009","Not Employed","Couple + C. LE 16 ","13","","","","1"
"Yes","2009","Not Employed","Couple + C. GT 16 ","69","0.0773759404778873","0.0593073694954085","0.095444511460366","1"
"Yes","2009","Not Employed","Couple + C. LE and GT 16","2","","","","1"
"Yes","2009","Employed","1-pers.-HH","68","0.0478095181198562","0.0367894076990963","0.0588296285406161","1"
"Yes","2009","Employed","(Married) couple without C. ","155","0.0478794820304673","0.0405826081807858","0.0551763558801488","1"
"Yes","2009","Employed","Single parent ","18","","","","1"
"Yes","2009","Employed","Couple + C. LE 16 ","41","0.013752906965163","0.00912328284283561","0.0183825310874903","1"
"Yes","2009","Employed","Couple + C. GT 16 ","87","0.0346973363003605","0.0272583042052117","0.0421363683955094","1"
"Yes","2009","Employed","Couple + C. LE and GT 16","16","","","","1"
"No","2010","Employed","Couple + C. LE 16 ","","","","","2"
"No","2010","Employed","Couple + C. LE and GT 16","","","","","2"
"No","2010","Not Employed","(Married) couple without C. ","","","","","2"
"No","2010","Not Employed","Couple + C. LE 16 ","","","","","2"
"No","2010","Employed","Single parent ","","","","","2"
"No","2010","Employed","Couple + C. GT 16 ","","","","","2"
"No","2010","Not Employed","1-pers.-HH","","","","","2"
"No","2010","Not Employed","Single parent ","","","","","2"
"No","2010","Not Employed","Couple + C. GT 16 ","","","","","2"
"No","2010","Not Employed","Couple + C. LE and GT 16","","","","","2"
