"ple0014","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","direct migration background","943","0.957643672065787","0.945053477119196","0.970233867012379","2"
"No","2009","Not Employed","no migration background","4821","0.783164466142651","0.772738219565976","0.793590712719325","2"
"No","2009","Not Employed","direct migration background","585","0.839146388293846","0.811633443388911","0.866659333198782","2"
"No","2009","Employed","indirect migration background","514","0.987782075799212","0.97834888729172","0.997215264306703","2"
"No","2009","Not Employed","indirect migration background","192","0.99523003964683","0.985534625862921","1.00492545343074","2"
"No","2009","Employed","no migration background","9395","0.964538005159389","0.960865475753758","0.968210534565021","2"
"Yes","2009","Not Employed","no migration background","1180","0.216835533857349","0.206409287280675","0.227261780434024","1"
"Yes","2009","Not Employed","direct migration background","100","0.160853611706154","0.133340666801218","0.188366556611089","1"
"Yes","2009","Not Employed","indirect migration background","2","","","","1"
"Yes","2009","Employed","no migration background","347","0.0354619948406106","0.0317894654349789","0.0391345242462423","1"
"Yes","2009","Employed","direct migration background","40","0.042356327934213","0.0297661329876215","0.0549465228808046","1"
"Yes","2009","Employed","indirect migration background","7","","","","1"
"No","2010","Employed","direct migration background","","","","","2"
"No","2010","Not Employed","no migration background","","","","","2"
"No","2010","Employed","indirect migration background","","","","","2"
"No","2010","Not Employed","direct migration background","","","","","2"
"No","2010","Not Employed","indirect migration background","","","","","2"
"No","2010","Employed","no migration background","","","","","2"
"Yes","2010","Not Employed","no migration background","","","","","1"
"Yes","2010","Not Employed","direct migration background","","","","","1"
"Yes","2010","Not Employed","indirect migration background","","","","","1"
"Yes","2010","Employed","no migration background","","","","","1"
"Yes","2010","Employed","direct migration background","","","","","1"
"Yes","2010","Employed","indirect migration background","","","","","1"
"No","2011","Not Employed","no migration background","5691","0.788113446626915","0.778584649625967","0.797642243627863","2"
"No","2011","Employed","direct migration background","1128","0.970471396389753","0.960750687147369","0.980192105632137","2"
"No","2011","Employed","indirect migration background","565","0.988314348503774","0.979515115957926","0.997113581049622","2"
"No","2011","Not Employed","direct migration background","727","0.845477467387976","0.821249779996253","0.869705154779698","2"
"No","2011","Not Employed","indirect migration background","217","0.941784530327089","0.911257198283697","0.97231186237048","2"
"No","2011","Employed","no migration background","10536","0.959960596741508","0.956292873617035","0.96362831986598","2"
"Yes","2011","Not Employed","no migration background","1374","0.211886553373085","0.202357756372137","0.221415350374033","1"
"Yes","2011","Not Employed","direct migration background","128","0.154522532612024","0.130294845220302","0.178750220003747","1"
