"ple0014","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","Male","449","1","1","1"
"Yes","2009","lower secondary degree","Female","474","1","1","1"
"Yes","2009","secondary school degree","Male","170","1","1","1"
"Yes","2009","secondary school degree","Female","169","1","1","1"
"Yes","2009","college entrance qualification","Male","210","1","1","1"
"Yes","2009","college entrance qualification","Female","82","1","1","1"
"Yes","2009","Other degree","Male","49","1","1","1"
"Yes","2009","Other degree","Female","43","1","1","1"
"Yes","2009","no degree/no degree yet","Male","9","","",""
"Yes","2009","no degree/no degree yet","Female","10","","",""
"Yes","2010","lower secondary degree","Male","","","",""
"Yes","2010","lower secondary degree","Female","","","",""
"Yes","2010","secondary school degree","Male","","","",""
"Yes","2010","secondary school degree","Female","","","",""
"Yes","2010","college entrance qualification","Male","","","",""
"Yes","2010","college entrance qualification","Female","","","",""
"Yes","2010","Other degree","Male","","","",""
"Yes","2010","Other degree","Female","","","",""
"Yes","2010","no degree/no degree yet","Male","","","",""
"Yes","2010","no degree/no degree yet","Female","","","",""
"Yes","2011","lower secondary degree","Male","554","1","1","1"
"Yes","2011","lower secondary degree","Female","495","1","1","1"
"Yes","2011","secondary school degree","Male","236","1","1","1"
"Yes","2011","secondary school degree","Female","199","1","1","1"
"Yes","2011","college entrance qualification","Male","235","1","1","1"
"Yes","2011","college entrance qualification","Female","106","1","1","1"
"Yes","2011","Other degree","Male","64","1","1","1"
"Yes","2011","Other degree","Female","56","1","1","1"
"Yes","2011","no degree/no degree yet","Male","15","","",""
"Yes","2011","no degree/no degree yet","Female","20","","",""
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
"Yes","2013","lower secondary degree","Male","498","1","1","1"
"Yes","2013","lower secondary degree","Female","465","1","1","1"
"Yes","2013","secondary school degree","Male","228","1","1","1"
"Yes","2013","secondary school degree","Female","239","1","1","1"
"Yes","2013","college entrance qualification","Male","253","1","1","1"
"Yes","2013","college entrance qualification","Female","109","1","1","1"
