"ple0014","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","indirect migration background","Male","341","0.985366200728807","0.972695053970885","0.99803734748673","2"
"No","2009","no migration background","Male","6722","0.890182692012954","0.883123538672961","0.897241845352948","2"
"No","2009","no migration background","Female","7494","0.897712183179327","0.891156221768787","0.904268144589866","2"
"No","2009","indirect migration background","Female","365","0.993994108442495","0.98612133276131","1.00186688412368","2"
"No","2009","direct migration background","Male","690","0.905335863578268","0.884563619210311","0.926108107946225","2"
"No","2009","direct migration background","Female","838","0.914934733168467","0.89675887215357","0.933110594183364","2"
"Yes","2009","no migration background","Male","814","0.109817307987046","0.102758154647052","0.116876461327039","1"
"Yes","2009","no migration background","Female","713","0.102287816820673","0.0957318554101338","0.108843778231213","1"
"Yes","2009","direct migration background","Male","73","0.0946641364217318","0.0738918920537749","0.115436380789689","1"
"Yes","2009","direct migration background","Female","67","0.0850652668315329","0.0668894058166363","0.103241127846429","1"
"Yes","2009","indirect migration background","Male","4","","","","1"
"Yes","2009","indirect migration background","Female","5","","","","1"
"No","2010","indirect migration background","Male","","","","","2"
"No","2010","no migration background","Male","","","","","2"
"No","2010","indirect migration background","Female","","","","","2"
"No","2010","no migration background","Female","","","","","2"
"No","2010","direct migration background","Male","","","","","2"
"No","2010","direct migration background","Female","","","","","2"
"Yes","2010","no migration background","Male","","","","","1"
"Yes","2010","no migration background","Female","","","","","1"
"Yes","2010","direct migration background","Male","","","","","1"
"Yes","2010","direct migration background","Female","","","","","1"
"Yes","2010","indirect migration background","Male","","","","","1"
"Yes","2010","indirect migration background","Female","","","","","1"
"No","2011","no migration background","Male","7551","0.881792542617736","0.874954758101518","0.888630327133955","2"
"No","2011","indirect migration background","Male","375","0.973393044075949","0.957233566453746","0.989552521698152","2"
"No","2011","indirect migration background","Female","407","0.98120479935993","0.968186229883629","0.994223368836232","2"
"No","2011","no migration background","Female","8676","0.902005977269241","0.896020246877582","0.907991707660901","2"
"No","2011","direct migration background","Male","801","0.912795822806436","0.894301654826035","0.931289990786837","2"
"No","2011","direct migration background","Female","1054","0.929129382841088","0.914141161418518","0.944117604263657","2"
"Yes","2011","no migration background","Male","1013","0.118207457382264","0.111369672866045","0.125045241898482","1"
"Yes","2011","no migration background","Female","801","0.0979940227307585","0.0920082923390988","0.103979753122418","1"
"Yes","2011","direct migration background","Male","93","0.0872041771935639","0.0687100092131629","0.105698345173965","1"
"Yes","2011","direct migration background","Female","72","0.0708706171589122","0.0558823957363427","0.0858588385814818","1"
"Yes","2011","indirect migration background","Male","6","","","","1"
"Yes","2011","indirect migration background","Female","11","","","","1"
"No","2012","no migration background","Male","","","","","2"
"No","2012","no migration background","Female","","","","","2"
"No","2012","indirect migration background","Male","","","","","2"
"No","2012","indirect migration background","Female","","","","","2"
"No","2012","direct migration background","Male","","","","","2"
"No","2012","direct migration background","Female","","","","","2"
"Yes","2012","no migration background","Male","","","","","1"
"Yes","2012","no migration background","Female","","","","","1"
"Yes","2012","direct migration background","Male","","","","","1"
"Yes","2012","direct migration background","Female","","","","","1"
"Yes","2012","indirect migration background","Male","","","","","1"
"Yes","2012","indirect migration background","Female","","","","","1"
"No","2013","no migration background","Male","6822","0.873238037695456","0.865851707987829","0.880624367403084","2"
"No","2013","no migration background","Female","7940","0.892167911556904","0.885674552197007","0.898661270916802","2"
"No","2013","direct migration background","Male","656","0.902965346456782","0.881565857944912","0.924364834968652","2"
"No","2013","direct migration background","Female","879","0.894280122322636","0.874839887258952","0.91372035738632","2"
"No","2013","indirect migration background","Male","340","0.979017656551464","0.963893860874208","0.994141452228719","2"
"No","2013","indirect migration background","Female","363","0.967255148792864","0.949145785885628","0.985364511700101","2"
"Yes","2013","no migration background","Male","972","0.126761962304544","0.119375632596916","0.134148292012172","1"
"Yes","2013","no migration background","Female","825","0.107832088443096","0.101338729083198","0.114325447802993","1"
"Yes","2013","direct migration background","Male","79","0.0970346535432182","0.0756351650313481","0.118434142055088","1"
"Yes","2013","direct migration background","Female","82","0.105719877677364","0.0862796426136802","0.125160112741048","1"
"Yes","2013","indirect migration background","Male","5","","","","1"
"Yes","2013","indirect migration background","Female","8","","","","1"
"No","2014","no migration background","Male","","","","","2"
"No","2014","no migration background","Female","","","","","2"
"No","2014","direct migration background","Male","","","","","2"
"No","2014","direct migration background","Female","","","","","2"
"No","2014","indirect migration background","Male","","","","","2"
"No","2014","indirect migration background","Female","","","","","2"
"Yes","2014","no migration background","Male","","","","","1"
"Yes","2014","no migration background","Female","","","","","1"
"Yes","2014","direct migration background","Male","","","","","1"
"Yes","2014","direct migration background","Female","","","","","1"
"Yes","2014","indirect migration background","Male","","","","","1"
"Yes","2014","indirect migration background","Female","","","","","1"
"No","2015","no migration background","Male","7818","0.876307150462094","0.86943546109999","0.883178839824198","2"
"No","2015","no migration background","Female","9575","0.901282638880176","0.89554939447491","0.907015883285441","2"
"No","2015","direct migration background","Male","1801","0.909639395967037","0.896901407060828","0.922377384873245","2"
"No","2015","direct migration background","Female","2273","0.934530328331014","0.924582390430092","0.944478266231936","2"
"No","2015","indirect migration background","Male","738","0.97720705525125","0.966547376448981","0.987866734053519","2"
"No","2015","indirect migration background","Female","858","0.962301600456813","0.949717452510071","0.974885748403555","2"
"Yes","2015","no migration background","Male","1000","0.123692849537906","0.116821160175802","0.130564538900009","1"
"Yes","2015","no migration background","Female","823","0.0987173611198242","0.0929841167145586","0.10445060552509","1"
"Yes","2015","direct migration background","Male","145","0.0903606040329635","0.077622615126755","0.103098592939172","1"
"Yes","2015","direct migration background","Female","102","0.0654696716689857","0.0555217337680636","0.0754176095699078","1"
"Yes","2015","indirect migration background","Male","15","","","","1"
"Yes","2015","indirect migration background","Female","22","","","","1"
"No","2016","no migration background","Male","","","","","2"
"No","2016","no migration background","Female","","","","","2"
"No","2016","direct migration background","Male","","","","","2"
"No","2016","direct migration background","Female","","","","","2"
"No","2016","indirect migration background","Male","","","","","2"
"No","2016","indirect migration background","Female","","","","","2"
"Yes","2016","direct migration background","Male","","","","","1"
"Yes","2016","direct migration background","Female","","","","","1"
"Yes","2016","no migration background","Male","","","","","1"
"Yes","2016","no migration background","Female","","","","","1"
"Yes","2016","indirect migration background","Male","","","","","1"
"Yes","2016","indirect migration background","Female","","","","","1"
"No","2017","no migration background","Male","8421","0.877661195947669","0.871060534372754","0.884261857522583","2"
"No","2017","no migration background","Female","10043","0.906351404329803","0.900875292132439","0.911827516527168","2"
"No","2017","direct migration background","Male","1926","0.904192587120018","0.891552982655957","0.916832191584079","2"
"No","2017","direct migration background","Female","2483","0.948263444916314","0.939724954887484","0.956801934945144","2"
"No","2017","indirect migration background","Male","769","0.965479572959808","0.952741045897805","0.978218100021812","2"
"No","2017","indirect migration background","Female","905","0.971946794852101","0.961311364020343","0.98258222568386","2"
"Yes","2017","direct migration background","Male","157","0.0958074128799822","0.0831678084159208","0.108447017344044","1"
"Yes","2017","direct migration background","Female","102","0.0517365550836859","0.0431980650548563","0.0602750451125156","1"
"Yes","2017","indirect migration background","Male","20","","","","1"
"Yes","2017","no migration background","Male","1046","0.122338804052331","0.115738142477417","0.128939465627246","1"
"Yes","2017","no migration background","Female","830","0.0936485956701965","0.088172483472832","0.0991247078675611","1"
"Yes","2017","indirect migration background","Female","21","","","","1"
"No","2018","no migration background","Male","","","","","2"
"No","2018","no migration background","Female","","","","","2"
"No","2018","direct migration background","Male","","","","","2"
"No","2018","direct migration background","Female","","","","","2"
"No","2018","indirect migration background","Male","","","","","2"
"No","2018","indirect migration background","Female","","","","","2"
"Yes","2018","direct migration background","Male","","","","","1"
"Yes","2018","direct migration background","Female","","","","","1"
"Yes","2018","indirect migration background","Male","","","","","1"
"Yes","2018","no migration background","Male","","","","","1"
"Yes","2018","indirect migration background","Female","","","","","1"
"Yes","2018","no migration background","Female","","","","","1"
"No","2019","no migration background","Male","8612","0.86835665724148","0.861664055846508","0.875049258636453","2"
"No","2019","no migration background","Female","9634","0.898561430952361","0.892786188109375","0.904336673795347","2"
"No","2019","direct migration background","Male","1621","0.923705173728489","0.911253142429894","0.936157205027083","2"
"No","2019","direct migration background","Female","2016","0.950616510629218","0.941378213937865","0.959854807320571","2"
"No","2019","indirect migration background","Male","776","0.97879814483628","0.968834371969423","0.988761917703136","2"
"No","2019","indirect migration background","Female","882","0.979037719970045","0.969714553928758","0.988360886011331","2"
"Yes","2019","direct migration background","Male","125","0.0762948262715114","0.0638427949729167","0.088746857570106","1"
"Yes","2019","direct migration background","Female","97","0.0493834893707818","0.0401451926794285","0.0586217860621351","1"
"Yes","2019","no migration background","Male","1192","0.13164334275852","0.124950741363547","0.138335944153492","1"
"Yes","2019","indirect migration background","Male","27","","","","1"
"Yes","2019","indirect migration background","Female","25","","","","1"
"Yes","2019","no migration background","Female","864","0.101438569047639","0.0956633262046528","0.107213811890625","1"
