"ple0014","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","1-pers.-HH","vocational + Abi","144","0.906670038622522","0.860875106754378","0.952464970490666","2"
"No","2009","Single parent ","in school","45","1","1","1","2"
"No","2009","(Married) couple without C. ","vocational + Abi","267","0.890697776241424","0.85503180059228","0.926363751890568","2"
"No","2009","1-pers.-HH","inadequately","23","","","","2"
"No","2009","(Married) couple without C. ","middle vocational","3029","0.864822484220247","0.85352411169495","0.876120856745545","2"
"No","2009","1-pers.-HH","in school","1","","","","2"
"No","2009","Couple + C. LE 16 ","middle vocational","1332","0.984239193979632","0.97761492825001","0.990863459709254","2"
"No","2009","Couple + C. LE 16 ","in school","","","","","2"
"No","2009","Couple + C. GT 16 ","general elemantary","328","0.924871910057711","0.897016417766956","0.952727402348467","2"
"No","2009","Couple + C. GT 16 ","middle vocational","1499","0.956746012940398","0.946737465981735","0.966754559899061","2"
"No","2009","Single parent ","higher education","149","0.957436767232168","0.92555370078836","0.989319833675975","2"
"No","2009","Couple + C. GT 16 ","higher education","552","0.945273351291218","0.926810790087762","0.963735912494675","2"
"No","2009","Couple + C. LE and GT 16","in school","118","0.996458385473819","0.985784935016703","1.00713183593094","2"
"No","2009","Couple + C. LE and GT 16","inadequately","9","","","","2"
"No","2009","Couple + C. LE and GT 16","general elemantary","136","0.996295720234368","0.986123076627897","1.00646836384084","2"
"No","2009","Couple + C. LE and GT 16","middle vocational","484","0.987962486741971","0.97831651552921","0.997608457954731","2"
"No","2009","Couple + C. LE and GT 16","vocational + Abi","68","0.993978311453134","0.975723760910128","1.01223286199614","2"
"No","2009","Couple + C. LE and GT 16","higher vocational","76","0.990160423279527","0.968255497821009","1.01206534873805","2"
"No","2009","Couple + C. LE and GT 16","higher education","204","0.96292065176707","0.937303181290761","0.988538122243379","2"
"No","2009","1-pers.-HH","general elemantary","291","0.743671775051601","0.70066970498344","0.786673845119763","2"
"No","2009","1-pers.-HH","middle vocational","1256","0.831955472532753","0.813058753698331","0.850852191367175","2"
"No","2009","(Married) couple without C. ","higher vocational","442","0.854385397896093","0.823981295111344","0.884789500680842","2"
"No","2009","(Married) couple without C. ","higher education","1529","0.861435749043206","0.845220937878544","0.877650560207868","2"
"No","2009","Couple + C. LE 16 ","inadequately","26","","","","2"
"No","2009","Couple + C. LE 16 ","general elemantary","176","0.976626022767854","0.954615048910098","0.998636996625611","2"
"No","2009","Couple + C. GT 16 ","vocational + Abi","137","0.965394223177858","0.935224926634386","0.99556351972133","2"
"No","2009","Couple + C. GT 16 ","higher vocational","193","0.925469152328661","0.889863089648225","0.961075215009097","2"
"No","2009","1-pers.-HH","higher vocational","158","0.816636319353165","0.761321669088358","0.871950969617972","2"
"No","2009","1-pers.-HH","higher education","550","0.914469368570362","0.892312019462246","0.936626717678477","2"
"No","2009","(Married) couple without C. ","in school","3","","","","2"
"No","2009","(Married) couple without C. ","inadequately","49","0.879991445642694","0.793315909162307","0.966666982123082","2"
"No","2009","(Married) couple without C. ","general elemantary","432","0.833671240875163","0.801634708959535","0.865707772790792","2"
"No","2009","Single parent ","inadequately","17","","","","2"
"No","2009","Single parent ","general elemantary","158","0.911142796825332","0.868619844416156","0.953665749234508","2"
"No","2009","Single parent ","middle vocational","461","0.964339364586853","0.947766978631388","0.980911750542318","2"
"No","2009","Single parent ","vocational + Abi","43","0.985562056490406","0.950315523078274","1.02080858990254","2"
"No","2009","Single parent ","higher vocational","33","0.952198340872735","0.881517897626458","1.02287878411901","2"
"No","2009","Couple + C. LE 16 ","vocational + Abi","281","0.981220578232244","0.965460800330477","0.996980356134011","2"
"No","2009","Couple + C. LE 16 ","higher vocational","287","0.988583714341079","0.976377788247669","1.00078964043449","2"
"No","2009","Couple + C. LE 16 ","higher education","691","0.986483266615991","0.977965485500489","0.995001047731494","2"
"No","2009","Couple + C. GT 16 ","in school","139","1","1","1","2"
"No","2009","Couple + C. GT 16 ","inadequately","30","0.989858683383231","0.954589044454902","1.02512832231156","2"
"Yes","2009","1-pers.-HH","in school","","","","","1"
"Yes","2009","1-pers.-HH","inadequately","2","","","","1"
"Yes","2009","1-pers.-HH","general elemantary","105","0.256328224948399","0.213326154880237","0.29933029501656","1"
"Yes","2009","1-pers.-HH","middle vocational","248","0.168044527467247","0.149147808632825","0.186941246301669","1"
"Yes","2009","1-pers.-HH","vocational + Abi","11","","","","1"
"Yes","2009","1-pers.-HH","higher vocational","30","0.183363680646835","0.128049030382028","0.238678330911642","1"
"Yes","2009","1-pers.-HH","higher education","62","0.0855306314296385","0.0633732823215227","0.107687980537754","1"
"Yes","2009","(Married) couple without C. ","in school","","","","","1"
"Yes","2009","(Married) couple without C. ","inadequately","5","","","","1"
"Yes","2009","(Married) couple without C. ","general elemantary","87","0.166328759124837","0.134292227209208","0.198365291040465","1"
"Yes","2009","(Married) couple without C. ","middle vocational","489","0.135177515779753","0.123879143254455","0.14647588830505","1"
"Yes","2009","(Married) couple without C. ","vocational + Abi","27","","","","1"
"Yes","2009","(Married) couple without C. ","higher vocational","75","0.145614602103907","0.115210499319159","0.176018704888656","1"
"Yes","2009","(Married) couple without C. ","higher education","215","0.138564250956794","0.122349439792132","0.154779062121456","1"
"Yes","2009","Single parent ","in school","","","","","1"
"Yes","2009","Single parent ","inadequately","1","","","","1"
"Yes","2009","Single parent ","general elemantary","14","","","","1"
"Yes","2009","Single parent ","middle vocational","20","","","","1"
"Yes","2009","Single parent ","vocational + Abi","1","","","","1"
"Yes","2009","Single parent ","higher vocational","2","","","","1"
"Yes","2009","Single parent ","higher education","5","","","","1"
"Yes","2009","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2009","Couple + C. LE 16 ","inadequately","","","","","1"
"Yes","2009","Couple + C. LE 16 ","general elemantary","5","","","","1"
"Yes","2009","Couple + C. LE 16 ","middle vocational","26","","","","1"
"Yes","2009","Couple + C. LE 16 ","vocational + Abi","4","","","","1"
"Yes","2009","Couple + C. LE 16 ","higher vocational","4","","","","1"
"Yes","2009","Couple + C. LE 16 ","higher education","15","","","","1"
"Yes","2009","Couple + C. GT 16 ","in school","","","","","1"
"Yes","2009","Couple + C. GT 16 ","inadequately","1","","","","1"
"Yes","2009","Couple + C. GT 16 ","general elemantary","16","","","","1"
"Yes","2009","Couple + C. GT 16 ","middle vocational","88","0.0432539870596023","0.0332454401009393","0.0532625340182653","1"
"Yes","2009","Couple + C. GT 16 ","vocational + Abi","4","","","","1"
"Yes","2009","Couple + C. GT 16 ","higher vocational","16","","","","1"
"Yes","2009","Couple + C. GT 16 ","higher education","31","0.0547266487087818","0.0362640875053251","0.0731892099122385","1"
"Yes","2009","Couple + C. LE and GT 16","in school","1","","","","1"
"Yes","2009","Couple + C. LE and GT 16","inadequately","1","","","","1"
"Yes","2009","Couple + C. LE and GT 16","general elemantary","1","","","","1"
"Yes","2009","Couple + C. LE and GT 16","middle vocational","7","","","","1"
"Yes","2009","Couple + C. LE and GT 16","vocational + Abi","1","","","","1"
"Yes","2009","Couple + C. LE and GT 16","higher vocational","2","","","","1"
"Yes","2009","Couple + C. LE and GT 16","higher education","5","","","","1"
"No","2010","1-pers.-HH","in school","","","","","2"
"No","2010","1-pers.-HH","inadequately","","","","","2"
"No","2010","1-pers.-HH","general elemantary","","","","","2"
"No","2010","1-pers.-HH","middle vocational","","","","","2"
"No","2010","1-pers.-HH","vocational + Abi","","","","","2"
