"ple0014","year","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","923","1","1","1"
"Yes","2009","secondary school degree","339","1","1","1"
"Yes","2009","college entrance qualification","292","1","1","1"
"Yes","2009","Other degree","92","1","1","1"
"Yes","2009","no degree/no degree yet","19","","",""
"Yes","2010","lower secondary degree","","","",""
"Yes","2010","secondary school degree","","","",""
"Yes","2010","college entrance qualification","","","",""
"Yes","2010","Other degree","","","",""
"Yes","2010","no degree/no degree yet","","","",""
"Yes","2011","lower secondary degree","1049","1","1","1"
"Yes","2011","secondary school degree","435","1","1","1"
"Yes","2011","college entrance qualification","341","1","1","1"
"Yes","2011","Other degree","120","1","1","1"
"Yes","2011","no degree/no degree yet","35","1","1","1"
"Yes","2012","lower secondary degree","","","",""
"Yes","2012","secondary school degree","","","",""
"Yes","2012","college entrance qualification","","","",""
"Yes","2012","Other degree","","","",""
"Yes","2012","no degree/no degree yet","","","",""
"Yes","2013","lower secondary degree","963","1","1","1"
"Yes","2013","secondary school degree","467","1","1","1"
"Yes","2013","college entrance qualification","362","1","1","1"
"Yes","2013","Other degree","132","1","1","1"
"Yes","2013","no degree/no degree yet","31","1","1","1"
"Yes","2014","lower secondary degree","","","",""
"Yes","2014","secondary school degree","","","",""
"Yes","2014","college entrance qualification","","","",""
"Yes","2014","Other degree","","","",""
"Yes","2014","no degree/no degree yet","","","",""
"Yes","2015","lower secondary degree","934","1","1","1"
"Yes","2015","secondary school degree","508","1","1","1"
"Yes","2015","college entrance qualification","391","1","1","1"
"Yes","2015","Other degree","184","1","1","1"
"Yes","2015","no degree/no degree yet","56","1","1","1"
"Yes","2016","lower secondary degree","","","",""
"Yes","2016","secondary school degree","","","",""
"Yes","2016","college entrance qualification","","","",""
"Yes","2016","Other degree","","","",""
"Yes","2016","no degree/no degree yet","","","",""
"Yes","2017","lower secondary degree","868","1","1","1"
"Yes","2017","secondary school degree","573","1","1","1"
"Yes","2017","college entrance qualification","439","1","1","1"
"Yes","2017","Other degree","208","1","1","1"
"Yes","2017","no degree/no degree yet","54","1","1","1"
"Yes","2018","lower secondary degree","","","",""
"Yes","2018","secondary school degree","","","",""
"Yes","2018","college entrance qualification","","","",""
"Yes","2018","Other degree","","","",""
"Yes","2018","no degree/no degree yet","","","",""
"Yes","2019","lower secondary degree","886","1","1","1"
"Yes","2019","secondary school degree","630","1","1","1"
"Yes","2019","college entrance qualification","545","1","1","1"
"Yes","2019","Other degree","172","1","1","1"
"Yes","2019","no degree/no degree yet","52","1","1","1"
