"ple0014","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","(0) in school","1","","",""
"Yes","2009","no migration background","(1a) inadequately completed","7","","",""
"Yes","2009","no migration background","(1b) general elementary school","197","1","1","1"
"Yes","2009","no migration background","(1c) basic vocational qualification","666","1","1","1"
"Yes","2009","no migration background","(2b) intermediate general qualification","9","","",""
"Yes","2009","no migration background","(2a) intermediate vocational","263","1","1","1"
"Yes","2009","no migration background","(2c_gen) general maturity certificate","13","","",""
"Yes","2009","no migration background","(2c_voc) vocational maturity certificate","55","1","1","1"
"Yes","2009","no migration background","(3a) lower tertiary education","141","1","1","1"
"Yes","2009","no migration background","(3b) higher tertiary education","167","1","1","1"
"Yes","2009","direct migration background","(0) in school","","","",""
"Yes","2009","direct migration background","(1a) inadequately completed","11","","",""
"Yes","2009","direct migration background","(1b) general elementary school","35","1","1","1"
"Yes","2009","direct migration background","(1c) basic vocational qualification","42","1","1","1"
"Yes","2009","direct migration background","(2b) intermediate general qualification","1","","",""
"Yes","2009","direct migration background","(2a) intermediate vocational","7","","",""
"Yes","2009","direct migration background","(2c_gen) general maturity certificate","3","","",""
"Yes","2009","direct migration background","(2c_voc) vocational maturity certificate","16","","",""
"Yes","2009","direct migration background","(3a) lower tertiary education","10","","",""
"Yes","2009","direct migration background","(3b) higher tertiary education","14","","",""
"Yes","2009","indirect migration background","(0) in school","","","",""
"Yes","2009","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2009","indirect migration background","(1b) general elementary school","1","","",""
"Yes","2009","indirect migration background","(1c) basic vocational qualification","2","","",""
"Yes","2009","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2009","indirect migration background","(2a) intermediate vocational","1","","",""
"Yes","2009","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2009","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2009","indirect migration background","(3a) lower tertiary education","1","","",""
"Yes","2009","indirect migration background","(3b) higher tertiary education","2","","",""
"Yes","2010","no migration background","(0) in school","","","",""
"Yes","2010","no migration background","(1a) inadequately completed","","","",""
"Yes","2010","no migration background","(1b) general elementary school","","","",""
"Yes","2010","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2010","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2010","no migration background","(2a) intermediate vocational","","","",""
"Yes","2010","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2010","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","no migration background","(3a) lower tertiary education","","","",""
"Yes","2010","no migration background","(3b) higher tertiary education","","","",""
"Yes","2010","direct migration background","(0) in school","","","",""
"Yes","2010","direct migration background","(1a) inadequately completed","","","",""
"Yes","2010","direct migration background","(1b) general elementary school","","","",""
"Yes","2010","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2010","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2010","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2010","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2010","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2010","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2010","indirect migration background","(0) in school","","","",""
"Yes","2010","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2010","indirect migration background","(1b) general elementary school","","","",""
"Yes","2010","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2010","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2010","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2010","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2010","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2010","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2011","no migration background","(0) in school","1","","",""
"Yes","2011","no migration background","(1a) inadequately completed","14","","",""
"Yes","2011","no migration background","(1b) general elementary school","219","1","1","1"
"Yes","2011","no migration background","(1c) basic vocational qualification","771","1","1","1"
"Yes","2011","no migration background","(2b) intermediate general qualification","20","","",""
"Yes","2011","no migration background","(2a) intermediate vocational","332","1","1","1"
"Yes","2011","no migration background","(2c_gen) general maturity certificate","12","","",""
"Yes","2011","no migration background","(2c_voc) vocational maturity certificate","61","1","1","1"
"Yes","2011","no migration background","(3a) lower tertiary education","155","1","1","1"
"Yes","2011","no migration background","(3b) higher tertiary education","218","1","1","1"
"Yes","2011","direct migration background","(0) in school","","","",""
"Yes","2011","direct migration background","(1a) inadequately completed","17","","",""
"Yes","2011","direct migration background","(1b) general elementary school","37","1","1","1"
"Yes","2011","direct migration background","(1c) basic vocational qualification","53","1","1","1"
"Yes","2011","direct migration background","(2b) intermediate general qualification","1","","",""
"Yes","2011","direct migration background","(2a) intermediate vocational","7","","",""
"Yes","2011","direct migration background","(2c_gen) general maturity certificate","9","","",""
"Yes","2011","direct migration background","(2c_voc) vocational maturity certificate","15","","",""
"Yes","2011","direct migration background","(3a) lower tertiary education","2","","",""
"Yes","2011","direct migration background","(3b) higher tertiary education","20","","",""
"Yes","2011","indirect migration background","(0) in school","","","",""
"Yes","2011","indirect migration background","(1a) inadequately completed","2","","",""
"Yes","2011","indirect migration background","(1b) general elementary school","1","","",""
"Yes","2011","indirect migration background","(1c) basic vocational qualification","4","","",""
"Yes","2011","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2011","indirect migration background","(2a) intermediate vocational","4","","",""
"Yes","2011","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","2011","indirect migration background","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2011","indirect migration background","(3a) lower tertiary education","2","","",""
"Yes","2011","indirect migration background","(3b) higher tertiary education","2","","",""
"Yes","2012","no migration background","(0) in school","","","",""
"Yes","2012","no migration background","(1a) inadequately completed","","","",""
"Yes","2012","no migration background","(1b) general elementary school","","","",""
"Yes","2012","no migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","no migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","no migration background","(2a) intermediate vocational","","","",""
"Yes","2012","no migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","no migration background","(3a) lower tertiary education","","","",""
"Yes","2012","no migration background","(3b) higher tertiary education","","","",""
"Yes","2012","direct migration background","(0) in school","","","",""
"Yes","2012","direct migration background","(1a) inadequately completed","","","",""
"Yes","2012","direct migration background","(1b) general elementary school","","","",""
"Yes","2012","direct migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","direct migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","direct migration background","(2a) intermediate vocational","","","",""
"Yes","2012","direct migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","direct migration background","(3a) lower tertiary education","","","",""
"Yes","2012","direct migration background","(3b) higher tertiary education","","","",""
"Yes","2012","indirect migration background","(0) in school","","","",""
"Yes","2012","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2012","indirect migration background","(1b) general elementary school","","","",""
"Yes","2012","indirect migration background","(1c) basic vocational qualification","","","",""
"Yes","2012","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2012","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","2012","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Yes","2012","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Yes","2012","indirect migration background","(3a) lower tertiary education","","","",""
"Yes","2012","indirect migration background","(3b) higher tertiary education","","","",""
"Yes","2013","no migration background","(0) in school","1","","",""
"Yes","2013","no migration background","(1a) inadequately completed","17","","",""
"Yes","2013","no migration background","(1b) general elementary school","202","1","1","1"
"Yes","2013","no migration background","(1c) basic vocational qualification","712","1","1","1"
"Yes","2013","no migration background","(2b) intermediate general qualification","25","","",""
"Yes","2013","no migration background","(2a) intermediate vocational","366","1","1","1"
"Yes","2013","no migration background","(2c_gen) general maturity certificate","11","","",""
"Yes","2013","no migration background","(2c_voc) vocational maturity certificate","74","1","1","1"
"Yes","2013","no migration background","(3a) lower tertiary education","163","1","1","1"
"Yes","2013","no migration background","(3b) higher tertiary education","215","1","1","1"
"Yes","2013","direct migration background","(0) in school","","","",""
"Yes","2013","direct migration background","(1a) inadequately completed","12","","",""
"Yes","2013","direct migration background","(1b) general elementary school","35","1","1","1"
"Yes","2013","direct migration background","(1c) basic vocational qualification","54","1","1","1"
