"ple0014","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","(0) in school","1","","",""
"Yes","2009","16-34 y.","(1a) inadequately completed","","","",""
"Yes","2009","16-34 y.","(1b) general elementary school","8","","",""
"Yes","2009","16-34 y.","(1c) basic vocational qualification","6","","",""
"Yes","2009","16-34 y.","(2b) intermediate general qualification","2","","",""
"Yes","2009","16-34 y.","(2a) intermediate vocational","11","","",""
"Yes","2009","16-34 y.","(2c_gen) general maturity certificate","7","","",""
"Yes","2009","16-34 y.","(2c_voc) vocational maturity certificate","3","","",""
"Yes","2009","16-34 y.","(3a) lower tertiary education","3","","",""
"Yes","2009","16-34 y.","(3b) higher tertiary education","2","","",""
"Yes","2009","35-65 y.","(0) in school","","","",""
"Yes","2009","35-65 y.","(1a) inadequately completed","7","","",""
"Yes","2009","35-65 y.","(1b) general elementary school","36","1","1","1"
"Yes","2009","35-65 y.","(1c) basic vocational qualification","185","1","1","1"
"Yes","2009","35-65 y.","(2b) intermediate general qualification","2","","",""
"Yes","2009","35-65 y.","(2a) intermediate vocational","140","1","1","1"
"Yes","2009","35-65 y.","(2c_gen) general maturity certificate","7","","",""
"Yes","2009","35-65 y.","(2c_voc) vocational maturity certificate","30","1","1","1"
"Yes","2009","35-65 y.","(3a) lower tertiary education","56","1","1","1"
"Yes","2009","35-65 y.","(3b) higher tertiary education","56","1","1","1"
"Yes","2009","66 and older","(0) in school","","","",""
"Yes","2009","66 and older","(1a) inadequately completed","11","","",""
"Yes","2009","66 and older","(1b) general elementary school","189","1","1","1"
"Yes","2009","66 and older","(1c) basic vocational qualification","519","1","1","1"
"Yes","2009","66 and older","(2b) intermediate general qualification","6","","",""
"Yes","2009","66 and older","(2a) intermediate vocational","120","1","1","1"
"Yes","2009","66 and older","(2c_gen) general maturity certificate","2","","",""
"Yes","2009","66 and older","(2c_voc) vocational maturity certificate","39","1","1","1"
"Yes","2009","66 and older","(3a) lower tertiary education","93","1","1","1"
"Yes","2009","66 and older","(3b) higher tertiary education","125","1","1","1"
"Yes","2010","16-34 y.","(0) in school","","","",""
"Yes","2010","16-34 y.","(1a) inadequately completed","","","",""
"Yes","2010","16-34 y.","(1b) general elementary school","","","",""
"Yes","2010","16-34 y.","(1c) basic vocational qualification","","","",""
"Yes","2010","16-34 y.","(2b) intermediate general qualification","","","",""
"Yes","2010","16-34 y.","(2a) intermediate vocational","","","",""
"Yes","2010","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2010","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","16-34 y.","(3a) lower tertiary education","","","",""
"Yes","2010","16-34 y.","(3b) higher tertiary education","","","",""
"Yes","2010","35-65 y.","(0) in school","","","",""
"Yes","2010","35-65 y.","(1a) inadequately completed","","","",""
"Yes","2010","35-65 y.","(1b) general elementary school","","","",""
"Yes","2010","35-65 y.","(1c) basic vocational qualification","","","",""
"Yes","2010","35-65 y.","(2b) intermediate general qualification","","","",""
"Yes","2010","35-65 y.","(2a) intermediate vocational","","","",""
"Yes","2010","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Yes","2010","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","35-65 y.","(3a) lower tertiary education","","","",""
"Yes","2010","35-65 y.","(3b) higher tertiary education","","","",""
"Yes","2010","66 and older","(0) in school","","","",""
"Yes","2010","66 and older","(1a) inadequately completed","","","",""
"Yes","2010","66 and older","(1b) general elementary school","","","",""
"Yes","2010","66 and older","(1c) basic vocational qualification","","","",""
"Yes","2010","66 and older","(2b) intermediate general qualification","","","",""
"Yes","2010","66 and older","(2a) intermediate vocational","","","",""
"Yes","2010","66 and older","(2c_gen) general maturity certificate","","","",""
"Yes","2010","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Yes","2010","66 and older","(3a) lower tertiary education","","","",""
"Yes","2010","66 and older","(3b) higher tertiary education","","","",""
"Yes","2011","16-34 y.","(0) in school","1","","",""
"Yes","2011","16-34 y.","(1a) inadequately completed","","","",""
"Yes","2011","16-34 y.","(1b) general elementary school","11","","",""
"Yes","2011","16-34 y.","(1c) basic vocational qualification","6","","",""
"Yes","2011","16-34 y.","(2b) intermediate general qualification","4","","",""
