"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","Rural Area","5.32","6","399","3","4","7","7","7","5.17","5.47","1","7","5","6"
"2005","direct migration background","Urban Area","5.36","6","1953","3","4","7","7","7","5.29","5.43","1","7","6","6"
"2005","indirect migration background","Rural Area","5.07","5","105","4","4","6","7","7","4.81","5.33","1","7","5","6"
"2005","indirect migration background","Urban Area","5.35","6","724","4","4","7","7","7","5.24","5.46","1","7","5","6"
"2005","no migration background","Rural Area","5.2","5","6322","3","4","6","7","7","5.16","5.24","1","7","5","6"
"2005","no migration background","Urban Area","5.25","5","11153","3","4","6","7","7","5.22","5.28","1","7","5","6"
"2006","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2006","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2006","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2006","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2006","no migration background","Rural Area","","","","","","","","","","","","","",""
"2006","no migration background","Urban Area","","","","","","","","","","","","","",""
"2007","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2007","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2007","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2007","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2007","no migration background","Rural Area","","","","","","","","","","","","","",""
"2007","no migration background","Urban Area","","","","","","","","","","","","","",""
"2008","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2008","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2008","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2008","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2008","no migration background","Rural Area","","","","","","","","","","","","","",""
"2008","no migration background","Urban Area","","","","","","","","","","","","","",""
"2009","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2009","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2009","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2009","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2009","no migration background","Rural Area","","","","","","","","","","","","","",""
"2009","no migration background","Urban Area","","","","","","","","","","","","","",""
"2010","direct migration background","Rural Area","5.28","5","277","4","4","6","7","7","5.12","5.44","1","7","5","6"
"2010","direct migration background","Urban Area","5.37","6","1182","3","4","7","7","7","5.28","5.46","1","7","6","6"
"2010","indirect migration background","Rural Area","4.87","5","101","3","4","6","7","7","4.61","5.13","1","7","5","5"
"2010","indirect migration background","Urban Area","5.53","6","556","4","5","7","7","7","5.4","5.66","1","7","6","6"
"2010","no migration background","Rural Area","5.17","5","5265","3","4","6","7","7","5.13","5.21","1","7","5","5"
"2010","no migration background","Urban Area","5.17","5","9263","3","4","6","7","7","5.14","5.2","1","7","5","5"
"2011","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2011","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2011","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2011","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2011","no migration background","Rural Area","","","","","","","","","","","","","",""
"2011","no migration background","Urban Area","","","","","","","","","","","","","",""
"2012","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2012","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2012","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2012","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2012","no migration background","Rural Area","","","","","","","","","","","","","",""
"2012","no migration background","Urban Area","","","","","","","","","","","","","",""
"2013","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2013","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2013","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2013","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2013","no migration background","Rural Area","","","","","","","","","","","","","",""
"2013","no migration background","Urban Area","","","","","","","","","","","","","",""
"2014","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2014","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2014","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2014","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2014","no migration background","Rural Area","","","","","","","","","","","","","",""
"2014","no migration background","Urban Area","","","","","","","","","","","","","",""
"2015","direct migration background","Rural Area","5.45","6","1466","3","5","7","7","7","5.36","5.54","1","7","6","6"
"2015","direct migration background","Urban Area","5.48","6","4284","3","5","7","7","7","5.43","5.53","1","7","6","6"
"2015","indirect migration background","Rural Area","5.08","5","311","3","4","6","7","7","4.91","5.25","1","7","5","6"
"2015","indirect migration background","Urban Area","5.41","6","1373","3","5","7","7","7","5.33","5.49","1","7","6","6"
