"year","age_gr","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","college entrance qualification","5.29","5","1576","4","5","6","7","5.23","5.35","5","5"
"2005","16-34 y.","lower secondary degree","5.06","5","943","3","4","6","7","4.96","5.16","5","5"
"2005","16-34 y.","no degree/no degree yet","5.01","5","689","3","4","6","7","4.9","5.12","5","5"
"2005","16-34 y.","Other degree","5.31","6","155","4","4","7","7","5.05","5.57","5","6"
"2005","16-34 y.","secondary school degree","5.15","5","1612","3","4","6","7","5.08","5.22","5","5"
"2005","35-65 y.","college entrance qualification","5.47","6","3044","4","5","6","7","5.43","5.51","6","6"
"2005","35-65 y.","lower secondary degree","5.21","5","3709","3","4","7","7","5.16","5.26","5","6"
"2005","35-65 y.","no degree/no degree yet","5.03","6","141","1","4","7","7","4.73","5.33","5","6"
"2005","35-65 y.","Other degree","5.29","5","785","3","4","7","7","5.18","5.4","5","6"
"2005","35-65 y.","secondary school degree","5.31","6","3864","3","4","6","7","5.26","5.36","5","6"
"2005","66 and older","college entrance qualification","5.67","6","564","4","5","7","7","5.56","5.78","6","6"
"2005","66 and older","lower secondary degree","5.15","5","2410","3","4","6","7","5.09","5.21","5","6"
"2005","66 and older","no degree/no degree yet","4.89","5","62","3","4","7","7","4.47","5.31","4","5"
"2005","66 and older","Other degree","5.17","6","173","2","4","7","7","4.91","5.43","5","6"
"2005","66 and older","secondary school degree","5.44","6","542","4","4","7","7","5.32","5.56","6","6"
"2006","16-34 y.","college entrance qualification","","","","","","","","","","",""
"2006","16-34 y.","lower secondary degree","","","","","","","","","","",""
"2006","16-34 y.","no degree/no degree yet","","","","","","","","","","",""
"2006","16-34 y.","Other degree","","","","","","","","","","",""
"2006","16-34 y.","secondary school degree","","","","","","","","","","",""
"2006","35-65 y.","college entrance qualification","","","","","","","","","","",""
"2006","35-65 y.","lower secondary degree","","","","","","","","","","",""
